name,code,rank,ceo,country,sector,industry,headquarters,employees,founded,marketcap,revenue,net_income,link
general accident plc,gaca,334,,united kingdom,financials,insuranceproperty & casualty,,,,51430000000,,,https://www.generalaccident.com/
agribank fcb,agrip,333,,united states,financials,credit services,"saint paul, mn, united states",,,51490000000,,,https://www.agribank.com
l3harris technologies inc,lhx,332,christopher e kubasik cpa cpa,united states,industrials,aerospace & defense,"melbourne, fl, united states","47,000","june 29, 2019",51510000000,17800000000,,"https://www.l3harris.com, https://en.wikipedia.org/wiki/l3harris technologies"
toyota,7203,331,akio toyoda,japan,consumer discretionary,auto manufacturers,"toyota, japan","371,365","august 28, 1937",51550000000,"27,214,594 million  us$256.7 billion (fy21)","2,282,378 million (fy21)","https://global.toyota/en, https://en.wikipedia.org/wiki/toyota"
denso corp,6902,330,koji arima,japan,consumer discretionary,auto parts,"kariya, japan","168,391",,51580000000,,,https://www.denso.com/global/en/
bce inc,bce,329,mirko bibic,canada,communication services,telecom services,"verdun, qc, canada","49,781",1983,51710000000,ca$23.96 billion (fy19) ca$23.47 billion (fy18),ca$3.25 billion (fy19) ca$2.97 billion (fy18),"https://www.bce.ca, https://www.facebook.com/bellcanada, https://twitter.com/bell, https://www.linkedin.com/company/bell, https://en.wikipedia.org/wiki/bce inc."
stellantis nv,stla,328,carlos tavares,netherlands,consumer discretionary,auto manufacturers,"amsterdam, netherlands","281,595",,51800000000,,,https://www.stellantis.com
eni spa,eni,327,claudio descalzi,italy,energy,oil & gas integrated,"rome, rm, italy","31,495",10 february 1953,52000000000,44 billion (2020),-8.6 billion (2020),"https://www.eni.com, https://www.facebook.com/eniitalia, https://twitter.com/eni, https://www.linkedin.com/company/eni/, https://en.wikipedia.org/wiki/eni"
itochu corp,8001,326,masahiro okafuji,japan,industrials,conglomerates,"tokyo, japan","125,944",,52190000000,,,https://www.itochu.co.jp
xilinx inc,xlnx,325,victor peng,united states,technology,semiconductors,"san jose, ca, united states","4,890",1984,52190000000,us$ 3.16 billion (2020) us$ 3.06 billion (2019),us$ 792.721 million (2020) us$ 889.750 million (2019),"https://www.xilinx.com, https://en.wikipedia.org/wiki/xilinx"
nxp semiconductors nv,nxpi,324,kurt sievers,netherlands,technology,semiconductors,"eindhoven, netherlands","31,000",established in 2006,52280000000,11063000000,1906000000,"https://www.nxp.com, https://en.wikipedia.org/wiki/nxp semiconductors"
fast retailing co ltd,9983,323,tadashi yanai,japan,consumer discretionary,apparel retail,"yamaguchi, japan","55,589",,52290000000,,,https://www.fastretailing.com
liberty bancshares inc oh,lbsi,322,ronald l zimmerly jr,united states,financials,banks,"ada, oh, united states",,,52300000000,,,https://myliberty.bank
occidental petroleum corporation,oxy,321,vicki a hollub,united states,energy,oil & gas e&p,"houston, tx, united states","11,678",june 1909,52300000000,"us$26.314 billion (fiscal year ended december 31, 2021)","us$2.332 billion (fiscal year ended december 31, 2021)","https://www.oxy.com, https://en.wikipedia.org/wiki/occidental petroleum"
sempra energy,sre,320,jeffrey walker martin,united states,utilities,utilitiesdiversified,"san diego, ca, united states","15,390",1998,52470000000,11370000000,4105000000,"https://www.sempra.com, https://twitter.com/sempraenergy, https://www.linkedin.com/company/sempra-energy, https://en.wikipedia.org/wiki/sempra energy"
basf se,bas,319,martin brudermuller,germany,basic materials,chemicals,"ludwigshafen am rhein, germany","108,718",,52760000000,,,https://www.basf.com
thomson reuters corporation,tri,318,stephen john hasker bcom mba,canada,industrials,consulting services,"toronto, on, canada","24,400",,53300000000,,,"https://www.tr.com, https://www.facebook.com/thomsonreuters, https://twitter.com/thomsonreuters"
london stock exchange group plc,lseg,317,david a schwimmer,united kingdom,financials,financial data & stock exchanges,"london, united kingdom","24,158",23 june 2007,53330000000," 6,502 million (2021)"," 3,263 million (2021)","https://www.lseg.com, https://www.linkedin.com/company/10426432/, https://en.wikipedia.org/wiki/london stock exchange group"
lonza group ltd,lonn,316,,switzerland,healthcare,diagnostics & research,"basel, switzerland","16,218",,53760000000,,,https://www.lonza.com
ferrari nv,race,315,benedetto vigna,italy,consumer discretionary,auto manufacturers,"maranello, mo, italy","4,609",13 september 1939,53780000000,3.767 billion (2019),699 million (2019),"https://www.ferrari.com, https://en.wikipedia.org/wiki/ferrari"
snap inc,snap,314,evan spiegel,united states,communication services,internet content & information,"santa monica, ca, united states","5,661","september 16, 2011",53860000000,4117000000,"-us$487.955 million (fiscal year ended december 31, 2021)","https://www.snap.com, https://en.wikipedia.org/wiki/snap inc."
fortinet inc,ftnt,313,ken xie,united states,technology,softwareinfrastructure,"sunnyvale, ca, united states","10,195",2000,53860000000,2590000000,489000000,"https://www.fortinet.com, https://www.facebook.com/fortinet, https://twitter.com/fortinet, https://www.linkedin.com/company/fortinet, https://en.wikipedia.org/wiki/fortinet"
dollar general corporation,dg,312,todd j vasos,united states,consumer staples,discount stores,"goodlettsville, tn, united states","163,000",october 1939,54300000000,"us$34.220 billion (fiscal year ended january 28, 2022)","us$2.399 billion (fiscal year ended january 28, 2022)","https://www.dollargeneral.com, https://www.facebook.com/dollargeneral, https://twitter.com/dollargeneral, https://www.linkedin.com/company/8211, https://en.wikipedia.org/wiki/dollar general"
american international group inc,aig,311,peter salvatore zaffino,united states,financials,insurancediversified,"new york, ny, united states","36,600","december 19, 1919",54310000000,52060000000,9359000000,"https://www.aig.com, https://www.facebook.com/aiginsurance, https://twitter.com/aiginsurance, https://www.linkedin.com/company/aig, https://en.wikipedia.org/wiki/american international group"
marathon petroleum corporation,mpc,310,michael j hennigan,united states,energy,oil & gas refining & marketing,"findlay, oh, united states","17,700","november 9, 2009",54540000000,"us$69.032 billion (fiscal year ended december 31, 2020)","us$9.977 billion (fiscal year ended december 31, 2020)","https://www.marathonpetroleum.com, https://www.facebook.com/marathonpetroleumcorporation, https://twitter.com/marathonpetroco, https://www.linkedin.com/company/marathon-petroleum-company, https://en.wikipedia.org/wiki/marathon petroleum"
canadian pacific railway limited,cp,309,keith e creel,canada,industrials,railroads,"calgary, ab, canada","11,834",16 february 1881,54590000000,ca$7.710 billion (2020),ca$2.444 billion (2020),"https://www.cpr.ca, https://www.facebook.com/cpcareers, https://twitter.com/canadianpacific, https://www.linkedin.com/company/canadian-pacific-railway, https://en.wikipedia.org/wiki/canadian pacific railway"
ambev sa,abev3,308,jean jereissati neto,brazil,consumer staples,beveragesbrewers,"sao paulo, sp, brazil","53,000",,54690000000,,,https://www.ambev.com.br
heineken nv,heia,307,rudolf gijsbert servaas van den brink,netherlands,consumer staples,beveragesbrewers,"amsterdam, netherlands","81,070",,54870000000,,,https://www.theheinekencompany.com
softbank group corp,9984,306,masayoshi son,japan,communication services,telecom services,"tokyo, japan","58,786",,54930000000,,,https://group.softbank
ergo science corp,ergn,305,,united states,industrials,staffing & employment services,"north andover, ma, united states",,,55230000000,,,https://www.ergoscience.com
keurig pepper inc,kdp,304,robert j gamgort,united states,consumer staples,beveragesnon-alcoholic,"burlington, ma, united states","27,500",1981,55280000000,11618000000,,"https://www.keurigdrpepper.com, https://en.wikipedia.org/wiki/keurig dr pepper"
chugai pharmaceutical co ltd,4519,303,osamu okuda,japan,healthcare,drug manufacturersgeneral,"tokyo, japan","7,664",,55310000000,,,https://www.chugai-pharm.co.jp
daikin industriesltd,6367,302,masanori togawa,japan,industrials,building products & equipment,"osaka, japan","84,870",,55580000000,,,https://www.daikin.com
national grid plc,ng.,301,,united kingdom,utilities,utilitiesdiversified,"london, united kingdom","23,683",1990,55880000000,14.779 billion (2021),1.641 billion (2021),"https://www.nationalgridet.com, https://en.wikipedia.org/wiki/national grid plc"
schlumberger limited,slb,284,olivier le peuch,united states,energy,oil & gas equipment & services,"houston, tx, united states","92,000",1926,57630000000,23601000000,us$-10.518 billion (2020),"https://www.slb.com, https://en.wikipedia.org/wiki/schlumberger"
pernod ricard sa,ri,283,alexanricard,france,consumer staples,beverageswineries & distilleries,"paris, france","18,500",,57750000000,,,https://www.pernod-ricard.com
air products and chemicals inc,apd,282,seifollah ghasemi,united states,basic materials,chemicals,"allentown, pa, united states","20,000",1940,57820000000,8856000000,1931000000,"https://www.airproducts.com, https://www.facebook.com/airproductscareers, https://twitter.com/airproducts, https://www.linkedin.com/company/air-products, https://en.wikipedia.org/wiki/air products %26 chemicals"
marvell technology group ltd,mrvl,281,matthew j murphy,bermuda,technology,semiconductors,"hamilton, bermuda","6,695",1995,58360000000,2866000000,179000000,"https://www.marvell.com, https://en.wikipedia.org/wiki/marvell technology"
relx plc,rel,280,erik engstrom,united kingdom,communication services,publishing,"london, united kingdom","33,500",1993,58530000000,7.244 billion (2021),1.471 billion (2021),"https://www.relx.com, https://twitter.com/relxgrouphq, https://www.linkedin.com/company/relx-group, https://en.wikipedia.org/wiki/relx"
workday inc,wday,279,aneel bhusri,united states,technology,softwareapplication,"pleasanton, ca, united states","15,200",march 2005,58700000000,5140000000,1150000000,"https://www.workday.com, https://www.facebook.com/pages/workday/118878077237, https://twitter.com/workday, https://www.linkedin.com/company/workday, https://en.wikipedia.org/wiki/workday, inc."
vinci sa,dg,278,xavier m p huillard,france,industrials,engineering & construction,"rueil-malmaison, france","218,569",,59010000000,,,https://www.vinci.com
shenzhen mindray bio-medical electronics co ltd,300760,277,,china,healthcare,medical devices,"shenzhen, china","11,833",,59260000000,,,https://www.mindray.com
southern copper corporation,scco,276,oscar gonzalez rocha,united states,basic materials,copper,"phoenix, az, united states","14,700",1952,59460000000,6650000000,,"https://www.southernperu.com, https://en.wikipedia.org/wiki/southern copper"
saudi telecom company,7010,275,,saudi arabia,communication services,telecom services,"riyadh, saudi arabia",,,59470000000,,,https://www.stc.com.sa
nongfu spring co ltd,9633,274,,china,consumer staples,beveragesnon-alcoholic,"hangzhou, china","20,773",,59500000000,,,https://www.nongfuspring.com
reckitt benckiser group plc,rkt,273,,united kingdom,consumer staples,household & personal products,"slough, united kingdom","43,000",1814,59530000000,13.234 billion (2021),(21) billion (2021),"https://www.rb.com, https://www.facebook.com/reckittbenckiser/, https://twitter.com/discoverrb, https://www.linkedin.com/company/discoverrb/, https://en.wikipedia.org/wiki/reckitt benckiser"
australia and new zealand banking group limited,anz,272,shayne cary elliott bcom bcom,australia,financials,banks,"melbourne, vic, australia","39,684",1 october 1970,59550000000,a$18.76 billion (2019),a$6.16 billion (2021),"https://www.anz.com.au, https://en.wikipedia.org/wiki/australia and new zealand banking group"
palo alto networks inc,panw,271,nikesh arora cfa,united states,technology,softwareinfrastructure,"santa clara, ca, united states","11,527",2005,59650000000,4300000000,us$299 million (2020),"https://www.paloaltonetworks.com, https://www.facebook.com/paloaltonetworks/, https://twitter.com/paloaltontwks, https://www.linkedin.com/company/palo-alto-networks/, https://en.wikipedia.org/wiki/palo alto networks"
emerson electric co,emr,270,surendralal lanca karsanbhai,united states,industrials,specialty industrial machinery,"saint louis, mo, united states","86,700",1890,59660000000,16785000000,1990000000,"https://www.emerson.com, https://en.wikipedia.org/wiki/emerson electric"
capital one financial corporation,cof,269,richard d fairbank,united states,financials,credit services,"mclean, va, united states","50,767","july 21, 1994",59670000000,26033000000,2714000000,"https://www.capitalone.com, https://www.facebook.com/pg/capitalone, https://twitter.com/capitalone, https://www.linkedin.com/company/capital-one/, https://en.wikipedia.org/wiki/capital one"
hong kong exchanges & clearing ltd,0388,268,alejannicolas aguzin,hong kong,financials,financial data & stock exchanges,"central, hong kong","2,146",,59750000000,,,https://www.hkex.com.hk
netease inc,9999,267,lei ding,china,communication services,internet content & information,"hangzhou, china","18,129",june 1997,59760000000,cn 59.24 billion (2019),cn 21.43 billion (2019),"https://ir.netease.com, https://en.wikipedia.org/wiki/netease"
deutsche post ag,dpwa,266,frank appel,germany,industrials,integrated freight & logistics,"bonn, germany","548,042",,59800000000,,,https://www.dpdhl.com
block inc,sq,265,jack dorsey,united states,technology,softwareinfrastructure,"san francisco, ca, united states","8,521","february 14, 2009",59950000000,17660000000,166280000,"https://www.block.xyz, https://twitter.com/blocks, https://www.linkedin.com/company/joinblock, https://en.wikipedia.org/wiki/block, inc."
nutrien ltd,ntr,264,kenneth a seitz,canada,basic materials,agricultural inputs,"saskatoon, sk, canada","23,500",,60060000000,,,"https://www.nutrien.com, https://www.facebook.com/nutrienltd/, https://twitter.com/nutrienltd, https://www.linkedin.com/company/nutrien/"
cnooc limited,0883,263,keqiang xu,hong kong,energy,oil & gas e&p,"central, hong kong","18,151",august 1999,60190000000,,,"https://www.cnoocltd.com, https://en.wikipedia.org/wiki/cnooc limited"
atlas copco ab,atco.a,262,mats rahmstram,sweden,industrials,specialty industrial machinery,"nacka, sweden","42,862",,60970000000,,,https://www.atlascopcogroup.com
adyen nv,adyen,261,pieter willem van der does,netherlands,technology,softwareinfrastructure,"amsterdam, netherlands","2,180",,61110000000,,,https://www.adyen.com
hapag-lloyd ag,hlag,260,rolf habben jansen,germany,industrials,marine shipping,"hamburg, germany","14,106",,61460000000,,,https://www.hapag-lloyd.com
banco santander sa,san,259,jose antonio alvarez alvarez,spain,financials,banks,"madrid, spain","177,033",15 may 1857,61670000000,44.279 billion (2020),(7.708 billion) (2020),"https://www.santander.com, https://www.facebook.com/bancosantander, https://twitter.com/bancosantander, https://www.linkedin.com/company/banco-santander/, https://en.wikipedia.org/wiki/banco santander"
fidelity national information services inc,fis,258,gary adam norcross,united states,technology,information technology services,"jacksonville, fl, united states","65,000",1968,61730000000,12200000000,825000000,"https://www.fisglobal.com, https://www.facebook.com/fistoday, https://twitter.com/fisglobal, https://www.linkedin.com/company/3128, https://en.wikipedia.org/wiki/fidelity national information services"
analog devices inc,adi,257,vincent t roche,united states,technology,semiconductors,"norwood, ma, united states","24,700","cambridge, massachusetts, united states 1965",62000000000,"us$5.794 billion (fiscal year ended october 31, 2020)","us$1.220 billion (fiscal year ended october 31, 2020)","https://www.analog.com, https://www.facebook.com/analogdevicesinc, https://www.twitter.com/adi news, https://www.linkedin.com/company/3450, https://en.wikipedia.org/wiki/analog devices"
eaton corporation plc,etn,256,craig arnold,ireland,industrials,specialty industrial machinery,"dublin, ireland","85,947",1911,62170000000,17860000000,1410000000,"https://www.eaton.com, https://www.facebook.com/eatoncorporation, https://twitter.com/eatoncorp, https://www.linkedin.com/company/eaton-corporation, https://en.wikipedia.org/wiki/eaton corporation"
pioneer natural resources company,pxd,255,scott douglas sheffield,united states,energy,oil & gas e&p,"irving, tx, united states","1,932",1997,62190000000,6685000000,-$200 million (2020),"https://www.pxd.com, https://www.facebook.com/pioneernaturalresources, https://twitter.com/pxdtweets, https://www.linkedin.com/company/pioneer-natural-resources-company, https://en.wikipedia.org/wiki/pioneer natural resources"
nintendo co ltd,7974,254,,japan,communication services,electronic gaming & multimedia,"kyoto, japan","6,574",,62200000000,,,https://www.nintendo.co.jp
moody's corporation,mco,253,robert scott fauber,united states,financials,financial data & stock exchanges,"new york, ny, united states","13,460",1909,62580000000,5400000000,1000000000,"https://www.moodys.com, https://twitter.com/moodysratings, https://www.linkedin.com/company/moodys-corporation, https://en.wikipedia.org/wiki/moody%27s corporation"
uber technologies inc,uber,252,dara khosrowshahi,united states,technology,softwareapplication,"san francisco, ca, united states","29,300",march 2009,62660000000,17455000000,us$-0.496 billion (2021),"https://www.uber.com, https://en.wikipedia.org/wiki/uber"
sea limited,se,251,xiaodong li,singapore,communication services,electronic gaming & multimedia,"singapore, singapore","29,800",,62660000000,,,https://www.sea.com
icici bank limited,ibn,234,sandeep bakhshi be,india,financials,banks,"mumbai, india","98,750",5 january 1994,66620000000,1.61 trillion (us$21 billion) (2021),202.2 billion (us$2.7 billion) (2021),"https://www.icicibank.com, https://www.facebook.com/icicibank, https://twitter.com/icicibank care, https://www.linkedin.com/company/icici-bank, https://en.wikipedia.org/wiki/icici bank"
dbs group holdings ltd,d05,233,piyush gupta,singapore,financials,banks,"singapore, singapore","33,000",,66739999999,,,https://www.dbs.com
industrial bank co ltd,601166,232,,china,financials,banks,"fuzhou, china","59,630",,66870000000,,,https://www.cib.com.cn
waste management inc,wm,231,james c fish jr,united states,industrials,waste management,"houston, tx, united states","48,500","january 1, 1968",66950000000,"us$15.218 billion (fiscal year ended december 31, 2020)","us$1.496 billion (fiscal year ended december 31, 2020)","https://www.wm.com, https://www.facebook.com/pages/waste-management/75544373046, https://twitter.com/wastemanagement, https://www.linkedin.com/company/waste-management, https://en.wikipedia.org/wiki/waste management  corporation "
abb ltd,abbn,230,,switzerland,industrials,electrical equipment & parts,"zurich, switzerland","104,400",1988,67190000000,28900000000,1439000000,"https://www.global.abb/group/en, https://en.wikipedia.org/wiki/abb group"
westpac banking corporation,wbc,229,peter francis king fca bec fca,australia,financials,banks,"sydney, nsw, australia","40,143",,67200000000,,,"https://www.westpac.com.au, https://www.facebook.com/westpac, https://www.twitter.com/westpac, https://www.linkedin.com/company/2729759"
the progressive corporation,pgr,228,susan patricia griffith,united states,financials,insuranceproperty & casualty,"mayfield, oh, united states","49,077","march 10, 1937",67310000000,42658000000,5704000000,"https://www.progressive.com, https://www.facebook.com/progressive, https://twitter.com/progressive, https://www.linkedin.com/company/progressive-insurance, https://en.wikipedia.org/wiki/progressive corp."
illinois tool works inc,itw,227,e scott santi,united states,industrials,specialty industrial machinery,"glenview, il, united states","45,000",1912,67489999999,14,,"https://www.itw.com, https://www.linkedin.com/company/itw, https://en.wikipedia.org/wiki/illinois tool works"
vertex pharmaceuticals incorporated,vrtx,226,reshma kewalramani fasn md,united states,healthcare,biotechnology,"boston, ma, united states","3,900",1989,67489999999,3040000000,,"https://www.vrtx.com, https://www.facebook.com/vertexpharmainc, https://twitter.com/vertexpharma, https://www.linkedin.com/company/vertex-pharmaceuticals, https://en.wikipedia.org/wiki/vertex pharmaceuticals"
the sherwin-williacompany,shw,225,john g morikis,united states,basic materials,specialty chemicals,"cleveland, oh, united states","61,000","cleveland, ohio, u.s. 1866",67540000000,18360000000,2029999999,"https://www.sherwin-williams.com, https://en.wikipedia.org/wiki/sherwin-williams"
bayer ag,bayn,224,werner baumann,germany,healthcare,drug manufacturersgeneral,"leverkusen, germany","95,950",,68090000000,,,https://www.bayer.com
recruit holdings co ltd,6098,223,hisayuki idekoba,japan,industrials,staffing & employment services,"tokyo, japan","46,800",,68110000000,,,https://recruit-holdings.com
iberdrola sa,ibe,222,jose ignacio sanchez galan,spain,utilities,utilitiesdiversified,"bilbao, spain","38,702",,68230000000,,,https://www.iberdrola.com
fiserv inc,fisv,221,frank j bisignano,united states,technology,information technology services,"brookfield, wi, united states","44,000",1984,68680000000,us$ 14.85 billion (2020) us$ 5.823 billion (2018),us$ 914 million (2019) us$ 1.187 billion (2018),"https://www.fiserv.com, https://www.facebook.com/fiserv, https://twitter.com/fiserv, https://www.linkedin.com/company/fiserv, https://en.wikipedia.org/wiki/fiserv"
sberbank,sber,220,herman oskarovich gref,russia,financials,banks,"moscow, russia","287,866",,68690000000,,,https://www.sberbank.ru
ubs group ag,ubsg,219,ralph a j g hamers,switzerland,financials,banks,"zurich, switzerland","71,385",29 june 1998,68930000000,36032000000,12822000000,"https://www.ubs.com, https://www.facebook.com/ubsglobal, https://twitter.com/ubs, https://www.linkedin.com/company/ubs, https://en.wikipedia.org/wiki/ubs"
public storage,psa,218,joseph d russell jr,united states,real estate,reitindustrial,"glendale, ca, united states","5,800",1972,69310000000,2560000000,1460000000,"https://www.publicstorage.com, https://en.wikipedia.org/wiki/public storage"
america movil sab de cv,amxa,217,daniel hajj aboumrad,mexico,communication services,telecom services,"mexico city, df, mexico","181,205",1986,69450000000,"mx$1.016 trillion (fiscal year ended december 31, 2020)","mx$51.027 billion (fiscal year ended december 31, 2020)","https://www.americamovil.com, https://www.facebook.com/pages/america-movil/108227899205108 fref=ts, https://twitter.com/telcel, https://www.linkedin.com/company/am-rica-m-vil, https://en.wikipedia.org/wiki/am%c3%a9rica m%c3%b3vil"
bnp paribas sa,bnp,216,jean-laurent bonnafe,france,financials,banks,"paris, france","190,000",,69900000000,,,https://group.bnpparibas
enel spa,enel,215,francesco starace,italy,utilities,utilitiesdiversified,"rome, rm, italy","66,279",,70150000000,,,https://www.enel.com
dominion energy inc,d,214,robert m blue,united states,utilities,utilitiesdiversified,"richmond, va, united states","17,100","virginia, u.s. 1983",70200000000,us$ 16.572 billion (2019) us$ 13.366 billion (2018),us$ 1.376 billion (2019) us$ 2.549 billion (2018),"https://www.dominionenergy.com, https://www.facebook.com/dominioncareers, https://twitter.com/domnews, https://www.linkedin.com/company/dominion-virginia-power, https://en.wikipedia.org/wiki/dominion energy"
axa sa,cs,213,thomas buberl,france,financials,insurancediversified,"paris, france","106,128",,70200000000,,,https://www.axa.com
general dynamics corporation,gd,212,phebe n novakovic,united states,industrials,aerospace & defense,,"103,100","february 7, 1899",70550000000,39350000000,3438000000,"https://www.gd.com, https://www.facebook.com/generaldynamicsit, https://twitter.com/generaldynamics, https://www.linkedin.com/company/general-dynamics/, https://en.wikipedia.org/wiki/general dynamics"
moderna inc,mrna,211,stephane bancel,united states,healthcare,biotechnology,"cambridge, ma, united states","2,700",september 2010,70810000000,18500000000,12200000000,"https://www.modernatx.com, https://www.facebook.com/modernatx, https://twitter.com/moderna tx, https://www.linkedin.com/company/moderna-/, https://en.wikipedia.org/wiki/moderna"
anglo american plc,aal,210,mark cutifani be beng mining fellow ausimm cengfimmm dba,united kingdom,basic materials,other industrial metals & mining,"london, united kingdom","106,000",1917,71480000000,41550000000,11700000000,"https://www.angloamerican.com, https://www.facebook.com/angloamerican, https://twitter.com/angloamerican, https://www.linkedin.com/company/anglo-american, https://en.wikipedia.org/wiki/anglo american plc"
siemens healthineers ag,shl,209,bernhard montag,germany,healthcare,diagnostics & research,"erlangen, germany","66,800",,71500000000,,,https://www.siemens-healthineers.com
eog resources inc,eog,208,ezra y yacob,united states,energy,oil & gas e&p,"houston, tx, united states","2,800",1999,71900000000,11032000000,-$0.612 billion (2020),"https://www.eogresources.com, https://en.wikipedia.org/wiki/eog resources"
pt bank central asia tbk,bbca,207,,indonesia,financials,banks,"jakarta, indonesia","25,370",,71910000000,,,https://www.bca.co.id
wal-mart de mexico sab de cv,walmex,206,guilherme de souza macedo loureiro,mexico,consumer staples,discount stores,"mexico city, df, mexico","231,259",,71960000000,,,https://www.walmartmexico.com.mx
freeport-mcmoran inc,fcx,205,richard c adkerson,united states,basic materials,copper,"phoenix, az, united states","24,700",1912,72160000000,14198000000,599000000,"https://fcx.com, https://www.facebook.com/freeport-mcmoran-copper-gold-inc-174962992520829/, https://twitter.com/fm fcx, https://www.linkedin.com/company/1100944, https://en.wikipedia.org/wiki/freeport-mcmoran"
norfolk southern corporation,nsc,204,james a squires,united states,industrials,railroads,"norfolk, va, united states","18,100","july 23, 1980 in norfolk, virginia, united states",72310000000,9789000000,2013000000,"https://www.norfolksouthern.com, https://en.wikipedia.org/wiki/norfolk southern corp."
kddi corp,9433,203,,japan,communication services,telecom services,"tokyo, japan","47,320",,73120000000,,,https://www.kddi.com
northrop grumman corporation,noc,202,kathy j warden,united states,industrials,aerospace & defense,"falls church, va, united states","88,000",1994,73250000000,"us$35.667 billion (fiscal year ended december 31, 2021)","us$7.005 billion (fiscal year ended december 31, 2021)","https://www.northropgrumman.com, https://en.wikipedia.org/wiki/northrop grumman"
aon plc,aon,201,gregory clarence case,united kingdom,financials,insurance brokers,"london, united kingdom","50,000",1982,73330000000,us$10 billion (8 billion as of 2017),$1.22 billion (1 billion as of 2017),"https://www.aon.com, https://www.facebook.com/aonplc, https://twitter.com/aon plc, https://www.linkedin.com/company/aon, https://en.wikipedia.org/wiki/aon  company "
bank of montreal,bmo,184,william darryl white,canada,financials,banks,"montreal, qc, canada","43,863",montreal bank 23 june 1817,79220000000,c$27.19 billion (2021),c$7.75 billion (2021),"https://www.bmo.com, https://en.wikipedia.org/wiki/bank of montreal"
tokyo electron ltd,8035,183,toshiki kawai,japan,technology,semiconductor equipment & materials,"tokyo, japan","14,479",,79620000000,,,https://www.tel.com
us bancorp,usb,182,andrew j cecere,united states,financials,banks,"minneapolis, mn, united states","68,796","july 13, 1863",80160000000,22720000000,7960000000,"https://www.usbank.com, https://www.facebook.com/usbank/, https://twitter.com/usbank, https://www.linkedin.com/company/2532, https://en.wikipedia.org/wiki/u.s. bancorp"
essilorluxottica sa,el,181,francesco milleri,france,healthcare,medical instruments & supplies,"paris, france","144,888",,80490000000,,,https://www.essilorluxottica.com
crown castle international corp reit,cci,180,jay a brown,united states,real estate,reitspecialty,"houston, tx, united states","5,000",1994,80920000000,5840000,942000000,"https://www.crowncastle.com, https://en.wikipedia.org/wiki/crown castle"
national australia bank limited,nab,179,ross maxwell mcewan bbs cbe,australia,financials,banks,"docklands, vic, australia","32,741",1982,81030000000,a$ 17.261 billion (2020),a$ 2.559 billion (2020),"https://www.nab.com.au, https://www.facebook.com/nab, https://www.twitter.com/nab, https://www.linkedin.com/company/national-australia-bank, https://en.wikipedia.org/wiki/national australia bank"
hca healthcare inc,hca,178,samuel n hazen,united states,healthcare,medical care facilities,"nashville, tn, united states","204,000",1968,82600000000,51530000000,3759000000,"https://www.hcahealthcare.com, https://en.wikipedia.org/wiki/hca healthcare"
air liquide sa,ai,177,benoit potier,france,basic materials,chemicals,"paris, france","66,400",,83240000000,,,https://www.airliquide.com
shopify,shop,176,tobias la14tke,canada,technology,softwareapplication,"ottawa, on, canada","10,000",2006,83800000000,4610000000,2910000000,"https://www.shopify.com, https://en.wikipedia.org/wiki/shopify"
cigna corporation,ci,175,david michael cordani,united states,healthcare,healthcare plans,"bloomfield, ct, united states","72,226",1982,84670000000,174100000000,5400000000,"https://www.cigna.com, https://en.wikipedia.org/wiki/cigna"
mitsubishi ufj financial group inc,8306,174,hironori kamezawa,japan,financials,banks,"tokyo, japan","132,700","october 1, 2005",85030000000,jp4.495 trillion (2013),jp1.069 trillion (2013),"https://www.mufg.jp, https://www.facebook.com/bk.mufg.jp/, https://www.linkedin.com/company/mufg/, https://en.wikipedia.org/wiki/mitsubishi ufj financial group"
micron technology inc,mu,173,sanjay mehrotra,united states,technology,semiconductors,"boise, id, united states","43,000","october 5, 1978",86490000000,21440000000,2690000000,"https://www.micron.com, https://www.facebook.com/pages/micron-technology-inc/128513370528999, https://twitter.com/microntech, https://www.linkedin.com/company/3690, https://en.wikipedia.org/wiki/micron technology"
marsh & mclennan companies inc,mmc,172,daniel s glaser,united states,financials,insurance brokers,"new york, ny, united states","83,000",1905,87160000000,"us$19.84 billion (fiscal year ended december 31, 2021)","us$2.016 billion (fiscal year ended december 31, 2020)","https://www.mmc.com, https://www.facebook.com/marsh-mclennan-companies-inc-250780238285607/, https://twitter.com/mmc global, https://www.linkedin.com/company/marsh-&-mclennan-companies-inc-/, https://en.wikipedia.org/wiki/marsh %26 mclennan"
cme group inc,cme,171,terrence a duffy,united states,financials,financial data & stock exchanges,"chicago, il, united states","3,480",1848,87170000000,4883000000,2105000000,"https://www.cmegroup.com, https://en.wikipedia.org/wiki/cme group"
glencore plc,glen,170,gary nagle,switzerland,basic materials,other industrial metals & mining,"baar, switzerland","81,284",1974,87310000000,203751000000,4349000000,"https://www.glencore.com, https://www.facebook.com/glencore/, https://www.twitter.com/glencoreplc, https://en.wikipedia.org/wiki/glencore"
brookfield asset management inc,bam.a,169,james bruce flatt,canada,financials,asset management,"toronto, on, canada","150,000",1899,87460000000,76000000000,12400000000,"https://www.brookfield.com, https://en.wikipedia.org/wiki/brookfield asset management"
the blackstone group inc,bx,168,stephen allen schwarzman ba mba,united states,financials,asset management,"new york, ny, united states","3,795",1985,87640000000,6102000000,2262000000,"https://www.blackstone.com, https://www.facebook.com/blackstone, https://twitter.com/blackstone, https://www.linkedin.com/company/blackstonegroup/, https://en.wikipedia.org/wiki/the blackstone group"
