name,world_rank,market_value,market_cap,ceo,country
duke realty corporation,914,22931000000,19916000000,james jim connor,usa
perkinelmer,915,22924000000,20719000000,prahlad singh,usa
guotai junan securities,916,22905000000,22926000000,qing he,china
sm investments corporation,917,22815000000,23808000000,jose sio,philippines
swedbank ab publ,918,22817000000,22678000000,goran persson,sweden
huatai securities,919,22813000000,21664000000,yi zhou,china
m&t bank corporation,920,22768000000,18016000000,robert g wilmers,usa
sun communities,921,22755000000,23826000000,gary a shiffman,usa
ameren corporation,922,22731000000,22557000000,gary l rainwater,usa
kellogg company,923,22719000000,21523000000,james m jenness,usa
baker hughes company,924,22724000000,18873000000,lorenzo simonelli,usa
ppl corporation,925,22709000000,22588000000,vincent sorgi,usa
power corporation of canada,926,22678000000,23149000000,paul desmarais jr,canada
firstrand,927,22657000000,24102000000,roger jardine,south africa
galaxy entertainment group,928,22551000000,28716000000,lui che woo,hong kong
essity ab publ,929,22550000000,23385000000,pasr boman,sweden
entergy corporation,930,22536000000,22228000000,j wayne leonard,usa
raymond james financial,931,22486000000,19262000000,thomas a james,usa
essex property trust,932,22410000000,21517000000,george m marcus,usa
shanghai international port group,933,22397000000,20252000000,gu jinshan,china
epic games,934,934,934,,usa
affirm holdings inc,934,22374000000,25539000000,max levchin,usa
icon public company,935,22366000000,20381000000,ciaran murray,ireland
avantor,936,22312000000,23039000000,rajiv l gupta,usa
china railway group,937,22295000000,20343000000,chen yun,china
kyocera corporation,938,22287000000,23032000000,goro yamaguchi,japan
wellcare health plans,938,938,938,,usa
east japan railway company,939,22269000000,25471000000,tetsuro tomita,japan
horizon therapeutics public company,940,22265000000,24417000000,tim walbert,ireland
riyad bank,941,22199000000,21668000000,abdullah mohammed al-issa,saudi arabia
signature bank,942,22174000000,15725000000,scott a shay,usa
hewlett packard enterprise company,943,22157000000,20190000000,antonio neri,usa
nomura research institute,944,22122000000,22495000000,shingo konomoto,japan
aviva,945,22112000000,22152000000,,uk
the clorox company,946,22103000000,20639000000,linda rendle,usa
svenska handelsbanken ab publ,947,22068000000,23799000000,mikael hallaker,sweden
associated british foods,948,22066000000,21894000000,,uk
tech mahindra,949,22056000000,19432000000,,india
diamondback energy,950,22016000000,13967000000,travis d stice,usa
fortis,951,22006000000,21516000000,ravi rajagopal,canada
china merchants securities,952,21997000000,22714000000,miao jianmin,china
continental ag,953,21978000000,26348000000,,germany
pjsc polyus,954,21976000000,24892000000,sergei nossoff,russia
shiseido company,955,21966000000,26936000000,masahiko uotani,japan
telenor asa,956,21969000000,23594000000,sigve brekke,norway
segro,957,21946000000,21333000000,,uk
ferrovial,958,21934000000,22027000000,rafael del pino calvo - sotelo,spain
novozymes a/s,959,21906000000,22304000000,jorgen buhl rasmussen,denmark
weg,960,21892000000,28349000000,decio da silva,brazil
cnh industrial,961,21872000000,22331000000,scott w wine,uk
kakaobank corp,962,21792000000,36283000000,yoon ho-young,south korea
trina solar co ltd,963,21777000000,17787000000,,china
cgn power,964,21726000000,18759000000,,china
tata motors,965,21721000000,13639000000,,india
didi global inc,966,21705000000,39647000000,,china
expeditors international of washington,967,21702000000,21175000000,jeffrey s musser,usa
jsw steel,968,21641000000,22834000000,,india
haitong securities,969,21557000000,22890000000,,china
cheniere energy partners,970,21559000000,19763000000,jack fusco,usa
eurofins scientific se,971,21550000000,27111000000,,luxembourg
ulta beauty,972,21491000000,21053000000,david c kimbell,usa
fox corporation,973,21464000000,20814000000,lachlan murdoch,usa
ventas,974,21404000000,21460000000,debra cafaro,usa
paycom software,975,21357000000,29380000000,chad richison,usa
transunion,976,21337000000,23273000000,chris cartwright,usa
tianqi lithium corporation,977,21334000000,27173000000,,china
nissan motor,978,21309000000,20493000000,makoto uchida,japan
jm family enterprises,978,978,978,brent burns,usa
edp renovaveis,979,21292000000,25979000000,,spain
tradeweb markets,980,21282000000,20254000000,lee olesky,usa
saudi arabian fertilizers company,981,21275000000,15989000000,,saudi arabia
yum china holdings,982,21274000000,25910000000,,china
aristocrat leisure,983,21241000000,21580000000,,australia
ja solar technology,984,21219000000,17354000000,,china
celltrion,985,21209000000,34070999999,jung-jin seo,south korea
waters corporation,986,21181000000,25531000000,udit batra,usa
zoominfo technologies inc,987,21169000000,25537000000,henry schuck,usa
imperial brands,988,21145000000,20250000000,,uk
pinterest,989,21144000000,35253000000,ben silbermann,usa
ss&c technologies holdings,990,21094000000,19313000000,william c stone,usa
country garden holdings company,991,21011000000,25395000000,bin mo,china
jb hunt transport services,992,21014000000,18662000000,earl wayne garrison,usa
immunomedics,993,21000000000,21000000000,,usa
upm-kymmene oyj,994,20972000000,868,jussi pesonen,finland
xinjiang tianshan cement,995,20958000000,2553000000,,china
grupo financiero banorte,996,20908000000,19115000000,jose marcos ramirez miguel,mexico
nexi,997,20896000000,21828000000,paolo bertoluzzo,italy
mgm resorts international,998,20883000000,20538000000,william hornbuckle,usa
power construction corporation of china ltd,999,20881000000,14549000000,,china
xylem,"1,000",20815000000,24558000000,patrick decker,usa
maxim integrated products,"1,001",20800000000,27700000000,tunc doluca,usa
china tower corporation,"1,002",20759000000,23567000000,zhang zhiyong,china
akzo nobel,"1,003",20741000000,22656000000,,netherlands
billcom holdings,"1,004",20709000000,25626000000,rene lacerte,usa
royal caribbean cruises,"1,005",20643000000,21071000000,richard d fain,usa
ucb sa,"1,006",20612000000,21647000000,,belgium
tcs group holding,"1,007",20605000000,17639000000,george chesakov,russia
uipath inc,"1,008",20589000000,32158000000,daniel dines,usa
yunnan baiyao group,"1,009",20583000000,17522000000,,china
warner music group corp,"1,010",20540000000,19547000000,edgar bronfman jr,usa
samba financial group,"1,011",20510000000,20530000000,ammar abdul wahid al-khudairy,saudi arabia
western digital corporation,"1,012",20514000000,19513000000,matthew massengill,usa
monolithic power systems,"1,013",20497000000,23095000000,michael r hsing,usa
netapp,"1,014",20503000000,19922000000,george kurian,usa
beijing oriental yuhong waterproof technology,"1,015",20496000000,19483000000,,china
hyundai mobis,"1,016",20464000000,21848000000,,south korea
edp - energias de portugal,"1,017",20438000000,22415000000,,portugal
cgi,"1,018",20426000000,21930000000,serge godin,canada
henderson land development company,"1,019",20418000000,22404000000,,hong kong
guangzhou automobile group,"1,020",20414000000,23822000000,,china
china national nuclear power,"1,021",20401000000,14585000000,,china
standard chartered,"1,022",20378000000,19828000000,,uk
exor,"1,023",20374000000,19419000000,john elkann,netherlands
chewy,"1,024",20280000000,36607000000,ryan cohen,usa
banco santander brasil sa,"1,025",20222000000,29230000000,sergio rial,brazil
omv group,"1,026",20210000000,18099000000,alfred stern,austria
principal financial group,"1,027",20214000000,17931000000,daniel joseph houston,usa
the cooper companies,"1,028",20190000000,22197000000,robert s weis,usa
pool corporation,"1,029",20171000000,19822000000,peter d arvan,usa
wilmar international,"1,030",20155000000,19459000000,kuok khoon hong,singapore
cez a s,"1,031",20163000000,16937000000,daniel benes,czech republic
asahi group holdings,"1,032",20123000000,24352000000,atsushi katsuki,japan
unigroup guoxin microelectronics,"1,033",20062000000,20371000000,,china
wens foodstuff group,"1,034",20036000000,12581000000,,china
adani ports and special economic zone,"1,035",20033000000,21196000000,,india
broadridge financial solutions,"1,036",19993000000,20006000000,tim gokey,usa
shionogi,"1,037",19984000000,19338000000,yasuyoshi isou,japan
generac holdings,"1,038",19971000000,27582000000,aaron jagdfeld,usa
otsuka holdings,"1,039",19941000000,23469000000,kazumichi kobayashi,japan
beike,"1,040",1,1,,china
dji,"1,040",1,1,,china
inner mongolia baotou steel union co ltd,"1,040",19929000000,25983000000,,china
picc property and casualty company,"1,041",19932000000,20588000000,,china
erste group bank ag,"1,042",19926000000,16511000000,bernhard spalt,austria
bio-rad laboratories,"1,043",19921000000,23707000000,norman david schwartz,usa
swiss life holding ag,"1,044",19922000000,16328000000,patrick frost,switzerland
trimble,"1,045",19865000000,23708000000,steven w berglund,usa
tyler technologies,"1,046",19816000000,19838000000,john s marr jr,usa
symrise ag,"1,047",19804000000,18937000000,,germany
asm international nv,"1,048",19787000000,19020000000,,netherlands
genuine parts company,"1,049",19788000000,17499000000,paul d donahue,usa
catalent,"1,050",19765000000,22277000000,john chiminski,usa
fleetcor technologies,"1,051",19734000000,21748000000,ronald f clarke,usa
teledyne technologies,"1,052",19689000000,21597000000,robert mehrabian,usa
charter hall group,"1,053",19685000000,18540000000,,australia
enn energy holdings,"1,054",19675000000,22605000000,,china
aeon co ltd,"1,055",19630000000,22823000000,motoya okada,japan
boston properties,"1,056",19624000000,17750000000,owen d thomas,usa
lg electronics,"1,057",19602000000,22861000000,koo kwang-mo,south korea
carmax,"1,058",19599000000,20401000000,william d nash,usa
yandex,"1,059",19592000000,27483000000,arkady volozh,russia
enphase energy,"1,060",19580000000,23388000000,bakothandaraman,usa
ningxia baofeng energy group,"1,061",19524000000,17270000000,,china
advanced info service public company,"1,062",19520000000,17194000000,somchai loetsuthiwong,thailand
china steel corporation,"1,063",19491000000,21021000000,jc tsou,taiwan
suzuki motor corporation,"1,064",19482000000,21003000000,osamu suzuki,japan
hoshine silicon industry,"1,065",19455000000,35752000000,,china
avangrid,"1,066",19414000000,21161000000,wesley w von schack,usa
healthpeak properties,"1,067",19390000000,19570000000,thomas m herzog,usa
china united network communications,"1,068",19377000000,19863000000,,hong kong
brown & brown,"1,069",19374000000,16347000000,j powell brown,usa
mtn group,"1,070",19299000000,16422999999,mcebisi jonas,south africa
public bank berhad,"1,071",19249000000,19040000000,tan sri dato sri tay ah lek,malaysia
china communications construction company,"1,072",19246000000,16602000000,,china
snam,"1,073",19225000000,19479000000,nicola bedin,italy
shenzhen transsion holdings,"1,074",19226000000,18038000000,,china
posco,"1,075",19203000000,21829000000,park tae-joon,south korea
caesars entertainment corporation,"1,076",19167000000,21691000000,gary l carano,usa
mitsui fudosan,"1,077",19119000000,22331000000,hiromichi iwasa,japan
cincinnati financial corporation,"1,078",19118000000,19890000000,bahl,usa
quest diagnostics,"1,079",19121000000,18673000000,steve rusckowski,usa
edwards jones investments,"1,079",1,,,usa
tianjin zhonghuan semiconductor,"1,080",19112000000,22715000000,,china
niagara mohawk power corporation pfd 390%,"1,081",19111000000,19287000000,,usa
zalando se,"1,082",19103000000,27862000000,,germany
jd logistics,"1,083",19104000000,26686000000,,china
focus media information technology,"1,084",19100000000,16094000000,,china
wantai biological pharmacy,"1,085",19087000000,19838000000,,china
avic shenyang aircraft company,"1,086",19081000000,23468000000,,china
daiwa house industry,"1,087",19050000000,20439000000,keiichi yoshii,japan
take-two interactive software,"1,088",18978000000,18785000000,strauss zelnick,usa
nvr,"1,089",18942000000,18469000000,dwight schar,usa
international paper company,"1,090",18926000000,23485000000,mark s sutton,usa
heico corporation,"1,091",18903000000,16148000000,laurans a mendelson,usa
zhongsheng group holdings,"1,092",18871000000,20287000000,,china
hindustan zinc,"1,093",18854000000,19096000000,,india
constellation energy corporation,"1,093",,,,usa
saudi british bank,"1,094",18849000000,19057000000,lubna olayan,saudi arabia
cenergy corporation,"1,095",18853000000,18790000000,john g russell,usa
wayfair,"1,096",18826000000,29170000000,niraj shah,usa
fresenius medical care ag & co kgaa,"1,097",18809000000,22644000000,wolfgang kirsch,germany
omron corporation,"1,098",18781000000,19729000000,,japan
thales,"1,099",18756000000,21917000000,,france
moncler,"1,100",18758000000,17502000000,remo ruffini,italy
tata steel,"1,101",18733000000,23884000000,,india
celanese corporation,"1,102",18733000000,17623000000,lori j ryerkerk,usa
chongqing changan automobile company,"1,103",18664000000,23791000000,,china
shenwan hongyuan group,"1,104",18662000000,17626000000,,china
zhejiang huayou cobalt co ltd,"1,105",18597000000,23088000000,,china
darden restaurants,"1,106",18604000000,19633000000,eugene i lee jr,usa
jde peet's nv,"1,107",18578000000,20140000000,peter harf,netherlands
croda international,"1,108",18577000000,17447000000,,uk
pidilite industries,"1,109",18559000000,16520000000,,india
ctbc financial holding,"1,110",18562000000,16143999999,wen long yen,taiwan
mitsubishi estate,"1,111",18548000000,21012000000,hirotaka sugiyama,japan
ubiquiti,"1,112",18512000000,20335000000,robert pera,usa
siemens energy,"1,113",18494000000,21078000000,joe kaeser,germany
domino's pizza,"1,114",18487000000,19050000000,david a brandon,usa
sumitomo corporation,"1,115",18478000000,17672000000,masayuki hyodo,japan
guangdong haid group,"1,116",18469000000,16102000000,,china
amcor,"1,117",18460000000,19842000000,,australia
shaanxi coal industry company,"1,118",18443000000,19865000000,,china
surgutneftegas,"1,119",18439000000,16995999999,vladimir bogdanov,russia
kb financial group,"1,120",18406000000,17862000000,jong gyu yoon,south korea
restaurant brands international,"1,121",18369000000,19806000000,alexanbehring,canada
link real estate investment trust,"1,122",18369000000,19390000000,,hong kong
wpp plc,"1,123",18269000000,16338999999,,uk
pt bank artos indonesia tbk,"1,124",18235000000,14064000000,,indonesia
safra group,"1,124",1,,,brazil
directv,"1,124",1,,,usa
splunk,"1,125",18227000000,25058000000,graham smith,usa
yonyou network technology,"1,126",18226000000,16361000000,,china
citic pacific special steel group,"1,127",18222000000,19207000000,,china
liberty siriusxm group,"1,128",18192000000,18413000000,,usa
the carlyle group,"1,129",18187000000,17636000000,kewsong lee,usa
dish network corporation,"1,130",18180000000,23011000000,charlie ergen,usa
ms&ad insurance group holdings,"1,131",18167000000,18318000000,noriyuki hara,japan
vantage towers ag,"1,132",18162000000,18639000000,vivek badrinath,germany
repsol,"1,133",18162000000,16934999999,antonio brufau niubo,spain
antofagasta,"1,134",18128000000,19509000000,,uk
toshiba corporation,"1,135",18132000000,19165000000,satoshi tsunakawa,japan
power financial corporation,"1,136",18115000000,18582000000,,canada
iflytek,"1,137",18102000000,17879000000,,china
continental resources,"1,138",18063000000,14437000000,william b berry,usa
udr,"1,139",17998000000,16131000000,thomas w toomey,usa
menards,"1,139",,,,usa
air china,"1,140",17999000000,14480000000,,china
brookfield infrastructure partners,"1,141",17973000000,16689000000,sam pollock,canada
akamai technologies,"1,142",17961000000,18440000000,frank thomson leighton,usa
vici properties,"1,143",17956000000,16857000000,edward b pitoniak,usa
fuyao glass industry group,"1,144",17928000000,18296000000,,china
advantest corporation,"1,145",17925000000,17235000000,yoshiaki yoshida,japan
xinjiang daqo new energy coltd,"1,146",17918000000,23533000000,,china
sands china,"1,147",17908000000,26724000000,robert glen goldstein,macao
jiangsu hengli hydraulic,"1,148",17878000000,19424000000,,china
entegris,"1,149",17884000000,16291000000,bertrand loy,usa
hdfc life insurance company,"1,150",17862000000,20342000000,,india
viatris inc,"1,151",17826000000,17692000000,michael goettler,usa
mega financial holding,"1,152",17822000000,15936000000,chao-shun chang,taiwan
wabtec corporation,"1,153",17767000000,16972999999,albert j neupaver,usa
jacobs engineering group,"1,154",17760000000,17587000000,steven j demetriou,usa
confluent inc,"1,155",17749000000,14560000000,jay kreps,usa
alnylam pharmaceuticals,"1,156",17716000000,24239000000,john maraganore,usa
nice,"1,157",17701000000,18349000000,sharmila nebhrajani obe,israel
henan shuanghui investment & development,"1,158",17688000000,13117000000,,china
hologic,"1,159",17677000000,20188000000,stephen p macmillan,usa
pimco,"1,159",1,,,usa
avery dennison corporation,"1,160",17655000000,18681000000,mitchell r butier,usa
franklin resources,"1,161",17643000000,16312999999,jennifer m johnson,usa
nuance communications,"1,162",17589000000,17314000000,mark d benjamin,usa
pao severstal,"1,163",17528000000,19124000000,aleksanshevelev,russia
china merchants shekou industrial zone holdings,"1,164",17531000000,12360000000,,china
contura energy,"1,165",17533000000,15,,usa
puma se,"1,166",17486000000,18593000000,,germany
huaneng lancang river hydropower,"1,167",17488000000,15984000000,,china
beijing kingsoft office software,"1,168",17474000000,16687000000,,china
ntpc,"1,169",17433000000,15974000000,,india
country garden services holdings company,"1,170",17412000000,25399000000,,china
arch capital group,"1,171",17403000000,16277000000,marc grandisson,bermuda
ppd inc,"1,172",17400000000,16268999999,david simmons,usa
centerpoint energy,"1,173",17394000000,14876000000,john w somerhalder,usa
wheaton precious metals,"1,174",17372000000,20300000000,randy v j smallwood,canada
china cssc holdings,"1,175",17331000000,17630000000,,china
carl zeiss meditec ag,"1,176",17301000000,19942000000,,germany
idex corporation,"1,177",17302000000,17024000000,eric d ashleman,usa
royalty pharma plc,"1,178",17292000000,23467000000,riggs,usa
ally financial,"1,179",17291000000,19073000000,jeffrey j brown,usa
insulet corporation,"1,180",17247000000,20511000000,shacey petrovic,usa
textron,"1,181",17248000000,16288000000,scott c donnelly,usa
publicis groupe,"1,182",17224000000,16623000000,,france
sk innovation,"1,183",17206000000,17478000000,kim jun,south korea
pembina pipeline corporation,"1,184",17210000000,16709000000,,canada
shanghai fosun pharmaceutical group,"1,185",17177000000,22658000000,,china
guosen securities,"1,186",17171000000,18240000000,,china
markel corporation,"1,187",17149999999,17434000000,alan i kirshner,usa
ayala corporation,"1,188",17131000000,16206000000,jaime augusto zobel de ayala,philippines
nn group,"1,189",17104000000,16420000000,,netherlands
poste italiane spa,"1,190",17079000000,17784000000,farina maria bianca,italy
haier electronics group,"1,190",1,14985000000,,hong kong
byjus,"1,190",1,1,byju raveendran,india
formosa chemicals & fibre corporation,"1,191",17065999999,17498000000,,taiwan
camden property trust,"1,192",17056000000,15182000000,richard j campo,usa
nitori holdings,"1,193",17050000000,21276000000,akio nitori,japan
qorvo,"1,194",17050000000,20898000000,robert a bruggeworth,usa
cnp assurances sa,"1,195",17021000000,11991000000,stephane dedeyan,france
lkq corporation,"1,196",16985000000,15484000000,dominick zarcone,usa
novolipetsk steel,"1,197",16921000000,20398000000,grigory vitalevich fedorishin,russia
burlington stores,"1,198",16924000000,19983000000,michael o sullivan,usa
molina healthcare,"1,199",16922999999,15696000000,joseph m zubretsky,usa
lens technology,"1,200",16911999999,18024000000,,china
uniper se,"1,201",16886000000,14605000000,,germany
zhejiang chint electrics,"1,202",16882000000,18411000000,,china
nexon,"1,203",16869000000,17081000000,kim jung-ju,japan
george weston,"1,204",16870999999,16181000000,galen weston jr,canada
maxscend microelectronics company,"1,205",16841000000,19616000000,,china
larsen & toubro infotech,"1,206",16844000000,12903000000,,india
vedanta,"1,207",16829999999,15526000000,,india
china railway construction corporation,"1,208",16820000000,15713000000,,china
marubeni corporation,"1,209",16817000000,14005000000,,japan
grupo elektra,"1,210",16802000000,19650000000,ricardo b salinas,mexico
brookfield property partners,"1,211",16785000000,17327000000,ric clark,bermuda
tsingtao brewery company,"1,212",16774000000,15208000000,,china
qualtrics international inc,"1,213",16732000000,23302000000,ryan smith,usa
factset research systems,"1,214",16701000000,14457000000,philip snow,usa
groupe bruxelles lambert sa,"1,215",16677000000,17508000000,ian gallienne,belgium
adevinta asa,"1,216",16683000000,13410000000,rolv erik ryssdal,norway
conagra brands,"1,217",16670000000,15909000000,sean connolly,usa
omnicom group,"1,218",16663000000,15699000000,john wren,usa
china southern airlines company,"1,219",16651000000,13758000000,,china
coles group,"1,220",16625000000,17858000000,,australia
ajinomoto,"1,221",16626000000,16207000000,takaaki nishii,japan
first quantum minerals,"1,222",16614000000,14346000000,philip kr pascall,canada
charles river laboratories international,"1,223",16587000000,22369000000,james c foster,usa
rollins,"1,224",16577000000,19152000000,randall rollins,usa
aercap holdings,"1,225",16582999999,7193000000,aengus kelly,ireland
amundi,"1,226",16574000000,19226000000,,france
wan hai lines,"1,227",16562000000,18767000000,,taiwan
changchun high & new technology industry group,"1,228",16555000000,15936000000,,china
wsp global,"1,229",16553999999,15266000000,alexanj l heureux,canada
wuxi lead intelligent equipment,"1,230",16541000000,17120999999,,china
china molybdenum co ltd,"1,231",16523000000,22116000000,,china
james hardie industries,"1,232",16504999999,17148000000,,ireland
santos,"1,233",16512000000,9465000000,,australia
alfa laval ab publ,"1,234",16501000000,17885000000,,sweden
ase technology holding,"1,235",16469999999,19628000000,,taiwan
shinhan financial group,"1,236",16463999999,17190000000,cho yong-byoung,south korea
eastman chemical company,"1,237",16457000000,15422000000,mark j costa,usa
norsk hyasa,"1,238",16447000000,13870000000,dag mejdell,norway
tryg a/s,"1,239",16442000000,16389000000,morten hubbe,denmark
gigadevice semiconductor beijing,"1,240",16420000000,15311000000,,china
bandai namco holdings,"1,241",16401000000,15652000000,shukuo ishikawa,japan
worldline,"1,242",16384000000,25087000000,,france
masco corporation,"1,243",16370999999,15008000000,keith j allman,usa
bio-techne corporation,"1,244",16319000000,19506000000,robert v baumgartner,usa
sbi life insurance company,"1,245",16308000000,17079999999,,india
varian medical systems,"1,246",16300000000,16399999999,dow r wilson,usa
anhui gujing distillery,"1,247",16291000000,15040000000,,china
abu dhabi commercial bank pjsc,"1,248",16290000000,14430000000,,uae
china longyuan power group corporation,"1,249",16277999999,16172000000,,china
toyota tsusho corporation,"1,250",16263000000,15607000000,ichiro kashitani,japan
teck resources,"1,251",16187000000,12038000000,donald r lindsay,canada
bank of shanghai,"1,252",16184000000,15641000000,,china
incyte corporation,"1,253",16167000000,16892000000,herve hoppenot,usa
pt astra international tbk,"1,254",16152999999,14665000000,budi setiadharma,indonesia
orient overseas international,"1,255",16136000000,16360000000,,hong kong
knorr-bremse,"1,256",16125000000,19574000000,prof klaus mangold,germany
argenx se,"1,257",16128000000,17093000000,tim hauwermeiren,netherlands
eisai,"1,258",16116000000,24088000000,haruo naito,japan
nippon steel corporation,"1,259",16116000000,18455000000,,japan
gulf energy development public company,"1,260",16117000000,15095000000,kasem snidvongs,thailand
ringcentral,"1,261",16105000000,23084000000,vlad shmunis,usa
hangzhou first applied material,"1,262",16111000000,20936000000,,china
carrefour sa,"1,263",16110000000,15011000000,,france
mango excellent media,"1,264",16096000000,12403000000,,china
divi's laboratories,"1,265",16053000000,19334000000,,india
tripcom group,"1,266",16041000000,19763000000,,china
chow tai fook jewellery group,"1,267",16024999999,21528000000,,hong kong
samsung c&t corporation,"1,268",16014000000,18860000000,chi-hun choi,south korea
bollore,"1,269",16011000000,17472000000,,france
athene holding,"1,270",16011000000,12856000000,james belardi,bermuda
sofina societe anonyme,"1,271",16000000000,14988000000,,belgium
avic jonhon optronic technology,"1,272",15961000000,15580000000,,china
ocado group,"1,273",15933000000,21354000000,,uk
new china life insurance company,"1,274",15920000000,16410000000,,china
bank leumi le- israel,"1,275",15890000000,12082000000,samer haj-yehia,israel
check point software technologies,"1,276",15869000000,16683000000,gil shwed,israel
grasim industries,"1,277",15866000000,13647000000,,india
olaplex holdings inc,"1,278",15866000000,,jue wong,usa
guangzhou tinci materials technology,"1,279",15860000000,18453000000,,china
telia company ab publ,"1,280",15857000000,18271000000,,sweden
afterpay,"1,281",15834000000,28676000000,,australia
capitec bank holdings,"1,282",15818000000,15055000000,gerrie fourie,south africa
china unicom hong kong,"1,283",15808000000,16905000000,,china
ck infrastructure holdings,"1,284",15795000000,16178000000,,hong kong
tiffany & co,"1,285",15800000000,15800000000,roger farah,usa
woodside energy group,"1,286",15804000000,14076000000,,australia
imeik technology development coltd,"1,287",15775000000,18562000000,,china
gongniu group,"1,288",15775000000,15782000000,,china
abacus property group,"1,289",15762000000,14756000000,,australia
smith & nephew,"1,290",15688000000,16950000000,,uk
clarivate plc,"1,291",15685000000,16323000000,jerre stead,uk
lendlease group,"1,292",15667000000,18508000000,,australia
shanghai putailai new energy technology,"1,293",15666000000,15224000000,,china
terna spa,"1,294",15647000000,16140999999,stefano antonio donnarumma,italy
atlantia,"1,296",15611000000,15464000000,fabio cerchiai,italy
halma,"1,297",15584000000,15684000000,,uk
huali industrial group company limited,"1,298",15562000000,14977000000,,china
kikkoman corporation,"1,299",15562000000,14569000000,yuzaburo mogi,japan
cp all public company,"1,300",15541000000,18101000000,soopakij chearavanont,thailand
jiangsu eastern shenghong,"1,301",15532000000,22410000000,,china
j m smucker company,"1,302",15534000000,13401000000,timothy p smucker,usa
xp inc,"1,303",15522000000,27198000000,guilherme dias fernandes benchimol,brazil
siemens gamesa renewable energy,"1,304",15524000000,20776000000,andreas nauen,spain
davide campari-milano,"1,305",15491000000,24726000000,luca garavoglia,italy
evergy,"1,306",15489000000,15695000000,terry d bassham,usa
nortonlifelock,"1,307",15481000000,15439000000,john w thompson,usa
biomarin pharmaceutical,"1,308",15468000000,15440000000,jean-jacques bienaime,usa
bath & body works inc,"1,309",15438000000,17865000000,andrew meslow,usa
sonic healthcare,"1,310",15438000000,15324000000,colin s goldschmidt md,australia
lg household & health care,"1,311",15428000000,22278000000,suk cha,south korea
evonik industries ag,"1,312",15424000000,15589000000,,germany
loews corporation,"1,313",15419000000,14374000000,james s tisch,usa
dynatrace,"1,314",15408000000,19539000000,rick m mcconnell,usa
danske bank a/s,"1,315",15411000000,14625000000,carsten rasch egeriis,denmark
krafton inc,"1,316",15397000000,21697000000,chang byung-gyu,south korea
aes corporation,"1,317",15401000000,15906000000,andres gluski,usa
united airlines holdings,"1,318",15319000000,15051000000,scott kirby,usa
transneft,"1,319",15311000000,16058000000,,russia
sompo holdings,"1,320",15302000000,15643000000,satoshi kasai,japan
cardinal health,"1,321",15284000000,15245000000,mike kaufmann,usa
biomerieux,"1,322",15281000000,14693000000,,france
alliant energy corporation,"1,323",15270000000,15213000000,john o larsen,usa
kimco realty corporation,"1,324",15257000000,13306000000,milton cooper,usa
deutsche wohnen se,"1,325",15251000000,21300000000,,germany
spirax-sarco engineering,"1,326",15248000000,16483000000,,uk
avary holding shenzhen,"1,327",15249000000,10941000000,,china
flat glass group,"1,328",15241000000,16376000000,,china
obic,"1,329",15215000000,17317000000,masahiro noda,japan
quanta services,"1,330",15203000000,14207000000,earl c austin jr,usa
swire properties,"1,331",15187000000,16503000000,,hong kong
china shipbuilding industry company,"1,332",15186000000,15391000000,,china
daqin railway,"1,333",15166000000,13804000000,,china
fidelity national financial,"1,334",15154000000,13932000000,william p foley ii,usa
prada,"1,335",15139000000,15718000000,miuccia prada,italy
hyone,"1,336",15135000000,14839000000,mark poweska,canada
rea group,"1,337",15130000000,15104000000,,australia
kanzhun ltd,"1,338",15100000000,15075000000,,china
shanghai international airport,"1,339",15095000000,12565000000,,china
icahn enterprises,"1,340",15075000000,14689000000,keith cozza,usa
stora enso oyj,"1,341",15063000000,16030999999,annica bresky,finland
abn abank,"1,342",15059000000,13348000000,,netherlands
builders firstsource,"1,343",15058000000,11042000000,dave flitman,usa
sulaiman al habib medical services group company,"1,344",15045000000,17294000000,,saudi arabia
rakuten,"1,345",15042000000,15698000000,hiroshi mikitani,japan
w p carey,"1,346",15026000000,14834000000,jason e fox,usa
liberty global,"1,347",15016000000,16018999999,mike fries,uk
warner bros discovery inc,"1,348",15018000000,13865000000,david zaslav,usa
bank of beijing,"1,349",15008000000,13923000000,,china
jd sports fashion,"1,350",15001000000,14799000000,,uk
secom,"1,351",14982000000,16753000000,stewart yen,japan
standard bank group,"1,352",14982000000,15871000000,lungisa fuzile,south africa
shaw communications,"1,353",14984000000,14704000000,bradley shaw,canada
united company rusal,"1,354",14968000000,11522000000,,russia
aluminum corporation of china,"1,355",14949000000,18848000000,,china
indian oil corporation,"1,356",14954000000,14602000000,,india
w r berkley corporation,"1,357",14940000000,13370000000,william r berkley,usa
wharf real estate investment company,"1,358",14926000000,15353000000,,hong kong
equity lifestyle properties,"1,359",14890000000,15740000000,marguerite m nader,usa
silergy,"1,360",14883000000,14392000000,wei chen,taiwan
the mosaic company,"1,361",14883000000,12225000000,james c o rourke,usa
advance auto parts,"1,362",14846000000,12780000000,thomas r greco,usa
jbs,"1,363",14840000000,14871000000,jeremiah o callaghan,brazil
pharmaron beijing,"1,364",14833000000,22954000000,,china
cf industries holdings,"1,365",14829000000,9770000000,w anthony will,usa
teleflex,"1,366",14823000000,18508000000,liam kelly,usa
tdk corporation,"1,367",14791000000,13423000000,shigenao ishiguro,japan
interpublic group of companies,"1,368",14782000000,14654000000,philippe krakowsky,usa
otp bank nyrt,"1,369",14752000000,16710000000,sasndor csanyi,hungary
