name,market_capitalization_usd,price,country
churchill downs,8130000000,217.0,usa
yaskawa,8120000000,31.0,japan
masimo,8110000000,154.0,usa
sk group,8110000000,146.0,s. korea
otp bank,8080000000,28.0,hungary
pure storage,8060000000,27.0,usa
shimadzu,8060000000,27.0,japan
want want china,8060000000,1.0,hong kong
becle,8040000000,2.0,mexico
dropbox,8040000000,22.0,usa
euronext,8030000000,74.0,netherlands
marico,8030000000,6.0,india
srf limited,8030000000,27.0,india
admiral group,8020000000,27.0,uk
oracle corp japan,8010000000,62.0,japan
t&d holdings,7990000000,14.0,japan
tokyo gas,7990000000,18.0,japan
traton,7990000000,16.0,germany
jones lang lasalle,7980000000,168.0,usa
china gas,7970000000,1.0,china
taiwan cement,7970000000,1.0,taiwan
sagax,7960000000,23.0,sweden
choice properties reit,7960000000,11.0,canada
banque cantonale vaudoise,7950000000,93.0,switzerland
tata power,7950000000,2.0,india
new fortress energy,7930000000,38.0,usa
fortune brands home & security,7920000000,62.0,usa
st engineering,7920000000,2.0,singapore
capri holdings,7900000000,61.0,uk
healthcare realty,7900000000,21.0,usa
insurance australia group,7870000000,3.0,australia
orion corporation,7870000000,56.0,finland
gecina,7860000000,106.0,france
telefonica deutschland o2,7860000000,3.0,germany
oge energy,7830000000,39.0,usa
coty,7820000000,9.0,usa
nissin foods,7810000000,77.0,japan
plug power,7810000000,13.0,usa
ally,7780000000,26.0,usa
banco santander-chile,7780000000,16.0,chile
dino polska,7770000000,79.0,poland
francaise des jeux,7770000000,41.0,france
pearson,7760000000,11.0,uk
doosan enerbility,7760000000,12.0,s. korea
americold,7760000000,29.0,usa
grupo acs,7740000000,29.0,spain
gail,7740000000,1.0,india
lear corporation,7740000000,131.0,usa
wh group,7730000000,1.0,hong kong
ccl industries,7730000000,44.0,canada
unibail-rodamco-westfield,7720000000,56.0,france
qantas airways,7700000000,4.0,australia
grupo aeroportuario del sureste,7700000000,257.0,mexico
pentair,7690000000,47.0,uk
olin,7690000000,56.0,usa
idbi bank,7680000000,1.0,india
arc resources,7670000000,12.0,canada
petgas petronas gas,7670000000,4.0,malaysia
zions bancorporation,7660000000,51.0,usa
sofina,7660000000,219.0,belgium
bajaj holdings & investment,7650000000,69.0,india
middleby,7650000000,142.0,usa
ralph lauren,7650000000,116.0,usa
korea zinc,7640000000,410.0,s. korea
aselsan,7640000000,3.0,turkey
apollo hospitals,7640000000,53.0,india
hmm,7630000000,16.0,s. korea
berry global,7630000000,62.0,usa
ciena,7630000000,51.0,usa
kingdom holding,7620000000,2.0,s. arabia
lifco,7620000000,17.0,sweden
azrieli group,7620000000,63.0,israel
old republic international,7610000000,25.0,usa
hess midstream,7600000000,31.0,usa
indofood cbp,7600000000,1.0,indonesia
pershing square holdings,7600000000,35.0,usa
sealed air,7590000000,52.0,usa
elbit systems,7580000000,171.0,israel
yamaha motor,7580000000,22.0,japan
arabian internet and communications services,7570000000,64.0,s. arabia
icici lombard,7560000000,15.0,india
acadia healthcare,7550000000,83.0,usa
megacable holdings,7530000000,3.0,mexico
iridium communications,7530000000,60.0,usa
alfamart,7530000000,0.0,indonesia
erdemir,7520000000,2.0,turkey
shockwave medical,7520000000,208.0,usa
punjab national bank,7520000000,1.0,india
agc,7510000000,34.0,japan
bkw ag,7500000000,142.0,switzerland
halozyme therapeutics,7500000000,55.0,usa
phoenix group,7470000000,7.0,uk
grifols,7460000000,9.0,spain
nestle malaysia,7460000000,32.0,malaysia
monotaro,7450000000,15.0,japan
turkiye petrol rafinerileri,7450000000,27.0,turkey
chemed,7450000000,501.0,usa
aptargroup,7440000000,114.0,usa
rakuten,7430000000,5.0,japan
st james's place,7430000000,14.0,uk
caci,7430000000,315.0,usa
indutrade,7420000000,20.0,sweden
hamamatsu,7420000000,48.0,japan
nrg energy,7410000000,32.0,usa
gea group,7410000000,41.0,germany
organon,7410000000,29.0,usa
celsius holdings,7410000000,97.0,usa
nippon building fund,7410000000,4358.0,japan
new world development company,7400000000,3.0,hong kong
manhattan associates,7400000000,119.0,usa
medical properties trust,7390000000,12.0,usa
sinopac financial holdings,7380000000,1.0,taiwan
auckland airport,7370000000,5.0,new zealand
kazatomprom,7360000000,28.0,kazakhstan
chubu electric power,7360000000,10.0,japan
united spirits,7360000000,10.0,india
raiadrogasil,7350000000,4.0,brazil
yes bank,7340000000,0.0,india
xero,7330000000,48.0,new zealand
donaldson,7320000000,60.0,usa
woori financial group,7320000000,30.0,s. korea
misc berhad,7320000000,2.0,malaysia
diasorin,7310000000,133.0,italy
signature bank,7310000000,116.0,usa
canadian utilities,7310000000,27.0,canada
jindal steel & power,7300000000,7.0,india
tokyu,7300000000,12.0,japan
shoprite,7300000000,13.0,south africa
davita,7300000000,81.0,usa
abb india,7300000000,34.0,india
wex,7290000000,167.0,usa
globus medical,7280000000,72.0,usa
tetra tech,7270000000,137.0,usa
japan exchange group,7260000000,14.0,japan
skf svenska kullagerfabriken,7260000000,16.0,sweden
kongsberg gruppen,7250000000,41.0,norway
mohawk industries,7250000000,114.0,usa
yang ming,7240000000,2.0,taiwan
mitsubishi chemical holdings,7240000000,5.0,japan
ascendis pharma,7220000000,127.0,denmark
orkla,7220000000,7.0,norway
unipolsai,7190000000,3.0,italy
baloise,7190000000,159.0,switzerland
arkema,7190000000,95.0,france
dentsply sirona,7180000000,33.0,usa
mastec,7160000000,92.0,usa
zozo,7160000000,24.0,japan
planet fitness,7140000000,80.0,usa
sabesp,7130000000,10.0,brazil
fosun,7130000000,1.0,china
shanghai commercial and savings bank,7130000000,1.0,taiwan
aisin seiki,7120000000,26.0,japan
inspire medical systems,7120000000,247.0,usa
sisecam,7110000000,2.0,turkey
wan hai lines,7110000000,3.0,taiwan
genscript biotech,7100000000,3.0,china
etihad etisalat mobily,7100000000,9.0,s. arabia
far eastone,7100000000,2.0,taiwan
indian overseas bank,7080000000,0.0,india
singapore exchange,7070000000,7.0,singapore
accor,7070000000,27.0,france
s-oil,7070000000,61.0,s. korea
ocado,7060000000,9.0,uk
oci,7060000000,34.0,netherlands
mattel,7050000000,20.0,usa
itt,7050000000,85.0,usa
china development financial,7050000000,0.0,taiwan
canara bank,7040000000,4.0,india
concentrix,7040000000,136.0,usa
emcor,7030000000,148.0,usa
rohm,7010000000,71.0,japan
graphic packaging,7000000000,23.0,usa
kt corporation,7000000000,14.0,s. korea
rational ag,6990000000,601.0,germany
omega healthcare,6980000000,29.0,usa
novatek microelectronics,6970000000,11.0,taiwan
dolby,6960000000,73.0,usa
elm company,6950000000,87.0,s. arabia
valmont industries,6950000000,326.0,usa
empire company,6940000000,27.0,canada
meiji holdings,6940000000,50.0,japan
cpfl energia,6940000000,6.0,brazil
rtl group,6940000000,45.0,luxembourg
nexstar media group,6930000000,184.0,usa
kbr,6930000000,51.0,usa
bok financial,6910000000,103.0,usa
skechers,6910000000,45.0,usa
brixmor property group,6910000000,23.0,usa
symbotic,6900000000,12.0,usa
avis budget group,6890000000,166.0,usa
robinhood,6890000000,8.0,usa
asr nederland,6890000000,45.0,netherlands
igm financial,6890000000,29.0,canada
daito trust construction,6880000000,100.0,japan
melrose industries,6880000000,2.0,uk
mindtree,6870000000,42.0,india
edison,6870000000,1.0,italy
cathay pacific,6870000000,1.0,hong kong
advanced drainage systems,6860000000,83.0,usa
crocs,6860000000,111.0,usa
bancolombia,6840000000,28.0,colombia
karuna therapeutics,6840000000,199.0,usa
swiss prime site,6820000000,89.0,switzerland
ncsoft,6820000000,336.0,s. korea
autoliv,6810000000,78.0,sweden
northland power,6800000000,28.0,canada
sainsbury's,6800000000,3.0,uk
assurant,6790000000,129.0,usa
prosperity bancshares,6790000000,74.0,usa
centrica,6780000000,1.0,uk
hankyu hanshin holdings,6770000000,28.0,japan
amorepacific,6770000000,108.0,s. korea
arrow electronics,6770000000,110.0,usa
ote group,6750000000,15.0,greece
klepierre,6750000000,24.0,france
western alliance bancorporation,6750000000,62.0,usa
pgnig,6740000000,1.0,poland
gentex,6740000000,29.0,usa
whitbread,6740000000,33.0,uk
restoration hardware,6730000000,292.0,usa
korean air lines,6710000000,24.0,s. korea
roivant sciences,6710000000,9.0,uk
amkor technology,6700000000,27.0,usa
globant,6690000000,160.0,luxembourg
union bank of india,6690000000,1.0,india
washington h soul pattinson and company whsp,6680000000,19.0,australia
berger paints,6680000000,7.0,india
ypf yacimientos petroliferos fiscales,6680000000,9.0,argentina
canadian tire,6660000000,199.0,canada
idemitsu kosan,6650000000,22.0,japan
hunter douglas,6650000000,191.0,netherlands
first industrial realty trust,6650000000,49.0,usa
turkiye is bankasi,6650000000,1.0,turkey
cemex,6640000000,5.0,mexico
cholamandalam investment and finance,6640000000,8.0,india
hero motocorp,6630000000,33.0,india
skanska,6630000000,16.0,sweden
copenhagen airport,6630000000,834.0,denmark
santander polska,6630000000,64.0,poland
sensata technologies,6620000000,43.0,usa
wesco international,6620000000,130.0,usa
pandora,6620000000,74.0,denmark
bid corp,6610000000,20.0,south africa
merdeka copper gold,6610000000,0.0,indonesia
amplifon,6580000000,29.0,italy
dws group,6580000000,33.0,germany
mapletree commercial trust,6570000000,1.0,singapore
frontier communications,6570000000,27.0,usa
sanlam,6570000000,3.0,south africa
new oriental,6560000000,39.0,china
asus,6560000000,9.0,taiwan
zoomlion,6560000000,0.0,china
ritchie bros auctioneers,6540000000,59.0,canada
japan post insurance,6540000000,17.0,japan
medpace,6530000000,210.0,usa
kakao pay,6530000000,49.0,s. korea
demant,6530000000,28.0,denmark
saudi international petrochemical company sipchem,6530000000,9.0,s. arabia
upl,6530000000,9.0,india
eastgroup properties,6520000000,150.0,usa
nvent electric,6520000000,39.0,uk
levi strauss,6510000000,17.0,usa
curtiss-wright,6510000000,170.0,usa
jfe holdings,6490000000,11.0,japan
ingredion,6480000000,99.0,usa
mks instruments,6480000000,97.0,usa
capcom,6480000000,30.0,japan
dxc technology,6480000000,28.0,usa
matador resources,6470000000,55.0,usa
israel discount bank,6460000000,52.0,israel
uipath,6460000000,12.0,usa
great eastern,6460000000,14.0,singapore
murphy oil,6440000000,41.0,usa
rexel,6430000000,21.0,france
treasury wine estates,6430000000,9.0,australia
bankinter,6420000000,7.0,spain
atlas arteria,6410000000,4.0,australia
trend micro,6410000000,45.0,japan
voya financial,6400000000,66.0,usa
harley-davidson,6400000000,44.0,usa
clearway energy,6400000000,32.0,usa
cae,6390000000,20.0,canada
stifel,6380000000,60.0,usa
industrial bank of korea ibk,6380000000,8.0,s. korea
generac power systems,6380000000,101.0,usa
spark new zealand,6380000000,3.0,new zealand
turquoise hill resources,6380000000,31.0,canada
37 interactive entertainment,6370000000,3.0,china
west fraser timber,6370000000,75.0,canada
makita,6360000000,23.0,japan
holmen,6350000000,40.0,sweden
nippon sanso,6350000000,15.0,japan
toho co,6350000000,36.0,japan
banca mediolanum,6340000000,9.0,italy
reynolds consumer,6340000000,30.0,usa
wyndham hotels & resorts,6340000000,72.0,usa
daiwa securities group,6340000000,4.0,japan
osaka gas,6340000000,15.0,japan
torrent pharmaceuticals,6340000000,19.0,india
oz minerals,6330000000,19.0,australia
agilon health,6330000000,15.0,usa
allegroeu,6330000000,6.0,poland
ia financial,6320000000,60.0,canada
tube investments of india,6320000000,33.0,india
helvetia holding,6320000000,120.0,switzerland
garantibank,6310000000,2.0,turkey
bachem,6310000000,86.0,switzerland
globalwafers,6300000000,14.0,taiwan
hapvida,6300000000,1.0,brazil
charoen pokphand indonesia,6300000000,0.0,indonesia
kghm polska miedz,6300000000,31.0,poland
us steel,6300000000,27.0,usa
ternium,6290000000,32.0,luxembourg
agree realty,6290000000,71.0,usa
wynn macau,6290000000,1.0,macau
adaro energy,6270000000,0.0,indonesia
kinsale capital group,6270000000,272.0,usa
gmo payment gateway,6260000000,83.0,japan
world wrestling entertainment,6260000000,84.0,usa
goto,6260000000,0.0,indonesia
texas roadhouse,6250000000,94.0,usa
tis,6240000000,26.0,japan
new york community bank,6230000000,9.0,usa
sampoerna,6220000000,0.0,indonesia
shriram transport finance,6220000000,17.0,india
clean harbors,6220000000,115.0,usa
nextera energy partners,6220000000,72.0,usa
rli corp,6210000000,137.0,usa
affiliated managers group,6210000000,165.0,usa
mdu resources,6200000000,31.0,usa
houlihan lokey,6200000000,90.0,usa
agnc investment,6200000000,11.0,usa
bombardier recreational products,6200000000,78.0,canada
hanwha solutions,6180000000,33.0,s. korea
toromont,6180000000,75.0,canada
samvardhana motherson,6180000000,1.0,india
southwestern energy,6180000000,6.0,usa
indorama ventures,6170000000,1.0,thailand
lodha group,6170000000,13.0,india
rbc bearings,6170000000,213.0,usa
endeavor group,6170000000,21.0,usa
belimo holding,6160000000,501.0,switzerland
rumo,6160000000,3.0,brazil
indian railway catering & tourism,6160000000,8.0,india
flowers foods,6150000000,29.0,usa
yamaha,6150000000,36.0,japan
kose,6140000000,108.0,japan
reece group,6140000000,10.0,australia
stag industrial,6140000000,34.0,usa
grupo simec,6130000000,37.0,mexico
healthsouth,6130000000,61.0,usa
minebeamitsumi,6120000000,15.0,japan
futu holdings,6120000000,44.0,hong kong
choice hotels international,6120000000,115.0,usa
yanbu national petrochemical,6110000000,11.0,s. arabia
indus towers,6110000000,2.0,india
krafton,6110000000,130.0,s. korea
tempur sealy,6110000000,36.0,usa
nemetschek,6100000000,53.0,germany
woodward,6100000000,102.0,usa
murphy usa,6100000000,270.0,usa
bosch india,6090000000,207.0,india
procore,6090000000,44.0,usa
tpg telecom,6090000000,3.0,australia
magnolia oil & gas,6080000000,22.0,usa
roku,6070000000,44.0,usa
south state corp,6050000000,80.0,usa
oshkosh corporation,6050000000,93.0,usa
starwood property trust,6050000000,19.0,usa
clarivate,6040000000,9.0,uk
on holding,6040000000,19.0,switzerland
pilgrim's pride,6040000000,26.0,usa
pi industries,6040000000,40.0,india
kobe bussan,6040000000,28.0,japan
swedish orphan biovitrum,6030000000,20.0,sweden
qualtrics,6030000000,10.0,usa
cts eventim,6030000000,63.0,germany
coupa,6020000000,79.0,usa
asset world corp,6020000000,0.0,thailand
elanco,6020000000,13.0,usa
landstar system,6010000000,167.0,usa
chang hwa commercial bank,6000000000,1.0,taiwan
silergy,6000000000,16.0,china
boc aviation,6000000000,9.0,singapore
macy's,5990000000,22.0,usa
valvoline,5990000000,34.0,usa
quidelortho,5990000000,91.0,usa
polaris,5990000000,103.0,usa
daifuku,5990000000,48.0,japan
united tractors,5990000000,2.0,indonesia
taishin financial holdings,5980000000,1.0,taiwan
airtac international,5970000000,30.0,taiwan
wacker chemie,5960000000,120.0,germany
nissan chemical,5960000000,43.0,japan
newell brands,5950000000,14.0,usa
hualan biological engineering,5950000000,3.0,china
adecco group,5950000000,36.0,switzerland
first american,5950000000,58.0,usa
huntsman corporation,5950000000,31.0,usa
kintetsu ghd,5940000000,31.0,japan
championx,5940000000,30.0,usa
nedbank,5940000000,12.0,south africa
commercial metals company,5930000000,51.0,usa
cosan,5930000000,13.0,brazil
descartes systems,5920000000,70.0,canada
unimicron,5920000000,4.0,taiwan
nippon prologis reit,5910000000,2217.0,japan
saic,5910000000,108.0,usa
sekisui chemical,5910000000,14.0,japan
raiffeisen bank international,5900000000,18.0,austria
kinross gold,5900000000,5.0,canada
konami holdings,5900000000,44.0,japan
corporate office properties trust,5890000000,26.0,usa
tvs motor,5890000000,12.0,india
otsuka,5890000000,31.0,japan
saia,5890000000,223.0,usa
japan real estate investment,5890000000,4253.0,japan
kingfisher,5880000000,3.0,uk
toll brothers,5880000000,53.0,usa
hikari tsushin,5880000000,133.0,japan
mapfre,5870000000,2.0,spain
nutanix,5870000000,26.0,usa
doximity,5870000000,31.0,usa
hulic,5870000000,8.0,japan
boyd gaming,5860000000,56.0,usa
sonoco,5860000000,60.0,usa
convatec group,5850000000,3.0,uk
crane co,5850000000,104.0,usa
axalta,5850000000,27.0,usa
emperador brandy,5850000000,0.0,philippines
axfood,5830000000,27.0,sweden
land securities group,5820000000,8.0,uk
stockland,5820000000,2.0,australia
atacadao,5810000000,3.0,brazil
toto,5810000000,34.0,japan
samsara,5810000000,11.0,usa
covivio,5800000000,61.0,france
gitlab,5790000000,39.0,usa
lithia motors,5790000000,212.0,usa
andritz,5790000000,58.0,austria
hk electric investments,5790000000,1.0,hong kong
banco bpm,5780000000,4.0,italy
ashland,5780000000,107.0,usa
investec,5770000000,7.0,uk
sumitomo chemical,5770000000,4.0,japan
silgan holdings,5770000000,52.0,usa
info edge,5770000000,45.0,india
range resources,5760000000,24.0,usa
melco resorts & entertainment,5750000000,13.0,hong kong
columbia sportswear,5750000000,93.0,usa
allegro microsystems,5750000000,30.0,usa
ionis pharmaceuticals,5750000000,41.0,usa
enlink midstream,5740000000,12.0,usa
littelfuse,5740000000,232.0,usa
tele2,5740000000,8.0,sweden
abbott india,5740000000,270.0,india
alaska airlines,5740000000,45.0,usa
charoen pokphand foods,5740000000,1.0,thailand
fastighets ab balder,5730000000,5.0,sweden
valley bank,5730000000,11.0,usa
mirvac group,5720000000,1.0,australia
ds smith,5720000000,4.0,uk
zomato,5720000000,1.0,india
mapletree logistics trust,5720000000,1.0,singapore
banco sabadell,5700000000,1.0,spain
h&r block,5700000000,37.0,usa
bausch lomb,5700000000,16.0,canada
yamana gold,5690000000,6.0,canada
dillard's,5690000000,332.0,usa
firstservice,5680000000,128.0,canada
synovus,5650000000,39.0,usa
nomura real estate master fund,5650000000,1186.0,japan
spirit realty capital,5650000000,40.0,usa
pinnacle financial partners,5630000000,74.0,usa
page industries,5630000000,505.0,india
uwm holdings,5630000000,4.0,usa
pdc energy,5630000000,61.0,usa
mol group,5630000000,7.0,hungary
tenet healthcare,5620000000,52.0,usa
endeavour mining,5620000000,23.0,uk
tmx group,5620000000,101.0,canada
getinge,5620000000,21.0,sweden
engie brasil,5610000000,7.0,brazil
lumen,5610000000,5.0,usa
hybe,5610000000,132.0,s. korea
tecan,5610000000,441.0,switzerland
post holdings,5600000000,95.0,usa
saudi kayan petrochemical company,5600000000,4.0,s. arabia
exl service,5600000000,170.0,usa
rockwool,5590000000,261.0,denmark
siteone landscape supply,5590000000,124.0,usa
new york times,5590000000,34.0,usa
canadian apartment properties reit,5580000000,32.0,canada
petro rio,5580000000,7.0,brazil
fti consulting,5580000000,162.0,usa
dexus,5570000000,5.0,australia
bank pekao bank polska kasa opieki,5570000000,21.0,poland
exelixis,5570000000,17.0,usa
brunswick corporation,5560000000,77.0,usa
komercni banka,5560000000,29.0,czech republic
commercial international bank,5560000000,1.0,egypt
embracer group,5560000000,5.0,sweden
light & wonder,5560000000,59.0,usa
pegatron,5560000000,2.0,taiwan
technipfmc,5550000000,12.0,uk
lancaster colony corporation,5550000000,202.0,usa
nanya technology,5540000000,2.0,taiwan
quinenco,5540000000,3.0,chile
far eastern new century,5540000000,1.0,taiwan
jsw energy,5540000000,3.0,india
tal education group,5540000000,9.0,china
knowbe4,5530000000,25.0,usa
selective insurance,5530000000,92.0,usa
idacorp,5530000000,109.0,usa
national fuel gas,5530000000,61.0,usa
tim sa,5510000000,11.0,brazil
procter & gamble india,5510000000,170.0,india
soitec,5510000000,154.0,france
square enix,5500000000,46.0,japan
dun & bradstreet,5500000000,13.0,usa
bluescope steel,5500000000,12.0,australia
stantec,5500000000,49.0,canada
mitsubishi motors,5500000000,4.0,japan
yancoal,5500000000,4.0,australia
safety,5490000000,140.0,usa
psp swiss property,5490000000,120.0,switzerland
acc,5490000000,29.0,india
norwegian cruise line,5490000000,13.0,usa
beijer ref,5490000000,15.0,sweden
beazley,5480000000,8.0,uk
gpt group,5480000000,3.0,australia
gxo logistics,5480000000,46.0,usa
glacier bancorp,5470000000,49.0,usa
pbf energy,5470000000,39.0,usa
koei tecmo,5460000000,17.0,japan
pldt,5460000000,25.0,philippines
idp education,5450000000,20.0,australia
acuity brands,5440000000,170.0,usa
ssab,5440000000,5.0,sweden
container corporation of india,5430000000,9.0,india
western union,5430000000,14.0,usa
united bankshares,5430000000,40.0,usa
yamato holdings,5430000000,15.0,japan
medibank,5430000000,2.0,australia
chongqing rural commercial bank,5420000000,0.0,china
clearwater analytics,5410000000,18.0,usa
yageo,5410000000,16.0,taiwan
kajima,5400000000,11.0,japan
primerica,5400000000,146.0,usa
lincoln national corporation,5390000000,32.0,usa
ebos group,5380000000,28.0,new zealand
m&g plc,5380000000,2.0,uk
city developments,5370000000,6.0,singapore
ctp nv,5370000000,12.0,netherlands
trent limited,5370000000,15.0,india
old national bank,5360000000,18.0,usa
element fleet management,5360000000,14.0,canada
clariant,5360000000,16.0,switzerland
marriott vacations worldwide,5350000000,140.0,usa
envista,5350000000,33.0,usa
option care health,5340000000,29.0,usa
indian hotels company,5330000000,4.0,india
georg fischer,5330000000,65.0,switzerland
the ensign group,5330000000,96.0,usa
air canada,5320000000,15.0,canada
vertiv holdings,5320000000,14.0,usa
quebecor,5320000000,23.0,canada
taiwan high speed rail,5310000000,1.0,taiwan
chord energy,5310000000,128.0,usa
hertz,5310000000,16.0,usa
united breweries,5300000000,20.0,india
topbuild,5300000000,166.0,usa
telus international,5290000000,20.0,canada
airtel africa,5290000000,1.0,uk
isdemir,5290000000,2.0,turkey
stevanato,5290000000,20.0,italy
bwx technologies,5290000000,58.0,usa
nykaa,5290000000,2.0,india
faw car,5280000000,1.0,china
hagerty,5280000000,9.0,usa
universal display corporation,5280000000,112.0,usa
zydus lifesciences,5280000000,5.0,india
jabal omar development,5280000000,5.0,s. arabia
antero midstream,5270000000,11.0,usa
univar solutions,5270000000,32.0,usa
equatorial energia,5270000000,5.0,brazil
k line,5270000000,20.0,japan
eagle materials,5270000000,143.0,usa
seven group holdings sgh,5260000000,15.0,australia
lynas,5260000000,6.0,malaysia
iaa-insurance auto auctions,5260000000,39.0,usa
apartment income reit,5260000000,35.0,usa
worley,5260000000,10.0,australia
oak street health,5250000000,22.0,usa
ashok leyland,5250000000,2.0,india
itochu techno-solutions,5250000000,23.0,japan
gubretas,5250000000,16.0,turkey
groupe seb,5230000000,95.0,france
the weir group,5230000000,20.0,uk
draftkings,5220000000,12.0,usa
muthoot finance,5210000000,13.0,india
timken company,5210000000,72.0,usa
ccc intelligent solutions,5210000000,8.0,usa
hexcel,5210000000,62.0,usa
gildan,5210000000,29.0,canada
assai atacadista,5210000000,18.0,brazil
confluent,5200000000,18.0,usa
leg immobilien,5200000000,70.0,germany
dt midstream,5200000000,54.0,usa
credit acceptance,5190000000,402.0,usa
lundin mining,5190000000,7.0,canada
wartsila,5190000000,9.0,finland
wintrust financial,5180000000,85.0,usa
chart industries,5180000000,122.0,usa
somfy,5180000000,151.0,france
telecom italia,5180000000,0.0,italy
be semiconductor,5180000000,65.0,netherlands
indian railway finance,5180000000,0.0,india
rightmove,5180000000,6.0,uk
akbank,5180000000,1.0,turkey
ald automotive,5180000000,12.0,france
balkrishna industries,5170000000,27.0,india
r1 rcm,5170000000,12.0,usa
guidewire software,5170000000,63.0,usa
rayonier,5150000000,34.0,usa
valmet,5150000000,28.0,finland
dai nippon printing,5150000000,19.0,japan
apellis pharmaceuticals,5150000000,47.0,usa
voestalpine,5150000000,29.0,austria
national storage,5140000000,36.0,usa
dksh holding,5140000000,79.0,switzerland
patanjali foods,5140000000,14.0,india
barratt developments,5140000000,5.0,uk
fs kkr capital,5130000000,18.0,usa
ibiden,5130000000,37.0,japan
realtek,5120000000,10.0,taiwan
cemig,5120000000,2.0,brazil
healthequity,5120000000,61.0,usa
core & main,5100000000,21.0,usa
obayashi,5100000000,7.0,japan
zurich airport,5100000000,166.0,switzerland
coherent,5090000000,37.0,usa
schaeffler india,5090000000,33.0,india
gruma maseca,5080000000,14.0,mexico
universal forest products,5080000000,82.0,usa
falabella,5070000000,2.0,chile
phillips-van heusen,5070000000,80.0,usa
ipg photonics,5060000000,104.0,usa
mcdonald's japan,5050000000,38.0,japan
au small finance bank,5050000000,8.0,india
exponent,5050000000,100.0,usa
glp j-reit,5050000000,1072.0,japan
tomra,5040000000,17.0,norway
persimmon,5040000000,16.0,uk
trex,5030000000,46.0,usa
iqiyi,5020000000,6.0,china
dongfeng motor,5020000000,1.0,china
astral poly technik,5020000000,25.0,india
power finance corp,5020000000,2.0,india
kingsoft,5020000000,4.0,china
madrigal pharmaceuticals,5010000000,281.0,usa
gamestop,5010000000,16.0,usa
viper energy partners,5000000000,30.0,usa
seek limited,5000000000,14.0,australia
colgate-palmolive india,5000000000,18.0,india
turkcell,5000000000,5.0,turkey
koito manufacturing,4990000000,16.0,japan
cg power and industrial solutions,4990000000,3.0,india
kobayashi pharmaceutical,4980000000,66.0,japan
banco popular,4970000000,68.0,usa
euronet worldwide,4970000000,98.0,usa
noble corporation,4970000000,37.0,uk
lhc group,4960000000,160.0,usa
portland general electric,4960000000,49.0,usa
lotte chemical,4960000000,140.0,s. korea
leonardo,4960000000,9.0,italy
dutch bros,4960000000,30.0,usa
banco de credito e inversiones,4950000000,29.0,chile
prometheus biosciences,4950000000,106.0,usa
watts water technologies,4940000000,149.0,usa
discovery limited,4940000000,8.0,south africa
algonquin power & utilities,4940000000,7.0,canada
novanta,4930000000,138.0,usa
valaris,4930000000,66.0,uk
lufax,4930000000,2.0,china
hargreaves lansdown,4930000000,10.0,uk
keyera,4930000000,22.0,canada
permian resources,4930000000,9.0,usa
intra-cellular therapies,4930000000,52.0,usa
hanover insurance group,4910000000,138.0,usa
alight,4900000000,9.0,usa
bharat forge,4900000000,11.0,india
integra lifesciences,4900000000,59.0,usa
mercury nz,4890000000,4.0,new zealand
eva air,4890000000,1.0,taiwan
altagas,4890000000,17.0,canada
brookfield renewable,4890000000,28.0,usa
chemours,4880000000,32.0,usa
evoqua water technologies,4880000000,40.0,usa
first financial bankshares,4880000000,34.0,usa
carsales,4880000000,14.0,australia
national instruments,4870000000,37.0,usa
x5 retail group,4870000000,18.0,netherlands
petro rabigh,4870000000,3.0,s. arabia
cyberark,4870000000,117.0,israel
new jersey resources,4860000000,50.0,usa
jollibee,4860000000,4.0,philippines
perrigo,4860000000,36.0,ireland
jarir,4860000000,41.0,s. arabia
valeo,4850000000,20.0,france
wendys company,4850000000,23.0,usa
vanguard international semiconductor,4840000000,3.0,taiwan
yap kredi,4840000000,1.0,turkey
tower semiconductor,4830000000,44.0,israel
sunrun,4830000000,23.0,usa
homeserve,4830000000,14.0,uk
helmerich & payne,4820000000,46.0,usa
fnb corporation,4820000000,13.0,usa
nippon express,4820000000,54.0,japan
nhpc limited,4810000000,0.0,india
riocan reit,4800000000,16.0,canada
eurazeo,4800000000,63.0,france
cummins india,4800000000,17.0,india
cerevel therapeutics,4800000000,31.0,usa
barito pacific,4800000000,0.0,indonesia
just eat takeaway,4790000000,22.0,netherlands
sharp corporation,4790000000,7.0,japan
pirelli,4790000000,5.0,italy
saudi investment bank,4790000000,5.0,s. arabia
smartsheet,4780000000,36.0,usa
koza gold,4780000000,31.0,turkey
nan ya pcb,4780000000,7.0,taiwan
five9,4780000000,68.0,usa
madras rubber factory,4780000000,1128.0,india
hyundai glovis,4780000000,127.0,s. korea
hilton grand vacations,4770000000,42.0,usa
asia cement,4770000000,1.0,taiwan
stericycle,4760000000,52.0,usa
johnson matthey,4760000000,26.0,uk
ormat technologies,4760000000,85.0,usa
international game technology,4760000000,24.0,uk
amn healthcare services,4750000000,110.0,usa
bank ozk,4750000000,40.0,usa
polycab india,4750000000,32.0,india
atkore,4740000000,119.0,usa
aalberts,4740000000,43.0,netherlands
civitas resources,4740000000,56.0,usa
bandhan bank,4740000000,3.0,india
silicon labs,4740000000,142.0,usa
mazda,4730000000,8.0,japan
gol airlines,4730000000,3.0,brazil
fabrinet,4730000000,129.0,cayman islands
zhongan insurance,4730000000,3.0,china
axis capital,4730000000,56.0,bermuda
turk telekom,4720000000,1.0,turkey
owl rock capital,4720000000,12.0,usa
scsk corporation,4720000000,15.0,japan
