name,code,rank,marketcap,country,share_price,change(1day),change(1year),categories
banco de brasilia,bsli3.sa,4505,1070000000,brazil,3,-9.53%,-30.63%,"banks, financialservices"
waldencast,wald,4504,1070000000,usa,9,6.52%,-0.10%,"cosmeticsandbeauty, wellness"
new york mortgage trust,nymt,4507,1060000000,usa,2,2.13%,-25.96%,"reits, realestate, investment"
sun country airlines,sncy,4506,1070000000,usa,18,-2.13%,-31.38%,"airlines, travel, transportation"
rites,rites.ns,4502,1070000000,india,4,-1.17%,24.58%,"engineering, professionalservices"
usertesting,user,4500,1070000000,usa,7,0.68%,-7.38%,"software, tech"
eckert & ziegler,euz.f,4503,1070000000,germany,51,1.40%,-52.72%,
heritage financial,hfwa,4481,1090000000,usa,31,0.77%,34.02%,"banks, financialservices"
meridianlink,mlnk,4480,1090000000,usa,13,-3.07%,-38.64%,"software, tech, financialservices"
thg the hut group,thg.l,4479,1100000000,uk,0,0.74%,-69.58%,"ecommerce, internet, tech, retail"
taro pharmaceutical,taro,4477,1100000000,israel,29,-0.07%,-45.45%,
mativ holdings,matv,4478,1100000000,usa,20,-3.42%,-33.76%,"pulpandpaper, packaging"
dorchester minerals,dmlp,4476,1100000000,usa,28,1.38%,54.74%,"energy, oilgas, oilgasequipmentservices"
zentalis pharmaceuticals,zntl,4475,1100000000,usa,19,-0.41%,-74.48%,"pharmaceuticals, biotech"
german american bancorp,gabc,4473,1100000000,usa,37,-0.87%,,"banks, financialservices"
orion engineered carbons,oec,4474,1100000000,usa,18,-0.38%,-1.52%,chemicals
olo,olo,4472,1100000000,usa,6,0.00%,-74.64%,"fooddelivery, food, internet, software, tech"
veon,veon,4471,1100000000,netherlands,0,0.00%,-66.85%,telecommunication
kforce,kfrc,4469,1100000000,usa,53,-2.73%,-27.37%,"staffingemploymentservices, professionalservices"
uniqure,qure,4466,1110000000,netherlands,23,-2.10%,-17.60%,"genetherapy, genomics, pharmaceuticals, biotech"
volaris,vlrs,4465,1110000000,mexico,9,-2.19%,-41.52%,"airlines, travel, transportation"
ligand pharmaceuticals,lgnd,4468,1110000000,usa,65,-3.11%,-57.41%,
revenio,reg1v.he,4467,1110000000,finland,41,-0.60%,-33.72%,
acleda bank,abc.kh,4464,1110000000,cambodia,2,0.19%,,"banks, financialservices"
john wood group,wg.l,4470,1100000000,uk,1,3.08%,-39.38%,"professionalservices, engineering"
rbl bank,rblbank.ns,4462,1110000000,india,1,-0.26%,-27.34%,"banks, financialservices"
schweiter technologies,swtq.sw,4461,1110000000,switzerland,777,-1.08%,-46.37%,buildingmaterials
grupa zywiec,zwc.wa,4463,1110000000,poland,108,0.00%,-15.22%,"beverages, alcoholicbeverages"
maytronics,mtrn.ta,4460,1110000000,israel,10,-2.18%,,robotics
ryerson,ryi,4459,1110000000,usa,30,-4.23%,15.91%,
freightways,fre.nz,4458,1110000000,new zealand,6,0.00%,-26.46%,transportation
piedmont office realty trust,pdm,4457,1110000000,usa,9,-0.55%,-50.57%,"realestate, investment"
southside bancshares,sbsi,4456,1110000000,usa,34,-0.06%,-16.29%,"banks, financialservices"
us physical therapy,usph,4454,1110000000,usa,86,-3.29%,-11.14%,"medicalcarefacilities, healthcare"
overstockcom,ostk,4455,1110000000,usa,24,-0.53%,-71.57%,"bitcoin, ecommerce, tech, retail"
biohaven pharmaceutical,bhvn,4453,1110000000,usa,16,2.76%,-84.39%,"pharmaceuticals, biotech"
fulgent genetics,flgt,4452,1120000000,usa,37,2.72%,-56.47%,"genomics, diagnosticsandtesting, biotech"
proterra,ptra,4450,1120000000,usa,4,-0.80%,-49.18%,electricvehicles
advansix,asix,4451,1120000000,usa,40,-0.47%,-11.67%,chemicals
green brick partners,grbk,4449,1120000000,usa,24,4.55%,-21.99%,construction
photronics,plab,4448,1120000000,usa,18,1.17%,28.06%,"semiconductors, tech"
pdf solutions,pdfs,4447,1120000000,usa,30,-1.86%,-2.02%,"software, tech, semiconductors, techhardware"
magellan financial group,mfg.ax,4445,1120000000,australia,6,-1.92%,-69.87%,"assetmanagement, investment"
centerra gold,cgau,4446,1120000000,canada,5,-0.20%,-28.97%,"mining, goldmining"
semrush,semr,4444,1120000000,usa,7,-3.52%,-61.50%,"software, tech, internet"
cyient,cyient.ns,4442,1120000000,india,10,-0.30%,-23.17%,engineering
grendene,grnd3.sa,4441,1120000000,brazil,1,1.88%,-18.30%,footwear
aston martin,a5sa.f,4440,1120000000,uk,1,-3.40%,-91.24%,automakers
primoris services corporation,prim,4443,1120000000,usa,21,-0.28%,-11.38%,construction
spartannash,sptn,4439,1120000000,usa,32,-3.06%,32.05%,"supermarketchains, retail, food"
paya,paya,4438,1130000000,usa,8,0.47%,29.35%,"financialservices, internet, tech"
equinox gold,eqx,4437,1130000000,canada,3,4.51%,-46.31%,
propetro,pump,4435,1130000000,usa,9,0.51%,11.63%,"oilgas, oilgasequipmentservices"
malibu boats,mbuu,4436,1130000000,usa,55,-0.71%,-21.11%,
orla mining,orla,4434,1130000000,canada,3,2.77%,-17.74%,"mining, goldmining, silvermining"
paymentus,pay,4433,1130000000,usa,9,1.32%,-68.91%,financialservices
capitol federal savings bank,cffn,4432,1130000000,usa,8,-0.48%,-28.69%,"banks, financialservices"
adaptive biotechnologies,adpt,4430,1130000000,usa,7,1.53%,-71.23%,"biotech, pharmaceuticals"
netstreit,ntst,4429,1130000000,usa,19,-0.41%,-12.01%,"reits, realestate, investment"
mfa financial,mfa,4431,1130000000,usa,11,2.76%,144.74%,"realestate, investment, reits"
arko,arko,4428,1130000000,usa,9,3.95%,-1.66%,retail
citycon,cty1s.he,4424,1130000000,finland,6,-0.39%,-12.29%,"realestate, investment, reits"
sierra wireless,swir,4426,1130000000,canada,29,-0.31%,70.93%,"iot, telecommunicationsequipment, networkinghardware, tech, techhardware"
kronos worldwide,kro,4427,1130000000,usa,9,3.03%,-31.95%,
dentalcorp,dntl.to,4423,1140000000,canada,6,3.45%,-53.02%,medicalcarefacilities
fortuna silver mines,fsm,4425,1130000000,canada,3,3.17%,13.66%,"mining, silvermining"
radnet,rdnt,4421,1140000000,usa,19,-3.91%,-29.74%,"medicalcarefacilities, healthcare, diagnosticsandtesting"
netdragon websoft,0777.hk,4422,1140000000,china,2,4.18%,-10.97%,"videogames, entertainment, internet"
iovance biotherapeutics,iova,4420,1140000000,usa,7,-4.41%,-61.34%,"pharmaceuticals, biotech"
compass,comp,4418,1140000000,usa,2,-4.35%,-74.34%,"realestate, software, tech"
fiverr,fvrr,4419,1140000000,israel,30,-2.37%,-78.03%,"tech, internet"
bilfinger,gbf.f,4417,1140000000,germany,28,-0.45%,-18.57%,engineering
replimune,repl,4415,1140000000,usa,23,22.23%,-20.65%,
china gold international resources,cgg.to,4414,1140000000,canada,2,0.00%,11.97%,"mining, goldmining"
easemytrip,easemytrip.ns,4416,1140000000,india,0,-4.23%,-80.30%,"onlinetravel, travel, internet, tech"
immunogen,imgn,4413,1150000000,usa,5,-1.70%,-26.10%,pharmaceuticals
oyak cimento,oyakc.is,4406,1150000000,turkey,1,0.00%,66.67%,"cement, buildingmaterials"
blucora,bcor,4412,1150000000,usa,24,-1.11%,41.30%,financialservices
avid technology,avid,4410,1150000000,usa,26,-2.33%,-20.79%,
madrigal pharmaceuticals,mdgl,4411,1150000000,usa,67,1.58%,-14.41%,
faes farma,fae.mc,4409,1150000000,spain,3,-2.18%,-1.05%,"pharmaceuticals, biotech"
citizen watch,7762.t,4405,1150000000,japan,4,0.17%,-10.17%,
nikola,nkla,4408,1150000000,usa,2,-2.03%,-76.58%,"automakers, hydrogenfuelcell, electricvehicles, specialtyvehicles"
melia hotels international,mel.mc,4407,1150000000,spain,5,-0.80%,-22.14%,"hotels, travel"
evercommerce,evcm,4403,1150000000,usa,5,-2.14%,-64.17%,"internet, software, tech"
franklin bsp realty trust,fbrt,4402,1150000000,usa,14,-0.07%,-15.63%,"realestate, investment, reits"
atos,ato.pa,4404,1150000000,france,9,-1.13%,-75.78%,professionalservices
radius global infrastructure,radi,4401,1150000000,usa,12,0.41%,-24.53%,"infrastructure, telecommunication"
wabash national,wnc,4380,1170000000,usa,24,-3.76%,33.88%,manufacturing
lsb industries,lxu,4377,1170000000,usa,14,-1.91%,53.09%,chemicals
kayne anderson capital advisors,kyn,4379,1170000000,usa,8,-0.23%,9.48%,
fastly,fsly,4378,1170000000,usa,9,2.57%,-75.69%,"software, tech, itsecurity"
bonheur asa,bonhr.ol,4376,1180000000,norway,27,-0.71%,-17.77%,
varta,var1.f,4375,1180000000,germany,29,0.22%,-77.30%,"electricity, batteries"
the andersons,ande,4373,1180000000,usa,35,-0.42%,0.45%,agriculture
integrafin,ihp.l,4374,1180000000,uk,3,-0.48%,-54.62%,"investment, financialservices"
schrodinger,sdgr,4371,1180000000,usa,16,2.40%,-57.11%,
casino guichard-perrachon,co.pa,4366,1180000000,france,10,-2.83%,-55.10%,retail
origin bancorp,obnk,4372,1180000000,usa,38,-0.36%,-10.14%,"banks, financialservices"
bytes technology,byit.l,4369,1180000000,uk,4,-0.75%,-36.57%,"software, tech"
inhibrx,inbx,4370,1180000000,usa,27,0.59%,-32.63%,"pharmaceuticals, biotech"
the greenbrier companies,gbx,4368,1180000000,usa,36,2.05%,-15.28%,
profrac,pfhc,4364,1190000000,usa,22,0.78%,,"oilgas, oilgasequipmentservices, energy"
cvr partners,uan,4367,1180000000,usa,112,0.02%,47.56%,fertilizercompanies
sinclair broadcast,sbgi,4365,1190000000,usa,17,-1.38%,-31.72%,telecommunication
golden entertainment,gden,4363,1190000000,usa,41,-0.99%,-11.13%,"entertainment, gambling"
v2x,vvx,4362,1190000000,usa,39,-1.77%,-6.98%,defensecontractors
genesis energy lp,gel,4361,1190000000,usa,9,-0.61%,-8.26%,"oilgas, transportation, energy"
vista oil & gas,vist,4359,1190000000,mexico,12,-1.65%,133.52%,"oilgas, energy"
bpost,13b.f,4356,1200000000,belgium,5,0.35%,-29.00%,courier
sally beauty holdings,sbh,4358,1190000000,usa,11,-0.71%,-45.42%,
p10,px,4355,1200000000,usa,10,0.59%,-31.38%,"financialservices, assetmanagement, investment"
tejas networks,tejasnet.ns,4357,1200000000,india,7,1.11%,26.07%,"telecommunicationsequipment, networkinghardware, techhardware"
kruk spolka akcyjna,kru.wa,4351,1200000000,poland,63,-0.28%,-29.04%,financialservices
mechel pao,mtl,4353,1200000000,russia,2,0.00%,-24.50%,mining
telia lietuva,zws.f,4352,1200000000,lithuania,2,0.26%,-11.45%,telecommunication
cross country healthcare,ccrn,4354,1200000000,usa,32,-3.52%,27.78%,"staffingemploymentservices, professionalservices"
avanos medical,avns,4350,1200000000,usa,25,-0.76%,-16.06%,medicaldevices
meta financial group,cash,4349,1200000000,usa,42,0.38%,-27.54%,"banks, financialservices"
tg therapeutics,tgtx,4348,1200000000,usa,8,-0.72%,-52.43%,
3d systems,ddd,4347,1200000000,usa,9,-2.23%,-59.52%,"3dprinting, tech, software"
eplus,plus,4346,1200000000,usa,44,-0.86%,-60.97%,"professionalservices, software, tech"
alkami technology,alkt,4344,1210000000,usa,13,3.04%,-43.92%,"software, tech, financialservices"
perion network,peri,4343,1210000000,israel,26,-0.23%,7.52%,"advertising, tech"
yoozoo interactive,002174.sz,4345,1200000000,china,1,3.37%,-41.85%,"videogames, entertainment"
imago biosciences,imgo,4341,1210000000,usa,35,-0.06%,101.35%,"biotech, pharmaceuticals"
ascential,ascl.l,4340,1210000000,uk,2,-0.39%,-57.31%,advertising
grupa kety,kty.wa,4342,1210000000,poland,125,-1.23%,-13.22%,aluminum
vip industries,vipind.ns,4339,1210000000,india,8,-0.58%,22.22%,
himax,himx,4337,1210000000,taiwan,6,0.29%,-37.51%,"semiconductors, tech, techhardware"
service properties trust,svc,4338,1210000000,usa,7,-0.81%,-21.73%,"realestate, investment, reits"
m/i homes,mho,4336,1210000000,usa,44,2.02%,-29.29%,construction
aimco,aiv,4332,1220000000,usa,8,0.50%,3.71%,
lemonade,lmnd,4335,1220000000,usa,17,-1.29%,-63.46%,"insurance, tech, internet"
bellus health,blu,4334,1220000000,canada,9,0.31%,64.86%,pharmaceuticals
atoss,aof.f,4333,1220000000,germany,152,-0.68%,-37.84%,"software, tech"
enova international,enva,4331,1220000000,usa,39,-0.89%,-0.03%,financialservices
herbalife,hlf,4329,1230000000,usa,12,-3.37%,-67.47%,"multilevelmarketing, dietarysupplements"
uranium energy,uec,4330,1230000000,usa,3,0.30%,-6.67%,"mining, energy"
mannkind corp,mnkd,4328,1230000000,usa,4,2.84%,6.82%,"pharmaceuticals, biotech"
energy recovery,erii,4327,1230000000,usa,22,-1.87%,2.60%,
rhi magnesita,rhf.f,4326,1230000000,austria,25,-2.00%,-40.12%,
zydus wellness,zyduswell.ns,4324,1240000000,india,19,0.90%,-24.44%,"consumergoods, wellness"
standex,sxi,4325,1240000000,usa,103,-1.45%,-2.14%,"manufacturing, conglomerate"
techtarget,ttgt,4322,1240000000,usa,42,0.52%,-57.17%,"internet, advertising, tech"
sweetgreen,sg,4323,1240000000,usa,11,-6.80%,-63.66%,"restaurantchains, food"
formula systems,forty,4319,1240000000,israel,81,2.33%,-32.55%,
atea asa,atea.ol,4320,1240000000,norway,11,-2.94%,-37.26%,"itservices, professionalservices"
b riley financial,rily,4321,1240000000,usa,43,4.44%,-42.87%,financialservices
tellurian,tell,4318,1240000000,usa,2,-2.64%,-36.86%,"energy, oilgas"
pbf logistics,pbfx,4317,1240000000,usa,19,-2.40%,68.36%,"oilgas, energy"
qt group,qtcom.he,4315,1250000000,finland,48,-2.04%,-68.47%,"software, tech"
par pacific holdings,parr,4314,1250000000,usa,20,-0.57%,43.39%,"energy, infrastructure"
xd inc,2400.hk,4316,1240000000,china,2,4.57%,-55.39%,"videogames, entertainment"
cropenergies,ce2.f,4313,1250000000,germany,14,-1.30%,9.42%,"biofuel, renewableenergy, energy"
virgin galactic,spce,4312,1250000000,usa,4,-0.87%,-70.68%,aerospace
dime community bancshares,dcom,4309,1260000000,usa,32,-1.36%,-5.40%,"banks, financialservices"
national express group,nex.l,4310,1260000000,uk,1,-1.43%,-39.81%,transportation
hudco,hudco.ns,4311,1250000000,india,0,-1.15%,18.87%,realestate
rsa insurance group,rsab.l,4307,1260000000,uk,1,-0.68%,-26.19%,insurance
eurocommercial properties,ecmpa.as,4308,1260000000,netherlands,24,-0.52%,22.82%,"reits, realestate, investment"
tanla,tanla.ns,4306,1260000000,india,9,-2.20%,-58.15%,"tech, telecommunication"
mirion technologies,mir,4305,1260000000,usa,6,0.16%,-45.42%,scientifictechnicalinstruments
east india distilleries parry,eidparry.ns,4304,1260000000,india,7,-1.62%,13.51%,food
federal agricultural mortgage,agm,4303,1260000000,usa,118,-2.39%,-4.95%,financialservices
fuelcell energy,fcel,4301,1260000000,usa,3,0.00%,-58.54%,energy
natco pharma,natcopharm.ns,4302,1260000000,india,6,-0.31%,-36.30%,pharmaceuticals
russel metals,rus.to,4280,1280000000,canada,20,-0.28%,-22.97%,
uniper,un01.de,4281,1280000000,germany,3,0.12%,-92.11%,"energy, electricity"
everbridge,evbg,4278,1280000000,usa,32,5.18%,-71.86%,
sparebank 1,spol.ol,4279,1280000000,norway,11,-0.71%,-28.93%,"banks, financialservices"
modivcare,modv,4277,1280000000,usa,91,5.40%,-36.71%,healthcare
mixi,2121.t,4276,1290000000,japan,17,-0.45%,-1.11%,"videogames, entertainment, tech"
figs,figs,4274,1290000000,usa,7,2.50%,-76.61%,"clothing, healthcare"
clean energy fuels,clne,4272,1290000000,usa,5,-1.02%,-13.88%,"oilgas, transportation"
kcc corp,002380.ks,4275,1290000000,south korea,175,0.22%,-36.25%,"automotivesuppliers, chemicals"
fresh del monte produce,fdp,4273,1290000000,cayman islands,27,-0.18%,2.70%,food
travere therapeutics,tvtx,4271,1290000000,usa,20,0.55%,-29.70%,"pharmaceuticals, biotech"
hipgnosis songs fund,song.l,4270,1290000000,uk,1,3.26%,-40.24%,"entertainment, investment"
3r petroleum,rrrp3.sa,4268,1290000000,brazil,6,-2.00%,15.94%,"oilgas, energy"
definitive healthcare,dh,4269,1290000000,usa,12,6.09%,-59.21%,healthcare
c3 ai,ai,4267,1290000000,usa,11,-0.08%,-62.60%,"software, tech"
guaranty trust bank,9jo.f,4265,1300000000,nigeria,2,-16.00%,-21.63%,"banks, financialservices"
mednax,md,4266,1300000000,usa,15,1.36%,-41.25%,
interrent real estate investment trust,iip-un.to,4264,1300000000,canada,9,3.63%,-30.59%,"reits, realestate, investment"
allogene therapeutics,allo,4263,1300000000,usa,9,2.73%,-51.84%,"pharmaceuticals, biotech"
sfl corp,sfl,4262,1300000000,bermuda,9,-1.88%,5.96%,"transportation, maritimetransportation, containershipping"
nabors industries,nbr,4260,1300000000,bermuda,138,-3.02%,56.74%,"oilgas, energy"
indian telephone industries,iti.ns,4259,1300000000,india,1,-0.44%,-6.76%,telecommunicationsequipment
v-guard industries,vguard.ns,4261,1300000000,india,3,0.32%,-3.19%,"homekitchenappliances, electronics"
archrock,aroc,4258,1300000000,usa,8,-1.29%,8.81%,
amag austria metall,am8.f,4257,1300000000,austria,35,0.00%,-19.01%,
graftech,eaf,4253,1310000000,usa,5,-6.58%,-57.17%,
diversified energy,dec.l,4256,1300000000,usa,1,1.31%,6.67%,"oilgas, energy"
medifast,med,4255,1300000000,usa,119,1.96%,-41.34%,
pra group,praa,4254,1310000000,usa,33,-1.84%,-24.43%,financialservices
aris water solutions,aris,4251,1310000000,usa,14,-3.85%,4.98%,
everi holdings,evri,4250,1310000000,usa,14,-2.72%,-31.29%,gambling
rent-a-center,rcii,4252,1310000000,usa,23,-0.25%,-52.10%,
syndax pharmaceuticals,sndx,4249,1310000000,usa,21,-9.79%,25.73%,"pharmaceuticals, biotech"
verve therapeutics,verv,4247,1310000000,usa,21,1.66%,-40.07%,"biotech, pharmaceuticals, genetherapy, genomics"
ourpalm,300315.sz,4245,1320000000,china,0,-0.30%,-23.81%,"videogames, entertainment"
montrose environmental,meg,4248,1310000000,usa,44,3.33%,-37.20%,
partner communications,ptnr,4243,1320000000,israel,7,-5.01%,-0.85%,
allegiant air,algt,4244,1320000000,usa,71,-5.61%,-61.14%,"airlines, travel, transportation"
celestica,cls,4246,1320000000,canada,10,0.28%,-1.19%,
mahincie,mahindcie.ns,4242,1320000000,india,3,-1.05%,10.09%,automotivesuppliers
precinct properties,pct.nz,4238,1320000000,new zealand,0,0.38%,-20.75%,"realestate, investment, reits"
pharma mar,phm.mc,4240,1320000000,spain,73,0.17%,18.12%,"pharmaceuticals, biotech"
oceanfirst financial,ocfc,4241,1320000000,usa,22,-1.45%,5.81%,"financialservices, banks"
apollo medical holdings,ameh,4237,1320000000,usa,29,-1.38%,-64.05%,healthcare
first commonwealth financial corp,fcf,4236,1330000000,usa,14,-0.77%,-6.98%,"banks, financialservices"
pennymac mortgage investment trust,pmt,4239,1320000000,usa,14,1.36%,-18.46%,"reits, realestate, investment"
scholastic,schl,4234,1330000000,usa,38,-1.20%,0.03%,"education, mediapress"
1st source,srce,4233,1330000000,usa,54,-0.93%,14.11%,"banks, financialservices"
solarwinds,swi,4232,1330000000,usa,8,-0.60%,-43.43%,"software, tech"
jasa marga,jsmr.jk,4229,1330000000,indonesia,0,0.00%,-35.71%,
textainer group,tgh,4231,1330000000,bermuda,29,1.64%,-15.75%,rentalleasingservices
arhaus,arhs,4230,1330000000,usa,9,-0.62%,3.58%,"furniture, retail"
ladder capital,ladr,4228,1340000000,usa,10,0.47%,-11.38%,"realestate, investment, reits"
enerpac tool group,epac,4226,1340000000,usa,23,-3.00%,5.36%,"toolmanufacturers, manufacturing"
gag immobilien,gwk3.hm,4227,1340000000,germany,83,0.00%,-46.31%,realestate
treace medical concepts,tmci,4225,1340000000,usa,24,1.42%,33.37%,medicaldevices
finolex industries,finpipe.ns,4224,1340000000,india,2,4.96%,-19.03%,
gaslog,glog-pa,4223,1340000000,greece,24,-0.28%,-4.06%,"oilgas, transportation, maritimetransportation"
arendals fossekompani,afk.ol,4221,1340000000,norway,24,2.93%,-43.44%,"conglomerate, energy, electricity"
saul centers,bfs,4222,1340000000,usa,41,0.49%,-21.82%,"reits, realestate, investment"
keros therapeutics,kros,4219,1350000000,usa,49,-0.75%,-9.08%,"biotech, pharmaceuticals"
novavax,nvax,4218,1350000000,usa,17,2.62%,-90.58%,"pharmaceuticals, biotech"
bodycote,boy.l,4220,1350000000,uk,7,-1.44%,-37.02%,
polenergia,pep.wa,4217,1350000000,poland,20,0.00%,12.63%,"utilitycompanies, energy, electricity"
universal corporation,uvv,4216,1350000000,usa,55,-0.72%,11.51%,tobacco
paramount group,pgre,4215,1350000000,usa,5,3.23%,-34.51%,"realestate, investment, reits"
first busey,buse,4213,1350000000,usa,24,-1.25%,-7.08%,"banks, financialservices"
now inc,dnow,4212,1350000000,usa,12,-0.65%,40.02%,"oilgas, oilgasequipmentservices, energy"
bank fur tirol und vorarlberg,bts.vi,4214,1350000000,austria,39,0.00%,11.35%,"banks, financialservices"
berkshire hills bancorp,bhlb,4211,1350000000,usa,30,0.30%,9.09%,"banks, financialservices"
fiskars,fskrs.he,4209,1350000000,finland,16,-0.37%,-31.46%,
echostar,sats,4210,1350000000,usa,16,-0.24%,-38.63%,
gulfport energy,gpor,4208,1360000000,usa,70,-0.06%,3.43%,"oilgas, energy"
afya,afya,4207,1360000000,brazil,15,-0.20%,6.62%,education
aether industries,aether.ns,4206,1360000000,india,10,-1.32%,,chemicals
deutsche euroshop,deq.f,4205,1360000000,germany,22,0.77%,36.11%,
ytl corporation berhad,1773.t,4204,1360000000,malaysia,0,-5.56%,-20.00%,
goeasy,gsy.to,4202,1360000000,canada,83,-0.82%,-41.66%,financialservices
two harbors investment,two,4182,1380000000,usa,16,0.25%,161.40%,"realestate, investment, reits"
hitejinro,000080.ks,4201,1360000000,south korea,19,0.78%,-25.43%,"beverages, alcoholicbeverages"
virtus investment partners,vrts,4203,1360000000,usa,188,-0.44%,-37.01%,"financialservices, investment, assetmanagement"
secunet,ysn.f,4180,1380000000,germany,214,1.75%,-53.16%,"itsecurity, tech"
bank islam malaysia,bimb.kl,4181,1380000000,malaysia,0,-0.29%,-3.75%,"banks, financialservices"
k92 mining,knt.to,4179,1380000000,canada,5,2.26%,7.01%,"mining, goldmining"
at&s austria technologie & systemtechnik,ats.vi,4178,1380000000,austria,35,-0.44%,-31.85%,"semiconductors, electronics, tech, techhardware"
digi international,dgii,4176,1390000000,usa,39,-2.56%,66.87%,"software, tech, iot"
acv auctions,acva,4177,1390000000,usa,8,3.90%,-55.61%,"usedcarretailer, carretail"
s&t bancorp,stba,4175,1390000000,usa,35,-0.03%,14.73%,"banks, financialservices"
corporacion america airports,caap,4173,1390000000,luxembourg,8,-1.27%,47.08%,"airports, infrastructure"
hudson pacific properties,hpp,4174,1390000000,usa,9,-3.65%,-61.91%,
amplitude,ampl,4172,1390000000,usa,12,0.49%,-79.54%,"software, tech"
hudbay minerals,hbm,4170,1390000000,canada,5,-2.91%,-24.89%,
harmonic,hlit,4169,1400000000,usa,13,-2.50%,23.19%,"tech, internet"
asseco,sfb1.f,4171,1390000000,poland,16,0.45%,-22.54%,"software, tech"
dormakaba,doka.sw,4168,1400000000,switzerland,335,-2.77%,-48.13%,securityprotectionservices
alexander & baldwin,alex,4166,1400000000,usa,19,0.99%,-19.43%,"realestate, investment, reits"
pilot corporation,7846.t,4167,1400000000,japan,35,0.31%,-9.25%,manufacturing
eih limited,eihotel.ns,4165,1400000000,india,2,1.46%,31.76%,"hotels, travel"
pvr cinemas,pvr.ns,4163,1400000000,india,22,1.35%,22.55%,entertainment
inter cars,car.wa,4164,1400000000,poland,98,0.23%,-8.52%,
infinera,infn,4161,1400000000,usa,6,-2.74%,-23.93%,telecommunicationsequipment
chartwell retirement residences,csh-un.to,4162,1400000000,canada,5,-1.21%,-32.85%,"medicalcarefacilities, realestate, investment, reits"
a10 networks,aten,4160,1400000000,usa,19,1.81%,23.25%,"software, tech, internet, itsecurity"
geo group,geo,4159,1400000000,usa,11,-4.30%,50.80%,"realestate, investment, reits"
summerset holdings,sum.nz,4158,1400000000,new zealand,6,-0.21%,-31.10%,medicalcarefacilities
jack in the box,jack,4157,1400000000,usa,67,-1.09%,-20.42%,"food, restaurantchains"
sovos brands,sovo,4156,1410000000,usa,13,-1.34%,-13.23%,food
suzlon,suzlon.ns,4155,1410000000,india,0,-0.51%,33.33%,renewableenergy
osi systems,osis,4153,1410000000,usa,83,-2.24%,-9.70%,
tecnoglass,tgls,4152,1410000000,colombia,29,-2.59%,-9.60%,
killam apartment reit,kmp-un.to,4154,1410000000,canada,12,0.79%,-32.48%,"reits, realestate, investment"
poshmark,posh,4151,1410000000,usa,17,0.17%,-9.15%,"ecommerce, tech, internet"
uni-select,uns.to,4150,1410000000,canada,32,0.05%,58.58%,
upwork,upwk,4147,1410000000,usa,10,-0.92%,-71.39%,
intapp,inta,4149,1410000000,usa,22,-1.05%,-18.56%,"software, tech, financialservices"
cargurus,carg,4148,1410000000,usa,11,-1.89%,-69.52%,
eagle bancorp,egbn,4146,1420000000,usa,44,-0.56%,-20.99%,"banks, financialservices"
k12,lrn,4145,1420000000,usa,33,-1.05%,-0.96%,education
liveramp,ramp,4144,1420000000,usa,21,-0.51%,-55.46%,"software, tech"
millerknoll,mlkn,4143,1420000000,usa,18,-2.94%,-52.69%,furniture
city holding company,chco,4142,1420000000,usa,95,-1.03%,19.93%,"banks, financialservices"
grayscale bitcoin trust,gbtc,4141,1420000000,usa,8,-7.42%,-79.78%,"bitcoin, investment"
sihanoukville autonomous port,pas.kh,4139,1420000000,cambodia,3,0.15%,,"ports, infrastructure"
amphastar pharmaceuticals,amph,4140,1420000000,usa,29,2.36%,39.88%,"pharmaceuticals, biotech"
the chefs' warehouse,chef,4138,1420000000,usa,37,-1.66%,13.74%,food
clearfield,clfd,4136,1430000000,usa,103,-6.22%,57.53%,
basf india,basf.ns,4137,1420000000,india,32,-0.68%,-14.20%,chemicals
interdigital,idcc,4135,1430000000,usa,48,-0.66%,-31.93%,
avi limited,avi.jo,4133,1430000000,south africa,4,0.23%,-7.89%,food
alembic pharmaceuticals,aplltd.ns,4134,1430000000,india,7,1.97%,-30.67%,pharmaceuticals
twist bioscience,twst,4132,1430000000,usa,25,-2.20%,-71.14%,
planet labs,pl,4130,1430000000,usa,5,1.53%,-50.79%,aerospace
pmetal press metal aluminium,8869.kl,4131,1430000000,malaysia,1,1.04%,-14.06%,aluminum
global net lease,gnl,4127,1430000000,usa,13,1.58%,-10.93%,
life healthcare group,lhc.jo,4128,1430000000,south africa,0,1.43%,-27.21%,"healthcare, medicalcarefacilities"
construction partners,road,4129,1430000000,usa,27,-2.05%,-18.86%,"construction, infrastructure"
sterling check,ster,4126,1430000000,usa,14,-0.40%,-34.80%,"professionalservices, software, tech"
model n,modn,4123,1440000000,usa,38,-0.26%,38.56%,"software, tech"
dht holdings,dht,4125,1430000000,bermuda,8,-7.04%,57.47%,"oilgas, transportation, maritimetransportation"
uniti,unit,4124,1440000000,usa,6,-13.83%,-55.03%,"realestate, reits, investment, telecommunication, infrastructure"
curevac,cvac,4122,1440000000,germany,7,1.61%,-83.16%,"mrnatherapeutics, pharmaceuticals, biotech"
parex resources,pxt.to,4121,1440000000,canada,13,-1.26%,-24.01%,"oilgas, energy"
formosa taffeta,1434.tw,4120,1440000000,taiwan,0,-0.94%,-18.10%,"oilgas, energy"
oceaneering international,oii,4119,1440000000,usa,14,-2.11%,17.84%,"engineering, professionalservices"
ready capital,rc,4118,1440000000,usa,12,1.10%,-21.08%,"realestate, financialservices"
brinker international,eat,4117,1440000000,usa,32,-0.36%,-10.60%,
top glove,bva.si,4116,1440000000,malaysia,0,-2.00%,-69.49%,glovesppe
