name,industry,head_quarters,founded,area_served
infosys,information technology consulting outsourcing,"glenview, illinois",2 july 1981  41 years ago  2 july 1981 ,worldwide
ing group,financial services,amsterdam,1991 through merger[1]  est. 1743 as kooger doodenbos ,"europe, asia, oceania, north america, south america"
ingersoll rand,diversified machinery,amsterdam,1859,
intel,semiconductors computer hardware autonomous cars automation artificial intelligence,amsterdam,"july 18, 1968  54 years ago  1968-07-18 ",worldwide
intesa sanpaolo,financial services,grattacielo intesa sanpaolo,2007  15 years ago  2007   merger  1583  439 years ago  1583  as istituto bancario san paolo di torino,
isuzu,manufacturing,grattacielo intesa sanpaolo,30 march 1934  88 years ago  1934-03-30   as isuzu ,worldwide
jelly belly,confections,"fairfield, california","1869  153 years ago  1869  in belleville, illinois, u.s.",worldwide
jim beam,confections,"fairfield, california","1869  153 years ago  1869  in belleville, illinois, u.s.",
the jm smucker company,food beverage,"fairfield, california","1897  125 years ago  1897  in orrville, ohio, u.s.",
jardine matheson,conglomerate,jardine house,1 july 1832  190 years ago  1 july 1832 [1],worldwide
jg summit holdings,various,robinsons equitable tower,1990  32 years ago  1990 ,philippines
johnnie walker,various,robinsons equitable tower,1990  32 years ago  1990 ,
johnson & johnson,pharmaceutical medical technology consumer healthcare,"new brunswick, new jersey","january 1886  136 years ago  1886-01  in new brunswick, new jersey, united states",worldwide
jollibee foods corporation,restaurants,ortigas center,"quezon city, philippines  january 1978  44 years ago  1978-01  [note 1]","east asia, southeast asia, middle east, north america, western europe"
jpmorgan chase,financial services,383 madison avenue,"december 1, 2000  22 years ago  2000-12-01 ",worldwide
jvckenwood,electronics,383 madison avenue,"october 1, 2008  14 years ago  2008-10-01   as a merger between kenwood corporation and victor company of japan, ltd ",
jxd,consumer electronics,383 madison avenue,"october 1, 2008  14 years ago  2008-10-01   as a merger between kenwood corporation and victor company of japan, ltd ","north america, south america, europe, asia, middle east, africa, oceania"
kbc group,financial services,brussels,"1935  87 years ago  1935   kredietbank , present name  kbc group  dates from 2005",
kawasaki heavy industries,heavy equipment automotive defense,ch  ,15 october 1896  126 years ago  1896-10-15 ,
kappa brand,sports equipment textile,ch  ,1978  44 years ago  1978 ,worldwide
kellogg's,food processing,ch  ,"february 19, 1906  116 years ago  1906-02-19   as battle creek toasted corn flake company  battle creek, michigan, u.s.",worldwide
kikkoman,food,ch  ,"1603  419 years ago  1603   oldest establishment [1] december 7, 1917  105 years ago  1917-12-07   incorporated ",
kirin company,beverage,ch  ,1888  134 years ago  1888 ,
kimberly-clark,personal care,irving,"1872  150 years ago  1872  neenah, wisconsin, u.s.",worldwide
kingston technology,storage devices,irving,"1987  35 years ago  1987  in fountain valley, california, united states",worldwide
klim type foundry,storage devices,irving,"1987  35 years ago  1987  in fountain valley, california, united states",
knorr brand,storage devices,irving,"1987  35 years ago  1987  in fountain valley, california, united states",
komatsu limited,"heavy equipment  construction, mining and forestry , defense technology",tokyo,"may 13, 1921  101 years ago  1921-05-13 ",
konami,video games entertainment,tokyo,21 march 1969  53 years ago  1969-03-21 ,worldwide
korg,electronics,inagi,1962  60 years ago  1962   as keio electronic laboratories ,
keumyoung group,"music, entertainment, karaoke",seoul,"1983  39 years ago in busan, south korea",south korea
kpmg,professional services,,"1987  35 years ago  1987   merger of peat marwick international and klynveld main goerdeler  1979  1979   kmg  1925  1925   peat marwick  1897  1897   marwick, mitchell & company  1818  1818   grace, darbyshire, & todd [1]",worldwide
kraft heinz,food,,"july 2, 2015  7 years ago  2015-07-02 ",worldwide
lactalis,dairy products,,19 october 1933  89 years ago  1933-10-19 ,
lam research,semiconductors,"fremont, california",1980  42 years ago  1980 ,
lagardere group,"publishing, travel retail, live entertainment, media",paris,1992  30 years ago  1992 ,
larsen & toubro,conglomerate,ballard estate,"7 february 1946  76 years ago  7 february 1946 [1] bombay, bombay presidency, british india  present-day mumbai, maharashtra, india ",worldwide
latam airlines group,aviation,santiago,22 june 2012  10 years ago  2012-06-22 ,
lazada,e-commerce,santiago,"march 27, 2012  10 years ago  2012-03-27 ","singapore, malaysia, indonesia, thailand, vietnam, and the philippines"
levi strauss & co,textile,san francisco,"may 1, 1853  169 years ago  1853-05-01   as david stern & levi strauss ",worldwide
lear corporation,manufacturing,san francisco,"detroit, michigan  1917  1917  ",international
lindt,confectionery,san francisco,1845  177 years ago   1845 ,
lenovo,computer hardware electronics,"hong kong, china[1]  registered office  beijing, china[2][3]  operational headquarters  lorong chuan, singapore[4]  operational centre  morrisville, north carolina, united states[5]  operational headquarters ",1 november 1984  38 years ago  1984-11-01   as legend     beijing,worldwide
leeco,conglomerate,"hong kong, china[1]  registered office  beijing, china[2][3]  operational headquarters  lorong chuan, singapore[4]  operational centre  morrisville, north carolina, united states[5]  operational headquarters ",8 september 2011  11 years ago  2011-09-08 ,"worldwide  china, india, usa and russia mainly "
leonardo spa,aerospace industry defence industry space industry,rome,1948  74 years ago  1948 ,
leoni ag,"manufacturing, engineering",nuremberg,1917  105 years ago  1917 ,
lexmark,"manufacturing, engineering",lexington,"march 27, 1991  31 years ago  march 27, 1991 ",worldwide
lg electronics,consumer electronics home appliances computer hardwares,yeouido-dong,october 1958  64 years ago  1958-10   as goldstar  march 1995  1995-03   as lg electronics  re-incorporated in 2002 ,worldwide
linde plc,chemical industry,dublin,21 june 1879  143 years ago  1879-06-21 ,
linpus linux,chemical industry,dublin,21 june 1879  143 years ago  1879-06-21 ,
lionbridge,language localization software testing e-learning,"waltham, massachusetts","waltham, massachusetts, us  1996 ",
liugong,conglomerate,"waltham, massachusetts",1958,
lockheed martin,advanced technologies information security aerospace defense,"bethesda, maryland","march 15, 1995  27 years ago  1995-03-15 ",worldwide
l'oreal,consumer goods,"bethesda, maryland",30 july 1909  113 years ago  1909-07-30 ,worldwide
lotte corporation,conglomerate,songpa district,"march 24, 1967  55 years ago  1967-03-24 ",
louisa coffee,coffee shop,songpa district,2006,worldwide
lufthansa,coffee shop,cologne,6 january 1953  69 years ago  1953-01-06 [note 1],
lukoil,oil and gas,cologne,25 november 1991  31 years ago  1991-11-25 ,"europe, kazakhstan, uzbekistan, iraq, egypt, ghana, nigeria, cameroon, united states, mexico"
lupin limited,pharmaceuticals,cologne,1968  54 years ago  1968 [1],
luxgen,automotive,miaoli county,2009,worldwide
luxottica,"eyewear manufacturing, luxury, eyewear manufacturing and wholesale distribution, eyewear retailing",miaoli county,"1961  61 years ago  1961   agordo, italy ",worldwide
lyondellbasell,chemicals,miaoli county,2007  15 years ago  2007 ,
mg cars,sport cars,miaoli county,21 july 1930  92 years ago  1930-07-21 ,
macy's,retail,miaoli county,"october 28, 1858  164 years ago  1858-10-28  in new york, new york, u.s.",
mahingroup,conglomerate,mumbai,2 october 1945  77 years ago  1945-10-02 ,worldwide
mars incorporated,food veterinary services,,"1911  111 years ago  1911  tacoma, washington",worldwide
maton,musical instruments,,1946  76 years ago  1946 ,worldwide
marshall amplification,amplification musical instrument manufacturing,,"london, england  1962  60 years ago  1962  [1]","united kingdom, canada, australia, europe, asia, united states"
mark simonson,amplification musical instrument manufacturing,,"london, england  1962  60 years ago  1962  [1]",
martini & rossi,alcoholic beverages,,"turin, italy  1863 ",
maersk,freight transport,copenhagen,16 april 1904  118 years ago  1904-04-16 ,
mama sita's holding company,food processing,san juan,1980  as marigold commodities corporation ,
mamee double-decker,"food processing, snack, dairy products","ayer keroh, malacca",1971  51 years ago  1971 ,
mattel,toys and entertainment,,"january 1945  77 years ago  1945-01  los angeles, california, u.s.",worldwide
maxxis,toys and entertainment,yuanlin,"january 1, 1967  55 years ago  1967-01-01 ",worldwide
mccain foods,frozen food,yuanlin,"florenceville, new brunswick, canada  1957 ",worldwide
mcdonald's,"restaurants, real estate[1][2]",yuanlin,"may 15, 1940  82 years ago  1940-05-15  in san bernardino, california",worldwide  119+ countries 
mediatek,semiconductors gpus graphics cards consumer electronics computer hardware,yuanlin,28 may 1997  25 years ago  1997-05-28 ,worldwide
meiji holdings,food pharmaceutical healthcare,yuanlin,"april 1, 2009  2009-04-01 ",
meitu,consumer electronics,yuanlin,2008  14 years ago  2008 ,
meizu,consumer electronics,yuanlin,2003  19 years ago  2003 ,"china, india, turkey, russia, israel, indonesia, malaysia, philippines"
melstacorp,beverages diversified financial services it/bpo manufacturing health telecommunications plantation power hospitality logistics media,yuanlin,2003  19 years ago  2003 ,
mercedes-benz,automotive,yuanlin,november 2019  3 years ago  2019-11 ,worldwide
meta platforms,social media social network advertising consumer electronics virtual reality,"menlo park, california","january 4, 2004  18 years ago  2004-01-04  in cambridge, massachusetts, u.s.",worldwide
michaels,retail,irving,1973  49 years ago  1973 [1],
michelin,auto and truck parts,irving,28 may 1889  133 years ago  1889-05-28 ,worldwide
micro-star international,computer hardware electronics,zhonghe,4 august 1986  36 years ago  1986-08-04 ,worldwide
micromax informatics,electronics consumer electronics computer hardwares home appliances,zhonghe,29 march 2000  22 years ago  29 march 2000 [1],worldwide
microsoft,information technology,one microsoft way,"april 4, 1975  47 years ago  1975-04-04  in albuquerque, new mexico, u.s.",worldwide
mizuno,sports equipment,suminoe,"april 1, 1906  116 years ago  1906-04-01  [1]",
merck millipore,life sciences biotech,suminoe,"merck   1668  merck kgaa, darmstadt, germany ",
miniso,variety store,suminoe,"merck   1668  merck kgaa, darmstadt, germany ",worldwide
mindtree,information technology consulting outsourcing,global village tech park,18 august 1999  23 years ago  1999-08-18 ,worldwide
mitsubishi electric,electrical equipment electronics,tokyo building,"january 15, 1921  101 years ago  1921-01-15  tokyo, japan",worldwide
mobil,electrical equipment electronics,tokyo building,1911  111 years ago  1911   as  standard oil company of new york  ,worldwide
monotype imaging,pre-press and pre-media services machinery industry and plant construction,tokyo building,"1887  135 years ago  1887   as lanston monotype machine company  philadelphia, pennsylvania, u.s.",
monotype imaging,pre-press and pre-media services machinery industry and plant construction,tokyo building,"1887  135 years ago  1887   as lanston monotype machine company  philadelphia, pennsylvania, u.s.",
morinaga & company,food,tokyo building,"august 15, 1899  123 years ago  1899-08-15  as morinagas western confectionary shop",worldwide
mustek systems,food,hsinchu,october 1988  34 years ago  1988-10 ,worldwide
nando's,casual dining/chain restaurant,hsinchu,"1987  35 years ago  1987 , johannesburg, gauteng, south africa",
bandai namco holdings,entertainment,"minato, tokyo","september 29, 2005  17 years ago  2005-09-29 ",worldwide
nbcuniversal,media entertainment,30 rockefeller plaza,"august 2, 2004  18 years ago  august 2, 2004 ",worldwide
new balance,footwear,"boston, massachusetts",1906  116 years ago  1906 ,
newell brands,consumer goods,"boston, massachusetts","1903  119 years ago  1903  ogdensburg, new york, u.s.",worldwide
nestle,food processing,vevey,1866  156 years ago  1866   for the anglo-swiss condensed milk company branch ,worldwide
nec,information technology electronics,vevey,"17 july 1899  123 years ago  1899-07-17  tokyo, japan",worldwide
netapp,cloud computing storage device,vevey,1992  30 years ago  1992 ,worldwide
nike inc,apparel accessories sports equipment,"beaverton, oregon","january 25, 1964  58 years ago  1964-01-25 ",worldwide
nivea,apparel accessories sports equipment,"beaverton, oregon","january 25, 1964  58 years ago  1964-01-25 ",
nikon,consumer electronics,"minato, tokyo","july 25, 1917  105 years ago  1917-07-25  tokyo city, empire of japan",worldwide
nintendo,video games electronics,"minami-ku, kyoto","23 september 1889  133 years ago  1889-09-23  in shimogy -ku, kyoto, japan",worldwide
nissan,automotive,"minami-ku, kyoto",26 december 1933  88 years ago  1933-12-26   under nissan group [1][2],worldwide
nokia,telecommunications technology electronics,"minami-ku, kyoto","12 may 1865  157 years ago  1865-05-12  in tampere, grand duchy of finland, russian empire",worldwide
norsk hydro,metals,oslo,1905,
novartis,pharmaceuticals,,march 1996  26 years ago  1996-03   from merger ,worldwide
novo nordisk,"pharmaceuticals, health care",bagsvrd,"december 21, 1923  98 years ago  1923-12-21 ",
olympus corporation,electronics,bagsvrd,"12 october 1919  103 years ago  1919-10-12   as takachiho seisakusho  shinjuku, tokyo, japan",worldwide
oknoplast,"windows, doors, roller shutters, aluminium",bagsvrd,1994,worldwide
ooredoo,telecommunications,bagsvrd,1987  35 years ago  1987 ,
otobi,telecommunications,dhaka,1975,
officemax,retail,,"april 1, 1988  34 years ago  1988-04-01  cleveland, ohio, u.s.",united states mexico  since 1996 
oracle corporation,enterprise software business software cloud computing computer hardware consulting,,"june 16, 1977  45 years ago  1977-06-16  santa clara, california, u.s.[1]",worldwide
orange sa,telecommunications,issy-les-moulineaux,1 january 1988  34 years ago  1988-01-01   as france telecom  1 july 2013  9 years ago  2013-07-01   as orange ,worldwide
ornua,food retail,dublin,1961  61 years ago  1961 ,"asia, europe, middle east, north america, africa, australasia"
pandora jewelry,jewellery retail,dublin,1982  40 years ago  1982 ,worldwide
panasonic,conglomerate,"kadoma, osaka","march 7, 1918  104 years ago  1918-03-07 [2] osaka, japan",worldwide  except russia since 2022 
paper mate,stationery,oak brook,1940  82 years ago  1940   as  the frawley pen company  [2],worldwide
paramount global,media entertainment,one astor plaza,"december 4, 2019  3 years ago  2019-12-04 ",worldwide
parrot sa,wireless / uav,one astor plaza,"1994  28 years ago  1994  in paris, france",
puma brand,textile footwear,herzogenaurach,1948  74 years ago  1948 ,worldwide
pepper lunch,restaurants,tokyo,1994  28 years ago  1994 ,
pepsico,beverages food processing,"harrison, new york","august 28, 1898  124 years ago  1898-08-28  new bern, north carolina, united states",worldwide
perficient,consulting,"st. louis, missouri",1997,worldwide
petronas,oil and gas,petronas towers,17 august 1974  48 years ago  1974-08-17 [1],worldwide
pernod ricard,alcohol,petronas towers,1975  47 years ago  1975 ,worldwide
penguin random house,alcohol,random house tower,"july 1, 2013  9 years ago  2013-07-01 ",worldwide
petrovietnam,oil and gas industry,random house tower,1977  1977 ,
pfizer,pharmaceutical biotechnology,new york city,1849  173 years ago  1849  in new york city,worldwide
philips,conglomerate,amsterdam,"15 may 1891  131 years ago  1891-05-15  eindhoven, netherlands",worldwide
ping an bank,financial services,amsterdam,22 june 1995  1995-06-22   ping an bank  22 december 1987  1987-12-22   s.z. dev. bank  2012  merger ,worldwide
ping an insurance,financial services,amsterdam,1988  34 years ago  1988 ,worldwide
pioneer corporation,consumer electronics,bunky ,"1 january 1938  84 years ago  1938-01-01  in tokyo, japan",
pirelli,automotive,bunky ,"1872  150 years ago  1872  milan, italy",worldwide[1]
pilot pen company,stationery,bunky ,1918  104 years ago  1918  as  namiki manufacturing company ,worldwide
playmobil,stationery,bunky ,1918  104 years ago  1918  as  namiki manufacturing company ,
pladis,stationery,london,2016  6 years ago  2016 ,
pldt,telecommunications,london,"manila, philippine islands  november 28, 1928  94 years ago  1928-11-28  ",worldwide
pollo campero,restaurants,"dallas, texas","1971  51 years ago  1971 , in guatemala[1]","guatemala, united states  including puerto rico , bahrain, ecuador, el salvador, honduras, italy, nicaragua, mexico, spain, belize, haiti, dominican republic, montserrat, british virgin islands, africa, brazil, canada"
procter & gamble,consumer goods,"dallas, texas","october 31, 1837  185 years ago  1837-10-31 ",worldwide  except north korea 
proton holdings,automotive,"dallas, texas",9 july 1985  37 years ago  9 july 1985 ,"worldwide, mainly malaysia"
prada,fashion,,1913  109 years ago  1913   as fratelli prada ,worldwide
prudential financial,insurance retirement investment,,"1875  147 years ago  1875  newark, new jersey, u.s.",
pvh corp,clothing,,1881  141 years ago  1881 ,worldwide
pwc,professional services,london,1998  pricewaterhousecoopers  1849  price waterhouse  1854  coopers & lybrand [1],worldwide
qnb group,banking and financial services,london,"june 6, 1964  1964 -06-06  as qatar national bank[1]",worldwide[2]
qantas,banking and financial services,"mascot, new south wales","16 november 1920  102 years ago  1920-11-16  winton, queensland, australia",
qualcomm,telecoms equipments semiconductors,"mascot, new south wales",july 1985  37 years ago  1985-07 ,worldwide
qatarenergy,oil and gas,"mascot, new south wales",1974,
rabobank,financial services,rabotoren,1895  1895 ,worldwide
ranpak,"recyclable packing, packaging, packaging machinery",rabotoren,"1972  50 years ago  1972  in painesville, ohio, united states",
reckitt,consumer goods,slough,1814  208 years ago  1814   j&j colman  1823  199 years ago  1823   benckiser  1840  182 years ago  1840   reckitt & sons  1938  84 years ago  1938   merger of reckitt & sons and j&j colman  1999  23 years ago  1999   merger of reckitt & colman and benckiser ,
recruit company,published media,slough,1960  62 years ago  1960 [1],
red bull,published media,slough,1960  62 years ago  1960 [1],
iwg plc,industrial services,,"1989, brussels, belgium",
reliance industries,conglomerate,,8 may 1973  49 years ago  8 may 1973 ,worldwide
renault,automotive,,25 february 1899  123 years ago  1899-02-25 ,worldwide  128 countries[1]
repsol,petroleum,repsol campus,1987  35 years ago  1987 ,worldwide
ricoh,"electronics, imaging","ota, tokyo","february 6, 1936  86 years ago  1936-02-06 ",worldwide
robert bosch gmbh,conglomerate,gerlingen,15 november 1886  136 years ago  1886-11-15 ,worldwide
roland corporation,electronics,gerlingen,"18 april 1972  50 years ago  1972-04-18  osaka, japan",
rohde & schwarz,electronics,munich,17 november 1933,
royal bank of canada,financial services,montreal,"1864  158 years ago  1864 [1] in halifax, nova scotia",
shell plc,energy petroleum,shell centre,"april 1907  115 years ago  1907-04   original amalgamation  20 july 2005  17 years ago  2005-07-20  in shell centre, london  current entity ",worldwide
rpg group,conglomerate,worli,"calcutta, india 1820  202 years ago  1820 ",
rusal,aluminium,moscow,2007,
ssangyong motor,automotive,pyeongtaek,4 march 1954  68 years ago  1954-03-04 [1],worldwide
saab ab,aerospace and defence,stockholm,"1937 in trollhattan, sweden",worldwide
saks fifth avenue,retail,stockholm,1867  155 years ago   1867 ,
samsung electronics,electronics semiconductors information technology artificial intelligence automation home appliances medical devices internet of things robotics,samsung digital city,"13 january 1969  53 years ago  1969-01-13  in suwon, south korea",worldwide
samsonite,electronics semiconductors information technology artificial intelligence automation home appliances medical devices internet of things robotics,luxembourg city,10 march 1910  112 years ago  1910-03-10 ,
newell custom writing instruments,writing implements,luxembourg city,1857  165 years ago  1857 ,worldwide
san miguel corporation,conglomerate,san miguel avenue," september 29, 1890  132 years ago  1890-09-29   in manila, philippines","worldwide worldwide philippines philippines, united states, europe, japan, australia philippines and malaysia philippines philippines"
sandisk,storage devices,san miguel avenue,1988  34 years ago  1988 ,
sandvik,engineering,stockholm,1862  160 years ago  1862 ,
sanrio,wholesale[1],stockholm,10 august 1960  62 years ago  1960-08-10   as yamanashi silk company ,
sanofi,pharmaceuticals biotechnology healthcare,paris,1973  49 years ago  1973 ,worldwide
saudi aramco,oil and gas,dhahran,29 may 1933  89 years ago  29 may 1933 ,global
sap,enterprise software business software cloud computing consulting,dhahran,"weinheim, germany  1972  50 years ago  1972  ",worldwide
publicis sapient,"consumer products energy & commodities financial services health public sector retail telecommunications, media & technology transportation & mobility travel & hospitality",dhahran,1990,
sas group,aviation,sas frosundavik office building,"1946  76 years ago  1946 , merger of aba  1924 , ddl  1918 , and dnl  1927 ",europe
sasken technologies,telecommunications technology data centers product engineering semiconductor industrials,"bangalore, karnataka",1989  33 years ago  1989 ,worldwide
sasol,oil and gas chemical nuclear coal tar,"bangalore, karnataka",1950  1950 ,
schlumberger,oilfield services and equipment,,"1926  96 years ago  1926   as electric prospecting company  paris, france",worldwide
schwan-stabilo,stationery sports equipment,heroldsberg,1855  167 years ago  1855 ,worldwide
schneider electric,electrical equipment,rueil-malmaison,1836  186 years ago  1836   as schneider & cie ,worldwide
schindler group,vertical transportation,rueil-malmaison,1874  148 years ago  1874 ,worldwide except japan because the minato ward 2006 elevator accident 
schleich,"toys, figurines",rueil-malmaison,1935  87 years ago  1935 ,worldwide
scotiabank,banking financial services,"toronto, ontario, canada[1]","march 30, 1832  190 years ago  1832-03-30  halifax, nova scotia",
scholastic corporation,children's literacy and education,scholastic building,"october 22, 1920  102 years ago  1920-10-22  wilkinsburg, pennsylvania, us",
seiko,electronics watchmaking,ginza,"1881  141 years ago  1881  in ch  , tokyo, japan",
sears,retail,ginza,"1892  130 years ago  1892  chicago, illinois, u.s.",united states
sennheiser,audio electronics,wedemark,1 june 1945  77 years ago  1 june 1945   as labor w ,
sphero,robotics toys,"boulder, colorado",2010  12 years ago  2010 ,
spin master,toys and entertainment,"225 king street w., suite 200","march 26, 1994  28 years ago  1994-03-26 ",worldwide
serta company,furnishings,"225 king street w., suite 200",1931  91 years ago  1931 ,
seagate technology,computer storage,"fremont, california","november 1, 1979  43 years ago  1979-11-01   as shugart technology ",worldwide
sega sammy holdings,mass media,tokyo,"october 1, 2004  18 years ago  2004-10-01 ",worldwide
sealy corporation,furnishings,tokyo,"1881  141 years ago  1881  in sealy, texas, u.s.",
servcorp,serviced offices,sydney,1978,
severstal,"steel, mining",cherepovets,1993,
sf express,air freight and logistics,cherepovets,1993  1993 ,worldwide
sgs sa,quality,geneva,1878,
shenzhen airlines,quality,shenzhen bao'an international airport,november 1992  30 years ago  1992-11 ,
shiseido,consumer goods,shenzhen bao'an international airport,1872  150 years ago  1872 ,worldwide
shopee,e-commerce,shenzhen bao'an international airport,"5 february 2015  7 years ago  2015-02-05  queenstown, singapore",12 countries indonesia malaysia philippines singapore thailand vietnam taiwan brazil chile colombia mexico poland
siemens,conglomerate,munich,"1 october 1847  175 years ago  1847-10-01  berlin, kingdom of prussia",worldwide
sime darby property,property development property investment hospitality,munich,2007  15 years ago  2007 ,
silkroad technology,human resources software,munich,"winston-salem, north carolina, us  2003 ",worldwide
singtel,telecommunications,munich,1879  143 years ago  1879   as private telephone exchange  28 march 1992  30 years ago  1992-03-28   as singapore telecom  [1],"asia, australia and africa"
sinopec,oil and gas,chaoyang district,"beijing, china  25 february 2000  22 years ago  25 february 2000  ",worldwide
bic company,manufacturing,chaoyang district,25 october 1945  77 years ago  1945-10-25 ,worldwide
snapchat,manufacturing,chaoyang district,25 october 1945  77 years ago  1945-10-25 ,
the pinkfong company,animation production,seocho-dong,june 2010  12 years ago  2010-06 ,
sm investments,conglomerate,mall of asia complex,"1958  64 years ago  1958  in manila, philippines[1]",philippines
societe generale,financial services,boulevard haussmann,"may 4, 1864  158 years ago  1864-05-04 ",worldwide
sogou,internet,beijing,9 august 2010  12 years ago  2010-08-09 ,
sk group,conglomerate,seoul,8 april 1953  69 years ago  1953-04-08 ,worldwide
skullcandy,audio,"park city, utah",2003,
skype,audio,"park city, utah",2003,
koda transportation,rail transport machinery,plze ,1995,worldwide
solaris bus & coach,automotive industry,bolechowo,1999,worldwide
sony,conglomerate,"minato, tokyo","7 may 1946  76 years ago  1946-05-07  nihonbashi, ch  , tokyo, japan[2]",worldwide
softbank group,conglomerate,"minato-ku, tokyo",3 september 1981  41 years ago  1981-09-03 ,
southwest airlines,conglomerate,"dallas, texas","march 15, 1967  55 years ago  1967-03-15   as air southwest ",
square enix,media entertainment,shinjuku,"april 1, 2003  19 years ago  2003-04-01 [1][a]",worldwide
staedtler,stationery,shinjuku,3 october 1835  187 years ago  1835-10-03 ,worldwide
standard chartered,"banking, financial services",london,"as chartered bank of india, australia, and china on 29 december 1853  168 years ago  1853-12-29  as standard chartered on 18 november 1969  53 years ago  1969-11-18 ",worldwide
starbucks,coffee shop,london,"march 30, 1971  51 years ago  1971-03-30  pike place market, elliott bay, seattle, washington, u.s.",84 countries
state bank of india,"banking, financial services",nariman point,1 july 1955  67 years ago  1955-07-01  state bank of india 27 january 1921  1921-01-27  imperial bank of india 2 june 1806  1806-06-02  bank of calcutta 15 april 1840  1840-04-15  bank of bombay 1 july 1843  1843-07-01  bank of madras,worldwide
safeway,retail / grocery,"pleasanton, california","april 1915  107 years ago   1915-04  in american falls, idaho, u.s.",17 states
subway restaurant,restaurants,"pleasanton, california","august 28, 1965  57 years ago  1965-08-28  in bridgeport, connecticut, u.s.",worldwide  100+ countries 
stellantis,automotive production systems,"pleasanton, california",16 january 2021  23 months ago  2021-01-16 ,worldwide
suntory,beverage,"pleasanton, california","osaka, japan 1899  123 years ago  1899 ",
suzuki,automotive,"pleasanton, california",october 1909  113 years ago  1909-10   as suzuki loom works ,worldwide
swarovski,"fashion, crystal, and jewelry",wattens,"1895  127 years ago  1895   as a. kosmann, d. swarovski & co. ",
swinkels family brewers,"beverages, malt",wattens,before 1680,worldwide
taco maker,"beverages, malt",wattens,before 1680,
taiwan beer,"beverages, malt",wattens,before 1680,
take-two interactive,video games,wattens,"september 30, 1993  29 years ago  1993-09-30 ",
tapestry inc,"fashion, accessories",10 hudson yards,2017,
target corporation,retail,,"june 24, 1902  120 years ago  1902-06-24   corporation  january 5, 1962  60 years ago  1962-01-05   store ","united states, canada  formerly, see target canada "
tata motors,automotive,mumbai,1945  77 years ago  1945 ,worldwide
tabasco sauce,food,mumbai,1868  154 years ago  1868 ,
tate & lyle,food processing,london,merger of henry tate & sons  established 1859  and abram lyle & sons  established 1887  in 1921,
tcl technology,consumer electronics home appliances finance,london,1981  41 years ago  1981   as ttk  1985  1985   as tcl technology ,worldwide
tata consultancy services,information technology consulting outsourcing,mumbai,1968  54 years ago  1968 ,worldwide
teac corporation,electronics,mumbai,"29 august 1953  69 years ago  1953-08-29  in tokyo, japan",
technisat,electronics,mumbai,10 june 1987  10 june 1987 ,
tech mahindra,information technology consulting outsourcing,pune,24 october 1986  36 years ago  24 october 1986 ,worldwide
technicolor,information technology consulting outsourcing,pune,24 october 1986  36 years ago  24 october 1986 ,
telefonica,telecommunications,pune,19 april 1924  98 years ago  1924-04-19 ,worldwide
telus,telecommunications it consulting,vancouver,"1990  32 years ago  1990   in edmonton, alberta, canada [1]",
tencent,conglomerate,tencent binhai mansion,11 november 1998  24 years ago  1998-11-11 ,worldwide
the home depot,retailing,tencent binhai mansion,"february 6, 1978  44 years ago  1978-02-06  marietta, georgia, u.s.",
the hershey company,food processing,tencent binhai mansion,"february 8, 1894  128 years ago  1894-02-08   as hershey chocolate company  in lancaster, pennsylvania, united states[1]",worldwide
the swatch group,watchmaking jewellery,tencent binhai mansion,1983  39 years ago  1983 ,worldwide
tesco,retail,welwyn garden city,"1919  103 years ago  1919  hackney, london, england, uk",
tesla inc,automotive renewable energy,13101 tesla road,"july 1, 2003  19 years ago  2003-07-01  in san carlos, california, united states",north america europe oceania east asia middle east southeast asia
tetra pak,food packaging,,"1951  71 years ago  1951  lund, sweden and pully, switzerland",worldwide
telstra,telecommunications,telstra corporate centre,1 july 1975  47 years ago  1975-07-01 [1],australia worldwide  selected products 
texas instruments,semiconductors,telstra corporate centre,1930  92 years ago  1930   as geophysical service incorporated [1] 1951  1951   as texas instruments ,
textron,aerospace industry automotive industry defense industry,"providence, rhode island, us",1923  99 years ago  1923 ,
thomson reuters,mass media,"providence, rhode island, us","april 17, 2008  14 years ago  2008-04-17  toronto, ontario, canada",worldwide
ting hsin international group,food,"providence, rhode island, us","yongjing, changhua, taiwan  1958  1958  ",greater china region
tissot,watchmaking,"providence, rhode island, us",1853  169 years ago  1853 ,150 countries
tkk fried chicken,food,new taipei city,20 july 1974  48 years ago  1974-07-20 ,worldwide
toshiba,conglomerate,new taipei city,11 july 1875  147 years ago  1875-07-11 b,worldwide
tomtom,"consumer electronics, navigation technology",amsterdam,1991  31 years ago  1991 ,
tomy,"toys, video games, children's products and apparel","katsushika, tokyo","march 1, 2006  16 years ago  2006-03-01   former tomy, 1924  takara, 1955 ",worldwide
totalenergies,petroleum energy,tour total,28 march 1924  98 years ago  1924-03-28 ,worldwide
towers watson,professional services,tour total,2010  12 years ago  2010 ,global
tpg telecom,telecommunications,"north sydney, new south wales",2009,
tdk,electronics,"nihonbashi, ch  , tokyo","december 7, 1935  87 years ago  1935-12-07  as tokyo denki kagaku k gy  k.k.",worldwide
oao tmk,steel industry,"nihonbashi, ch  , tokyo",2001,
toyota,automotive,"nihonbashi, ch  , tokyo","august 28, 1937  85 years ago  1937-08-28 ",worldwide
trend micro,computer software,"irving, texas","24 october 1988  34 years ago  1988-10-24 , los angeles, california, u.s.",worldwide
