name,rank,market_cap,country,share_price,change_1_day,change_1_year,categories
hannover ruck,738,23220000000,germany,192,-0.44%,7.66%,insurance
yum china,739,23210000000,china,55,1.30%,10.78%,"food, restaurant chains"
nestle india,736,23390000000,india,242,-1.49%,-6.68%,food
sse,737,23280000000,uk,21,-1.94%,2.36%,
goodman group,733,23520000000,australia,12,-4.11%,-29.00%,"real estate, reits, investment"
canon,735,23480000000,japan,23,-1.41%,3.74%,"electronics, tech, tech hardware"
rogers communication,734,23500000000,canada,46,-1.24%,1.32%,"telecommunication, media/press"
adani ports & sez,731,23560000000,india,10,-0.26%,10.76%,ports
sandvik,732,23530000000,sweden,18,0.00%,-26.14%,"engineering, machinery manufacturing, manufacturing"
central japan railway,729,23600000000,japan,119,-1.86%,-10.96%,"railways, transportation"
southwest airlines,730,23600000000,usa,39,-0.82%,-12.33%,"airlines, travel, transportation"
datadog,727,23720000000,usa,74,-4.18%,-55.91%,"software, internet, tech"
ke holdings,728,23670000000,china,17,5.45%,-4.71%,real estate
tyson foods,725,23740000000,usa,66,0.82%,-18.28%,food
firstenergy,726,23730000000,usa,41,0.34%,7.51%,"electricity, energy"
agnico eagle mines,723,23760000000,canada,51,-0.77%,8.24%,"mining, gold mining"
horizon therapeutics,724,23760000000,ireland,104,3.94%,1.08%,pharmaceuticals
weyerhaeuser,722,23850000000,usa,32,0.43%,-15.81%,
national bank of canada,720,23940000000,canada,71,-0.03%,-5.60%,"banks, financial services"
adidas,721,23880000000,germany,130,-0.53%,-54.85%,"footwear, sports goods, dax, clothing"
the hartford,719,24120000000,usa,75,0.28%,13.09%,"financial services, insurance"
avalonbay communities,718,24140000000,usa,172,-0.92%,-27.62%,"real estate, investment"
fortive,716,24140000000,usa,68,0.52%,-8.09%,
ulta beauty,717,24140000000,usa,471,-0.25%,22.86%,"retail, cosmetics and beauty"
lindt,714,24180000000,switzerland,104,-0.61%,-13.64%,food
imperial brands,715,24160000000,uk,25,-0.82%,23.03%,tobacco
ferguson,712,24240000000,uk,116,-1.41%,-24.91%,
fifth third bank,713,24190000000,usa,35,-1.45%,-19.78%,"banks, financial services"
ck asset holdings,799,21330000000,hong kong,5,-0.32%,2.60%,real estate
epam systems,800,21270000000,usa,369,0.06%,-40.33%,"professional services, it services, software, tech"
insulet,797,21390000000,usa,308,0.02%,7.25%,medical devices
the saudi british bank,798,21380000000,saudi arabia,10,-4.98%,31.61%,"banks, financial services"
doordash,795,21420000000,usa,55,-3.38%,-66.78%,"food delivery, internet, food, tech"
labcorp,796,21400000000,usa,241,-0.08%,-17.06%,"pharmaceuticals, biotech"
naver,793,21430000000,south korea,142,-1.07%,-57.78%,"internet, tech"
verisign,794,21420000000,usa,202,-1.21%,-16.05%,internet
ppl,791,21480000000,usa,29,-0.38%,3.37%,"electricity, energy"
hewlett packard enterprise,792,21470000000,usa,16,-0.77%,11.34%,"tech, networking hardware"
fujifilm,788,21490000000,japan,53,-1.60%,-32.24%,conglomerate
coterra energy,789,21490000000,usa,27,-0.62%,34.75%,"energy, oil&gas"
deutsche bank,790,21490000000,germany,10,1.25%,-14.99%,"banks, financial services, dax"
repsol,787,21540000000,spain,15,-1.32%,34.73%,"oil&gas, energy"
regions financial,785,21640000000,usa,23,0.74%,2.34%,financial services
telefonica,786,21610000000,spain,3,-1.33%,-11.64%,telecommunication
east japan railway,783,21650000000,japan,57,-0.28%,-3.09%,"railways, transportation"
ck hutchison holdings,784,21650000000,hong kong,5,-1.68%,-10.74%,"conglomerate, telecommunication, infrastructure, ports"
komatsu,782,21650000000,japan,22,-2.35%,-1.29%,"manufacturing, machinery manufacturing"
panasonic,780,21760000000,japan,9,-2.19%,-15.12%,"electronics, tech, tech hardware"
zoom,781,21720000000,usa,74,-4.03%,-61.25%,"tech, internet, software"
oil & natural gas,779,21770000000,india,1,0.61%,-9.90%,"oil&gas, energy"
ntt data,777,21840000000,japan,15,-1.41%,-24.78%,"it services, professional services"
quanta services,776,21870000000,usa,153,0.88%,34.76%,engineering
beigene,778,21800000000,china,201,3.75%,-41.64%,pharmaceuticals
ganfeng lithium,774,22010000000,china,11,-0.70%,-54.62%,mining
jsw steel,775,21990000000,india,9,-0.44%,5.92%,"steel producers, steel industry"
ingersoll rand,772,22080000000,ireland,54,0.48%,-7.92%,
arcelormittal,773,22080000000,,27,1.65%,-3.87%,"cac 40, steel producers, steel industry"
li auto,770,22220000000,china,22,6.95%,-32.82%,"automakers, electric vehicles"
great-west lifeco,771,22090000000,canada,23,1.33%,-18.18%,
ericsson,769,22280000000,sweden,6,0.46%,-36.28%,"telecommunications equipment, tech"
aker bp,807,21090000000,norway,33,-2.74%,4.02%,"oil&gas, energy"
mitsubishi electric,806,21100000000,japan,9,-2.33%,-20.84%,"electronics, manufacturing"
m3 inc,804,21150000000,japan,31,-0.19%,-39.80%,"healthcare, internet, tech, software"
cgi,805,21120000000,canada,88,-0.69%,2.55%,professional services
z holdings,803,21160000000,japan,2,-0.50%,-56.97%,internet
biomarin pharmaceutical,856,19610000000,usa,105,2.47%,24.66%,
cardinal health,802,21200000000,usa,80,2.04%,72.78%,healthcare
china everbright bank,801,21230000000,china,0,-1.01%,-20.75%,"banks, financial services"
crrc,855,19690000000,china,0,-1.28%,-11.11%,
atlantia,854,19780000000,italy,24,0.00%,31.16%,
upm-kymmene,852,19830000000,finland,37,0.11%,-1.27%,pulp and paper
societe generale,853,19810000000,france,24,0.09%,-23.70%,"banks, financial services, cac 40"
invitation homes,851,19860000000,usa,32,0.03%,-21.72%,real estate
ecopetrol,850,19870000000,,9,0.10%,-28.07%,"oil&gas, energy"
tourmaline oil,849,19900000000,canada,58,-1.50%,87.10%,"oil&gas, energy"
rollins,848,19930000000,usa,40,0.22%,25.44%,
pembina pipeline,847,19970000000,canada,35,-1.64%,20.76%,"oil&gas, transportation, infrastructure, energy"
endesa,846,19980000000,spain,18,-0.19%,-14.26%,"electricity, utility companies, energy"
nippon paint,845,20000000000,japan,8,-1.63%,-19.77%,paint & coating
nan ya plastics,843,20050000000,taiwan,2,-0.64%,-16.78%,chemicals
teledyne,844,20020000000,usa,427,0.65%,1.32%,
w r berkley,842,20080000000,usa,75,0.48%,-4.03%,insurance
dover,841,20130000000,usa,143,0.70%,-13.78%,
ferrovial,840,20170000000,spain,27,0.00%,-5.24%,"construction, infrastructure"
vonovia,839,20230000000,germany,25,2.96%,-55.00%,"real estate, dax, reits"
church & dwight,837,20250000000,usa,83,1.01%,-8.77%,consumer goods
novozymes,838,20240000000,denmark,60,0.70%,-18.82%,
tata motors,835,20330000000,india,26,-0.97%,-16.95%,automakers
banco do brasil,836,20280000000,brazil,7,7.14%,29.27%,"banks, financial services"
michelin,833,20380000000,france,28,0.35%,-80.87%,"tires, cac 40"
copel,834,20350000000,brazil,7,-1.72%,37.27%,
eisai,831,20400000000,japan,71,-2.25%,17.10%,pharmaceuticals
paycom,832,20390000000,usa,339,-1.83%,-22.59%,"software, tech"
roblox,828,20420000000,usa,33,1.80%,-70.93%,"video games, entertainment"
anhui conch cement,830,20400000000,china,3,-2.74%,-24.09%,"cement, building materials"
firstrand,829,20410000000,south africa,3,-8.65%,0.28%,"banks, financial services"
sumitomo,827,20430000000,japan,16,-1.90%,19.08%,investment
cf industries,824,20480000000,usa,104,0.72%,76.04%,fertilizer companies
xylem,825,20460000000,usa,113,-0.24%,-5.66%,
schindler group,826,20440000000,switzerland,186,2.59%,-28.31%,
texas pacific land trust,822,20500000000,usa,2,1.65%,113.26%,
china minsheng bank,823,20480000000,china,0,-0.57%,-18.03%,
ntpc limited,821,20510000000,india,2,-0.03%,22.67%,
citizens financial group,820,20530000000,usa,41,-0.67%,-13.25%,"financial services, banks"
kia,819,20560000000,south korea,51,-3.06%,-26.08%,"automakers, manufacturing"
waters corporation,817,20630000000,usa,347,0.13%,4.00%,
zto express,818,20630000000,china,24,0.48%,-20.92%,courier
svenska handelsbanken,816,20630000000,sweden,10,0.70%,-2.85%,
tesco,815,20690000000,uk,2,-4.11%,-26.98%,"retail, supermarket chains"
tenaris,813,20790000000,,33,0.03%,66.65%,"manufacturing, steel industry"
tripcom,814,20700000000,china,32,1.22%,12.13%,"travel, internet, online travel, tech"
trina solar,812,20800000000,china,9,2.06%,-10.21%,"manufacturing, renewable energy, energy"
ptt exploration and production,811,20880000000,thailand,5,-1.88%,50.29%,"oil&gas, energy"
standard chartered,808,21090000000,uk,7,-0.37%,28.12%,"banks, financial services"
nibe industrier,809,21050000000,sweden,10,1.16%,-26.95%,
nu holdings,810,20890000000,brazil,4,2.29%,,"banks, financial services"
lpl financial,900,18760000000,usa,235,1.21%,46.06%,financial services
china railway group,898,18790000000,china,0,-1.41%,8.00%,construction
brookfield renewable partners,899,18770000000,,29,1.08%,-17.07%,"energy, renewable energy, electricity"
wabtec,897,18800000000,usa,103,0.33%,14.24%,
hologic,896,18800000000,usa,76,-0.64%,3.70%,medical devices
porsche se,894,18840000000,germany,61,1.53%,-27.44%,"investment, financial services, dax"
straumann,895,18800000000,switzerland,118,2.02%,-94.31%,medical devices
powergrid corporation of india,893,18840000000,india,2,-0.95%,-5.59%,"electricity, infrastructure"
marathon oil,892,18880000000,usa,29,-1.16%,90.89%,"oil&gas, energy"
nexon,891,18920000000,japan,21,-0.58%,9.79%,"video games, entertainment, tech"
orix,890,18920000000,japan,80,-0.93%,-18.92%,"banks, financial services"
kao,889,18920000000,japan,41,1.94%,-19.34%,"cosmetics and beauty, consumer goods"
j b hunt,888,18930000000,usa,182,0.04%,-3.81%,
grupo bimbo,887,18960000000,mexico,4,0.90%,63.36%,food
legal & general,886,18970000000,uk,3,-0.16%,-16.76%,"asset management, investment"
sany heavy industry,884,18990000000,china,2,-1.38%,-36.18%,
chewy,885,18980000000,usa,44,1.29%,-31.94%,"internet, e-commerce, tech"
cathay financial holding,883,19000000000,taiwan,1,-0.34%,-33.33%,"financial services, banks, insurance"
marubeni,882,19010000000,japan,11,-2.46%,26.64%,
shanghai airport,881,19040000000,china,7,-1.00%,9.13%,"airports, infrastructure"
wilmar international,880,19050000000,singapore,3,0.49%,2.69%,food
dai-ichi life holdings,879,19080000000,japan,18,0.18%,-7.71%,insurance
northern trust,878,19100000000,usa,91,-2.10%,-22.77%,financial services
kakao,876,19140000000,south korea,43,-1.73%,-57.87%,"internet, tech"
etsy,877,19130000000,usa,140,0.79%,-43.70%,"e-commerce, internet, tech"
aes,875,19150000000,usa,28,-0.17%,19.06%,"electricity, energy"
steris,874,19150000000,ireland,191,-0.21%,-13.02%,
carlsberg,873,19210000000,denmark,167,4.25%,0.94%,"alcoholic beverages, beverages"
steel dynamics,872,19230000000,usa,109,4.20%,83.81%,"steel producers, steel industry"
edp group,871,19250000000,,4,0.61%,-8.30%,"electricity, utility companies, energy"
centerpoint energy,869,19300000000,usa,30,-1.16%,16.97%,"electricity, energy"
boe technology,870,19290000000,china,0,-0.56%,-32.89%,
mahin& mahindra,868,19310000000,india,15,-2.23%,37.19%,automakers
coca-cola femsa,867,19340000000,mexico,68,0.13%,35.27%,beverages
aena,865,19390000000,spain,129,-1.17%,-13.45%,"airports, infrastructure"
h&m,866,19370000000,sweden,11,2.64%,-35.52%,"clothing, retail"
royalty pharma,864,19410000000,uk,43,-0.43%,12.78%,"pharmaceuticals, biotech"
fortis,863,19420000000,canada,40,-0.32%,-8.20%,"utility companies, electricity, energy"
teck resources,862,19460000000,canada,37,-0.13%,42.00%,mining
mid-america apartment communities,860,19490000000,usa,164,0.02%,-21.01%,"real estate, reits, investment"
best buy,859,19490000000,usa,86,0.15%,-16.67%,"retail, electronics"
centrais electricas brasileiras,857,19600000000,brazil,8,-4.52%,37.18%,"utility companies, electricity, energy"
molina healthcare,858,19510000000,usa,334,-0.20%,16.02%,"healthcare, insurance"
united microelectronics,901,18680000000,taiwan,7,0.14%,-39.01%,"semiconductors, tech"
vantage towers,956,17520000000,germany,34,-0.06%,3.63%,"telecommunication, infrastructure, real estate"
broadridge financial solutions,955,17520000000,usa,148,-0.58%,-14.13%,"professional services, financial services"
cenergy,954,17560000000,usa,60,-1.45%,1.61%,"electricity, energy, utility companies"
perkinelmer,953,17580000000,usa,139,-1.78%,-22.65%,"chemicals, healthcare"
renesas electronics,951,17640000000,japan,9,-2.90%,-20.82%,"electronics, semiconductors, tech, tech hardware"
magna international,950,17640000000,canada,61,-0.49%,-21.95%,automotive suppliers
aeon,952,17580000000,japan,20,-0.52%,-11.69%,"retail, supermarket chains"
mengniu dairy,949,17660000000,china,4,-1.56%,-20.60%,"food, dairy companies"
china unicom,946,17710000000,hong kong,0,2.27%,16.00%,telecommunication
ryanair,947,17700000000,ireland,77,1.20%,-22.28%,"airlines, travel, transportation"
warner music group,948,17680000000,usa,34,0.38%,-19.52%,entertainment
air china,945,17740000000,china,1,-0.79%,13.49%,"airlines, travel, transportation"
darden restaurants,942,17800000000,usa,145,-0.12%,1.70%,"restaurant chains, food"
clp group,943,17770000000,hong kong,7,-3.64%,-27.94%,"electricity, energy"
kubota,944,17770000000,japan,14,-2.43%,-30.57%,
dollarama,941,17920000000,canada,62,1.13%,42.29%,
first solar,938,17940000000,usa,168,-0.13%,64.95%,
lasertec,939,17940000000,japan,198,1.00%,-25.16%,"semiconductors, tech, tech hardware"
longfor group,940,17930000000,china,2,-5.11%,-43.97%,
factset,937,17940000000,usa,471,-0.21%,0.15%,"financial services, software, tech"
chow tai fook,936,17970000000,hong kong,1,-3.05%,-2.70%,"retail, luxury goods"
alinma bank,934,17990000000,saudi arabia,9,-2.03%,49.75%,"banks, financial services"
monolithic power systems,935,17980000000,usa,383,0.30%,-30.89%,"electronics, tech, tech hardware, semiconductors"
sgs,932,18020000000,switzerland,2,0.49%,-22.29%,
mitsubishi estate,933,18010000000,japan,13,-2.74%,-2.71%,real estate
essity,930,18030000000,sweden,25,1.17%,-18.46%,
ajinomoto,931,18030000000,japan,33,0.27%,13.05%,food
wheaton precious metals,929,18040000000,canada,39,-1.17%,-1.07%,"mining, silver mining, gold mining"
markel,928,18070000000,usa,1,-0.06%,9.91%,"insurance, investment"
garmin,927,18070000000,switzerland,94,-0.04%,-29.63%,
west pharmaceutical,926,18080000000,usa,244,0.96%,-44.13%,"pharmaceuticals, packaging"
shiseido,925,18160000000,japan,45,1.16%,-20.59%,"consumer goods, cosmetics and beauty"
saudi arabian fertilizer company,922,18190000000,saudi arabia,38,-0.42%,-15.27%,fertilizer companies
cez group,923,18190000000,,33,-0.92%,2.32%,"electricity, oil&gas, energy"
ubiquiti,924,18170000000,usa,300,0.37%,-1.21%,"electronics, networking hardware, tech hardware"
idex,921,18230000000,usa,241,0.46%,5.97%,
conagra brands,919,18260000000,usa,38,0.77%,23.05%,food
take 2 interactive,920,18250000000,usa,108,2.22%,-32.61%,"video games, esports, entertainment, tech"
otsuka holdings,918,18300000000,japan,33,-2.87%,-5.59%,"pharmaceuticals, biotech"
george weston,917,18330000000,canada,126,0.60%,17.46%,food
exor,914,18400000000,netherlands,80,0.98%,-8.92%,investment
swedbank,915,18390000000,sweden,16,-1.14%,-19.55%,"banks, financial services"
expeditors,916,18380000000,usa,115,0.23%,-5.77%,transportation
sun communities,913,18450000000,usa,146,-0.69%,-25.11%,"real estate, investment, reits"
mitsui fudosan,912,18450000000,japan,19,-3.17%,-7.29%,real estate
incyte,910,18490000000,usa,83,3.04%,24.76%,
ventas,911,18480000000,usa,46,-0.28%,-1.62%,real estate
kyocera,908,18530000000,japan,51,-1.01%,-15.02%,
china tower,909,18530000000,china,0,-1.20%,-8.33%,"telecommunication, infrastructure"
veolia,905,18590000000,france,26,1.13%,-18.27%,"cac 40, waste & recycling"
clorox,906,18590000000,usa,150,0.55%,-9.49%,consumer goods
celltrion,907,18530000000,south korea,134,-2.52%,-25.91%,pharmaceuticals
formosa plastics,904,18590000000,taiwan,2,-1.76%,-22.13%,chemicals
amcor,902,18610000000,switzerland,12,0.97%,8.89%,packaging
zscaler,903,18600000000,usa,128,-10.73%,-61.14%,"software, tech, it security"
rocket companies,999,16710000000,usa,8,-1.52%,-47.07%,"real estate, financial services"
swedish match,1000,16640000000,sweden,10,-0.09%,54.66%,tobacco
check point software,998,16730000000,israel,133,-0.76%,20.12%,"software, tech, it security"
cp all,997,16760000000,thailand,1,-1.52%,7.47%,
guotai junan securities,995,16780000000,china,2,0.00%,-24.72%,"financial services, banks, investment"
first quantum minerals,996,16770000000,canada,24,1.34%,12.03%,mining
tata steel,992,16800000000,india,1,1.13%,-90.69%,"steel producers, steel industry"
the mosaic company,993,16780000000,usa,49,0.43%,42.35%,fertilizer companies
ems-chemie,994,16780000000,switzerland,717,0.83%,-25.52%,chemicals
publicis groupe,991,16800000000,france,66,-0.28%,3.05%,"cac 40, advertising, professional services"
hyone,990,16800000000,canada,28,0.85%,14.06%,"electricity, utility companies, energy"
rentokil initial,988,16840000000,uk,6,-0.11%,-17.73%,
bollore,989,16809999999,france,5,0.09%,7.72%,
pinterest,986,16860000000,usa,24,-2.81%,-33.85%,internet
brown & brown,987,16850000000,usa,59,1.02%,-9.64%,
china southern airlines,984,16890000000,china,28,1.12%,4.17%,"airlines, travel, transportation"
chongqing changan,985,16870000000,china,1,-1.24%,-29.82%,"automakers, manufacturing"
fmc,982,16920000000,usa,134,3.33%,29.78%,chemicals
unity software,983,16910000000,usa,40,0.74%,-73.13%,"software, tech, video games"
snap,981,16930000000,usa,10,-3.40%,-78.08%,"internet, tech"
abiomed,980,17000000000,usa,377,-0.06%,20.73%,medical devices
w p carey,977,17040000000,usa,81,1.37%,5.92%,
pkn orlen,978,17030000000,poland,14,-4.13%,-18.86%,"oil&gas, energy"
targa resources,979,17020000000,usa,75,0.32%,43.38%,"oil&gas, energy"
lucid motors,976,17050000000,usa,10,3.26%,-79.03%,"automakers, electric vehicles"
icahn enterprises,975,17059999999,usa,50,-0.51%,-0.49%,
pidilite,973,17079999999,india,33,0.10%,12.82%,
live nation,974,17059999999,usa,73,0.50%,-30.47%,entertainment
power corporation of canada,972,17090000000,canada,25,0.32%,-22.26%,
geberit,971,17120000000,switzerland,495,0.85%,-35.11%,
quest diagnostics,970,17129999999,usa,150,-1.41%,-2.50%,diagnostics and testing
fox corporation,968,17160000000,usa,30,1.09%,-6.99%,media/press
coal india,969,17149999999,india,2,0.22%,31.13%,"mining, coal mining, energy"
snam,967,17170000000,italy,5,-0.88%,-9.56%,"energy, infrastructure"
solaredge,965,17250000000,israel,308,4.40%,-3.07%,"energy, electricity, renewable energy"
china communications construction,966,17180000000,china,1,1.36%,9.40%,"engineering, construction"
keycorp keybank,963,17300000000,usa,18,-0.91%,-18.75%,"financial services, banks"
suzuki motor,964,17290000000,japan,35,-1.77%,-11.17%,"automakers, manufacturing"
antofagasta,961,17380000000,uk,17,2.06%,-4.29%,"conglomerate, mining"
cincinnati financial,962,17350000000,usa,110,-0.64%,-6.21%,insurance
posco,959,17410000000,south korea,56,-0.16%,-5.34%,"steel producers, steel industry"
icon plc,960,17390000000,ireland,213,-2.57%,-21.97%,pharmaceuticals
toyota industries,958,17450000000,japan,56,-2.96%,-30.63%,
ball corporation,957,17510000000,usa,55,-0.07%,-40.36%,packaging
tsingtao,957,17170000000,china,15,0.06%,,"alcoholic beverages, beverages"
atmos energy,1061,15930000000,usa,113,0.86%,8.04%,utility companies
hai di lao hot pot,1050,15220000000,china,2,2.91%,,"restaurant chains, food"
sasa polyester,1090,14490000000,turkey,6,-3.79%,,chemicals
ase group,1093,14490000000,taiwan,6,1.65%,,"semiconductors, tech"
surgutneftegas,1088,14530000000,russia,0,-0.54%,,"oil&gas, energy"
toshiba,1078,14720000000,japan,34,0.71%,,
essex property trust,1079,14650000000,usa,218,1.78%,,"real estate, investment"
fairfax financial,1086,14530000000,canada,581,-0.03%,,
huatai securities,1010,16040000000,china,17,0.00%,,
erie indemnity,1121,14030000000,usa,268,0.59%,,insurance
eqt corporation,1149,13540000000,usa,36,3.48%,,
tradeweb,1060,15130000000,usa,65,1.44%,,financial services
arca continental,1107,14280000000,mexico,8,-1.30%,,beverages
lkq corporation,1098,14430000000,usa,54,1.47%,,auto parts
akamai,1110,14240000000,usa,90,1.75%,,"tech, internet, software, it security"
grasim industries,1101,14390000000,india,21,-0.25%,,
china steel,1080,14620000000,taiwan,1,0.00%,,"steel producers, steel industry"
swiss life,967,17520000000,switzerland,580,2.59%,-7.67%,insurance
poolcorp,1200,12930000000,usa,331,0.03%,,
telenor,1199,12930000000,norway,9,0.37%,,telecommunication
novolipetsk steel,1198,12940000000,russia,2,-0.27%,,"steel producers, steel industry"
poste italiane,1197,12950000000,italy,9,0.87%,,courier
nice,1196,12990000000,israel,203,3.15%,,"software, tech"
siemens gamesa,1195,13020000000,spain,19,0.53%,,
grupo elektra,1193,13020000000,mexico,52,-0.99%,,retail
everest re,1194,13020000000,,332,-0.01%,,insurance
bio-techne,1192,13020000000,usa,82,2.79%,,pharmaceuticals
polyus,1190,13040000000,russia,95,-14.24%,,
carlisle companies,1191,13030000000,usa,251,1.47%,,
tencent music,1189,13050000000,china,7,-6.33%,,entertainment
tdk,1188,13060000000,japan,34,-0.84%,,electronics
international paper,1187,13080000000,usa,36,2.00%,,pulp and paper
american homes 4 rent,1186,13120000000,usa,32,-1.34%,,"real estate, investment"
shinkin central bank,1185,13120000000,japan,1,0.30%,,"banks, financial services"
asahi group,1037,16270000000,japan,32,0.68%,-24.55%,"beverages, alcoholic beverages"
indusind bank,1300,11560000000,india,14,2.34%,,"banks, financial services"
nippon yusen,1299,11590000000,japan,22,2.18%,,"transportation, container shipping, maritime transportation"
the toro company,1298,11610000000,usa,111,1.16%,,
graco,1297,11610000000,usa,68,1.52%,,
american financial group,1296,11640000000,usa,136,0.57%,,
teleflex,1295,11650000000,usa,248,0.46%,,medical devices
aecom,1294,11670000000,usa,84,0.57%,,engineering
amundi,1293,11680000000,france,57,1.68%,,"asset management, investment"
carnival,1292,11700000000,usa,9,1.58%,,"travel, cruise lines"
transunion,1291,11700000000,usa,60,3.07%,,financial services
sumitomo realty & development,1290,11710000000,japan,24,-0.53%,,real estate
paylocity,1289,11720000000,usa,210,3.86%,,"software, tech"
talanx,1287,11760000000,germany,46,0.23%,,"financial services, insurance"
delivery hero,1288,11750000000,germany,44,6.37%,,"dax, internet, food delivery, food, tech"
ihh healthcare,1286,11790000000,malaysia,1,-1.10%,,healthcare
akzonobel,1285,11850000000,netherlands,68,1.40%,,"chemicals, paint & coating"
stanley black & decker,1284,11870000000,usa,80,1.31%,,"tool manufacturers, manufacturing"
croda international,1283,11880000000,uk,85,1.26%,,chemicals
shandong gold mining,1282,11880000000,china,2,2.64%,,"mining, gold mining"
bureau veritas,1281,11880000000,france,26,-0.08%,,professional services
aveva,1280,11890000000,uk,39,-0.03%,,"software, tech"
godaddy,1279,11890000000,usa,76,2.28%,,"internet, tech"
taiwan cooperative financial,1278,11900000000,taiwan,0,-0.95%,,"banks, financial services, insurance"
orient overseas container line,1276,11940000000,hong kong,18,2.63%,,"transportation, container shipping, maritime transportation"
smith & nephew,1277,11930000000,uk,27,0.99%,,medical equipment
dlf,1275,11960000000,india,4,-0.58%,,real estate
telefonica brasil,1274,11970000000,brazil,7,-0.98%,,telecommunication
campari,1273,11980000000,italy,10,0.95%,,"alcoholic beverages, beverages"
tenaga nasional,1271,12010000000,malaysia,8,0.00%,,"electricity, energy, utility companies"
axon enterprise,1272,11990000000,usa,168,-0.01%,,
reliance steel & aluminum,1270,12010000000,usa,204,0.82%,,"steel producers, steel industry, aluminum"
lg electronics,1267,12040000000,south korea,15,-2.58%,,"electronics, tech, tech hardware"
erste group bank,1268,12020000000,,29,-1.86%,,"banks, financial services"
abn amro,1269,12020000000,netherlands,13,0.28%,,
stora enso,1266,12050000000,finland,15,-0.66%,,pulp and paper
uni-president enterprises,1263,12100000000,taiwan,2,-0.61%,,food
bank of baroda,1265,12050000000,india,2,1.55%,,"banks, financial services"
ovintiv,1264,12090000000,usa,48,4.32%,,"oil&gas, energy"
banque saudi fransi,1261,12120000000,saudi arabia,10,1.75%,-7.87%,"banks, financial services"
wisetech global,1262,12120000000,australia,37,2.00%,,"software, tech"
grab holdings,1259,12130000000,singapore,3,4.30%,,"food, food delivery, internet, tech, ridesharing"
kyowa kirin,1260,12130000000,japan,22,0.65%,,"pharmaceuticals, biotech"
match group,1257,12160000000,usa,43,-0.07%,,"internet, online dating, tech"
vodacom,1258,12150000000,south africa,7,-4.29%,,telecommunication
singapore airlines,1255,12160000000,singapore,4,0.73%,,"airlines, travel, transportation"
capitec bank,1256,12160000000,south africa,104,-1.12%,,"banks, financial services"
hua xia bank,1254,12180000000,china,0,0.76%,,"banks, financial services"
segro,1252,12190000000,uk,9,2.22%,,"reits, real estate, investment"
zoominfo,1253,12180000000,usa,30,3.96%,,"software, tech"
julius bar,1251,12220000000,switzerland,58,2.20%,,"banks, financial services"
bank of shanghai,1250,12270000000,china,0,0.33%,,"banks, financial services"
ono pharmaceutical,1249,12290000000,japan,25,1.02%,,pharmaceuticals
tech mahindra,1248,12290000000,india,12,1.32%,,
continental,1246,12340000000,germany,61,3.61%,,"tires, dax"
hindalco industries,1247,12340000000,india,5,-0.83%,,
lamb weston,1243,12370000000,usa,86,0.50%,,food
biomerieux,1245,12350000000,france,104,0.45%,,"diagnostics and testing, biotech"
nn group,1244,12360000000,netherlands,43,1.15%,,
camden property trust,1242,12380000000,usa,116,0.25%,,
bajaj auto,1239,12430000000,india,43,1.11%,,
alfa laval,1240,12420000000,sweden,30,0.98%,,
bio-rad laboratories,1241,12410000000,usa,418,0.53%,,healthcare
polestar,1238,12440000000,sweden,5,-1.83%,,"automakers, electric vehicles"
carl zeiss meditec,1236,12470000000,germany,131,1.63%,,
billcom,1237,12450000000,usa,117,5.34%,,"internet, financial services"
newcrest mining,1235,12490000000,australia,13,-0.15%,,mining
jm smucker company,1062,15880000000,usa,148,-0.75%,3.99%,food
itausa,1018,16590000000,brazil,1,-1.21%,-1.12%,
omv,1038,16260000000,,49,-0.20%,-17.00%,"oil&gas, energy"
avangrid,1028,16450000000,usa,42,0.61%,-7.72%,
norsk hydro,1021,16570000000,norway,8,0.48%,0.62%,
wsp global,1056,15980000000,canada,128,-0.14%,-2.37%,"engineering, professional services"
coles group,1055,15990000000,australia,11,-0.23%,2.58%,retail
hyundai mobis,1067,15730000000,south korea,169,0.72%,-15.16%,
shionogi,1157,14090000000,japan,47,-0.02%,-22.34%,pharmaceuticals
avantor,1074,15520000000,usa,23,1.63%,-36.20%,chemicals
blue owl capital,978,17400000000,usa,12,3.05%,2.38%,"asset management, financial services"
ms&ad insurance,994,17160000000,japan,32,1.24%,-6.84%,insurance
bank of jiangsu,1020,16570000000,china,1,0.00%,4.67%,"banks, financial services"
hubspot,1053,16020000000,usa,329,5.81%,-22.85%,"software, tech"
host hotels & resorts,1243,12770000000,usa,17,3.10%,3.35%,"real estate, hotels, investment, travel"
thai beverage,1195,13390000000,thailand,0,0.00%,3.01%,"beverages, alcoholic beverages"
freddie mac,1502,10060000000,usa,3,6.66%,-23.78%,financial services
ryan specialty group,1414,10890000000,usa,41,0.10%,13.53%,financial services
renault,1332,11650000000,france,39,-0.05%,5.12%,"automakers, cac 40, manufacturing"
news corp,1385,11160000000,usa,19,3.04%,-9.33%,media/press
kikkoman,1516,9910000000,japan,51,-1.33%,-31.67%,food
vail resorts,1499,10130000000,usa,251,2.43%,-9.98%,
shree cement,1422,10850000000,india,300,0.13%,-10.62%,
emera,1419,10860000000,canada,40,0.22%,-15.31%,
saputo,1410,10930000000,canada,26,-2.94%,21.22%,"food, dairy companies"
heidelbergcement,1288,12280000000,germany,63,0.17%,-10.72%,"cement, building materials, dax"
boliden,1321,11900000000,sweden,43,1.57%,3.94%,mining
