name,market_cap,stock,country,sector,industry,headquarters,founded,employees,ceo
snam spa,19270000000,srg,italy,utilities,utilitiesregulated gas,"sandonatomilanese,mi,italy",," 3,388",marco alvera
magna international inc,19360000000,mg,canada,consumer discretionary,auto parts,"aurora,on,canada", 1957," 158,000",seetarama swamy kotagiri
kb financial group inc,19390000000,105560,south korea,financials,banks,"seoul,southkorea"," september 29, 2008"," 25,428",jong-kyoo yoon phd
svenska handelsbanken ab,19420000000,shb.a,sweden,financials,banks,"stockholm,sweden",," 10,793",carl cederschiold
fresenius medical care ag & co kgaa,19420000000,fme,germany,healthcare,medical care facilities,"badhomburg,germany",," 122,909",robert maurice powell jr
edp - energias de portugal sa,19430000000,edp,portugal,                                        utilities                                    ,                                        utilitiesdiversified                                    ,"lisbon,portugal",," 12,236",miguel stilwell de andrade
ferrovial sa,19440000000,fer,spain,industrials,infrastructure operations,"madrid,spain",," 18,680",ignacio madridejos fernandez
molina healthcare inc,19460000000,moh,united states,healthcare,healthcare plans,"longbeach,ca,unitedstates", 1980," 14,000",joseph michael zubretsky
avantor inc,19480000000,avtr,united states,basic materials,specialty chemicals,"radnor,pa,unitedstates", 1904," 13,500",michael stubblefield
shenzhou international group holdings ltd,19500000000,2313,hong kong,consumer discretionary,textile manufacturing,"kowloon,hongkong",," 94,400",guanlin huang
jbs sa,19530000000,jbss3,brazil,consumer staples,packaged foods,"saopaulo,sp,brazil",," 250,000",gilberto tomazoni
transunion,19530000000,tru,united states,industrials,consulting services,"chicago,il,unitedstates"," february 8, 1968"," 10,200",christopher a cartwright
arch capital group ltd,19540000000,acgl,bermuda,                                        financials                                    ,                                        insurancediversified                                    ,"pembroke,bermuda", 1995," 5,200",marc grandisson
marathon oil corporation,19540000000,mro,united states,energy,oil & gas e&p,"houston,tx,unitedstates", 1887," 1,531",lee m tillman
huatai securities co ltd,19550000000,601688,china,financials,capital markets,"nanjing,china",," 7,375",yi zhou
china tower corp ltd,19550000000,0788,china,communication services,telecom services,"beijing,china",," 20,500",
akamai technologies inc,19590000000,akam,united states,technology,softwareinfrastructure,"cambridge,ma,unitedstates", 1998," 8,700",f thomson leighton
shanghai fosun pharmaceutical,19630000000,600196,china,healthcare,drug manufacturersspecialty & generic,"shanghai,china",," 32,258",yifang wu
billcom holdings inc,19650000000,bill,united states,technology,softwareapplication,"paloalto,ca,unitedstates", 2006," 1,384",rene a lacerte
henderson land development co ltd,19670000000,0012,hong kong,real estate,real estate services,"central,hongkong",," 10,059",
cgi inc,19670000000,gib.a,canada,technology,information technology services,"montreal,qc,canada", june 1976," 82,000",george d schindler
shiseido co ltd,19690000000,4911,japan,consumer staples,household & personal products,"tokyo,japan",," 39,035",masahiko uotani
brookfield infrastructure partners lp,19700000000,bip.un,bermuda,                                        utilities                                    ,                                        utilitiesdiversified                                    ,"hamilton,bermuda"," january 14, 2008",,
renesas electronics corp,19730000000,6723,japan,technology,semiconductors,"tokyo,japan",," 18,612",hidetoshi shibata
kerry group plc,19740000000,krz,ireland,consumer staples,packaged foods,"tralee,ireland",," 22,000",edmond scanlon
hologic inc,19750000000,holx,united states,healthcare,medical instruments & supplies,"marlborough,ma,unitedstates", 1985," 6,705",stephen p macmillan
ryanair holdings plc,19780000000,ry4c,ireland,industrials,airlines,"swords,ireland", 28 november 1984," 17,000",michael o'leary
standard bank group ltd,19820000000,sbk,south africa,financials,banks,"johannesburg,southafrica",," 49,224",simpiwe kenneth tshabalala amp ba ba hdip tax llb llm llb llm
aviva plc,19820000000,av.,united kingdom,financials,insurancediversified,"london,unitedkingdom", 2000," 22,000",
china communications construction co ltd,19830000000,601800,china,industrials,engineering & construction,"beijing,china",," 133,294",
china resources beer holdings company ltd,19840000000,0291,hong kong,consumer staples,beveragesbrewers,"wanchai,hongkong",," 25,000",xiaohai hou
teradyne inc,19850000000,ter,united states,technology,semiconductor equipment & materials,"northreading,ma,unitedstates", 1960," 5,900",mark e jagiela
kao corp,19850000000,4452,japan,consumer staples,household & personal products,"tokyo,japan",," 33,409",yoshihiro hasebe
klabin sa,19860000000,klbn11,brazil,basic materials,paper & paper products,"saopaulo,sp,brazil",,,cristiano cardoso teixeira
paycom software inc,19870000000,payc,united states,technology,softwareapplication,"oklahomacity,ok,unitedstates", 1998," 5,385",chad r richison
vedanta limited,19930000000,vedl,india,basic materials,other industrial metals & mining,"mumbai,india", 22 april 2003 as angelchange limited ," 17,047",sunil duggal
trina solar co ltd,19940000000,688599,china,technology,solar,"changzhou,china",," 18,645",
tradeweb markets inc,19980000000,tw,united states,financials,capital markets,"newyork,ny,unitedstates", 1998," 1,046",lee olesky
sun communities inc,19980000000,sui,united states,real estate,reitresidential,"southfield,mi,unitedstates", 1975," 4,948",gary a shiffman
hannover ruck se,20020000000,hnrb,germany,financials,insurancereinsurance,"hanover,germany",," 3,346",jean-jacques henchoz
perkinelmer inc,20050000000,pki,united states,healthcare,diagnostics & research,"waltham,ma,unitedstates", 1937," 16,700",prahlad r singh phd
norsk hyasa,20100000000,nhy,norway,                                        basic materials                                    ,                                        aluminum                                    ,"oslo,norway",," 31,264",hilde merete aasheim
principal financial group inc,20130000000,pfg,united states,financials,insurancediversified,"desmoines,ia,unitedstates", 1879," 18,600",daniel joseph houston
imperial brands plc,20140000000,imb,united kingdom,consumer staples,tobacco,"bristol,unitedkingdom", 1901," 30,300",stefan bomhard
ctbc financial holding co ltd,20150000000,2891,taiwan,financials,insurancelife,"taipeicity,taiwan",," 21,159",
china railway group ltd,20150000000,0390,hong kong,industrials,engineering & construction,"kowloon,hongkong",," 288,729",
telenor asa,20150000000,tel,norway,                                        communication services                                    ,                                        telecom services                                    ,"fornebu,norway",," 18,000",sigve brekke
swiss life holding ag,20160000000,slhn,switzerland,financials,insurancediversified,"zurich,switzerland",," 8,623",patrick frost
the people's insurance company group of china ltd,27930000000,601319,china,financials,insuranceproperty & casualty,"beijing,china",," 193,494",
ck hutchison holdings ltd,27940000000,0001,hong kong,industrials,conglomerates,"central,hongkong",," 172,907",
airports of thailand public company ltd,28000000000,aot,thailand,industrials,airports & air services,"bangkok,thailand",,,
sirius xm holdings inc,28050000000,siri,united states,communication services,broadcasting,"newyork,ny,unitedstates"," july 29, 2008"," 5,590",jennifer c witz
porsche automobil holding se,28150000000,paha,germany,consumer discretionary,auto manufacturers,"stuttgart,germany",, 888,george wills
semiconductor manufacturing international corp,28240000000,688981,china,technology,semiconductors,"shanghai,china",," 17,354",hai jun zhao
tesco plc,28110000000,tsco,united kingdom,consumer staples,grocery stores,"welwyngardencity,unitedkingdom"," 1919  1919  - hackney, london, england"," 360,000",ken murphy
equifax inc,28240000000,efx,united states,industrials,consulting services,"atlanta,ga,unitedstates", 1899," 12,700",mark w begor
ashtead group plc,28280000000,aht,united kingdom,industrials,rental & leasing services,"london,unitedkingdom", 1947," 21,033",brendan horgan
cerner corporation,28310000000,cern,united states,healthcare,health information services,"northkansascity,mo,unitedstates", 1979," 25,150",david todd feinberg mba
hormel foods corporation,28520000000,hrl,united states,consumer staples,packaged foods,"austin,mn,unitedstates", 1891," 20,000",james p snee
apa group,28550000000,apa,australia,utilities,utilitiesregulated gas,"sydney,nsw,australia",," 2,000",robert anthony wheals ca bcom bcom ca gaicd maicd
naturgy energy group sa,28710000000,ntgy,spain,utilities,utilitiesregulated gas,"humanesdemadrid,spain",," 7,231",francisco miguel reynas massanet
techtronic industries company ltd,28750000000,0669,hong kong,industrials,tools & accessories,"kwaichung,hongkong",," 51,426",joseph galli jr bsba mba mba
csx corporation,28900000000,csx,united states,industrials,railroads,"jacksonville,fl,unitedstates"," november 1, 1980"," 20,900",james m foote
svb financial group,28910000000,sivb,united states,financials,banks,"santaclara,ca,unitedstates", 1983," 6,567",gregory w becker
cosco shipping holdings co ltd,28930000000,601919,china,industrials,marine shipping,"shanghai,china",," 29,379",
rwe ag,29060000000,rwe,germany,utilities,utilitiesdiversified,"essen,germany",," 18,902",markus krebber
las vegas sands corp,29070000000,lvs,united states,consumer discretionary,resorts & casinos,"lasvegas,nv,unitedstates"," november 17, 1988"," 44,500",robert glen goldstein
tongwei co ltd,29100000000,600438,china,consumer staples,farm products,"chengdu,china",," 25,549",
rogers communications inc,29130000000,rci.b,canada,communication services,telecom services,"toronto,on,canada",," 23,000",anthony staffieri fca fca fcpa
electricite de france sa,29170000000,edf,france,utilities,utilitiesdiversified,"paris,france",," 163,423",jean-bernard levy
amadeus it group sa,29190000000,ams,spain,technology,information technology services,"madrid,spain",," 15,936",luis maroto camino
astellas pharma inc,29220000000,4503,japan,healthcare,drug manufacturersgeneral,"tokyo,japan",," 15,455",kenji yasukawa phd
keysight technologies inc,29400000000,keys,united states,technology,scientific & technical instruments,"santarosa,ca,unitedstates", 2014," 14,300",ronald s nersesian
ball corporation,29400000000,bll,united states,consumer discretionary,packaging & containers,"westminster,ca,unitedstates", 1880," 24,300",john a hayes
saudi electricity company,29420000000,5110,saudi arabia,utilities,utilitiesregulated electric,"riyadh,saudiarabia",,,
weyerhaeuser company,29420000000,wy,united states,real estate,reitspecialty,"seattle,wa,unitedstates", 1900," 9,214",devin w stockfish esq jd
nasdaq inc,29520000000,ndaq,united states,financials,financial data & stock exchanges,"newyork,ny,unitedstates"," february 8, 1971"," 5,814",adena t friedman
spotify technology sa,29560000000,spot,luxembourg,                                        communication services                                    ,                                        internet content & information                                    ,"luxembourg,luxembourg", 23 april 2006," 6,617",daniel g ek
copart inc,29580000000,cprt,united states,industrials,specialty business services,"dallas,tx,unitedstates"," vallejo, california 1982"," 8,600",a jayson adair
cathay financial holding co ltd,29580000000,2882,taiwan,financials,insurancelife,"taipei,taiwan",," 57,347",
unicredit spa,29650000000,ucg,italy,financials,banks,"milan,mi,italy",," 80,879",andrea orcel
kbc group nv,29810000000,kdb,belgium,financials,banks,"brussels,belgium",," 33,916",johan thijs
match group inc,29820000000,mtch,united states,communication services,internet content & information,"dallas,tx,unitedstates", 1986," 2,500",sharmistha dubey
willis towers watson plc,29850000000,wltw,united kingdom,financials,insurance brokers,"london,unitedkingdom", 5 january 2016," 46,000",carl a hess
riyad bank,29860000000,1010,saudi arabia,financials,banks,"riyadh,saudiarabia",," 5,660",mohammed abdullah al-yahya
vestas wind systea-s,29930000000,vws,denmark,industrials,specialty industrial machinery,"aarhus,denmark",," 29,427",henrik andersen
cummins inc,29940000000,cmi,united states,industrials,specialty industrial machinery,"columbus,in,unitedstates", 1919," 59,900",n thomas linebarger
assa abloy ab,30050000000,alz,sweden,industrials,security & protection services,"stockholm,sweden",," 51,000",nico delvaux
alexandria real estate equities inc,30100000000,are,united states,real estate,reitoffice,"pasadena,ca,unitedstates", october 1994, 559,peter m moglia
compagnie de saint-gobain sa,30160000000,sgo,france,industrials,building products & equipment,"courbevoie,france",," 167,816",benoit bazin
west pharmaceutical services inc,30230000000,wst,united states,healthcare,medical instruments & supplies,"exton,pa,unitedstates", 1923," 10,065",eric m green
fujitsu ltd,30280000000,6702,japan,technology,information technology services,"tokyo,japan",," 126,371",takahito tokita
american water works company inc,30430000000,awk,united states,utilities,utilitiesregulated water,"camden,nj,unitedstates", 1886," 6,400",m susan hardwick
cbre group inc,30450000000,cbre,united states,real estate,real estate services,"losangeles,ca,unitedstates"," august 27, 1906"," 105,000",robert e sulentic
fifth third bancorp,30460000000,fitb,united states,financials,banks,"cincinnati,oh,unitedstates"," june 17, 1858"," 19,112",gregory d carmichael
bae systeplc,30510000000,ba.,united kingdom,industrials,aerospace & defense,"london,unitedkingdom", 30 november 1999," 89,600",
ferguson plc,30520000000,ferg,united kingdom,industrials,industrial distribution,"wokingham,unitedkingdom",," 31,000",kevin murphy
shimano inc,21510000000,7309,japan,consumer discretionary,leisure,"sakai,japan",," 12,244",yozo shimano
contura energy inc,21570000000,ctra,united states,energy,thermal coal,"bristol,tn,unitedstates"," july 26, 2016", 936,thomas e jorden
b3 sa - brasil bolsa balcao,21580000000,b3sa3,brazil,financials,financial data & stock exchanges,"saopaulo,sp,brazil",,,gilson finkelsztain
teledyne technologies incorporated,21650000000,tdy,united states,technology,scientific & technical instruments,"thousandoaks,ca,unitedstates", 1960," 14,500",robert mehrabian
keycorp,21710000000,key,united states,financials,banks,"cleveland,oh,unitedstates", 1825," 17,654",christopher marrott gorman
m&t bank corporation,21740000000,mtb,united states,financials,banks,"buffalo,ny,unitedstates"," august 29, 1856"," 17,115",rene f jones cpa
dai-ichi life holdings inc,21760000000,8750,japan,financials,insurancelife,"tokyo,japan",," 64,823",
ulta beauty inc,21820000000,ulta,united states,consumer discretionary,specialty retail,"bolingbrook,il,unitedstates", 1990," 16,000",david c kimbell
zebra technologies corporation,21870000000,zbra,united states,technology,communication equipment,"lincolnshire,il,unitedstates", 1969," 9,800",anders gustafsson
monolithic power systeinc,21870000000,mpwr,united states,technology,semiconductors,"kirkland,wa,unitedstates", 1997," 2,773",michael r hsing
restaurant brands international limited partnership,21890000000,qsp.un,canada,consumer discretionary,restaurants,"toronto,on,canada",," 5,700",
duke realty corporation,21930000000,dre,united states,real estate,reitindustrial,"indianapolis,in,unitedstates", 1972, 340,james b connor
huntington bancshares incorporated,21930000000,hban,united states,financials,banks,"columbus,oh,unitedstates", 1866," 18,442",stephen d steinour
cnh industrial nv,21930000000,cnhi,united kingdom,industrials,farm & heavy construction machinery,"london,unitedkingdom", 2012," 71,895",scott wellington wine
nibe industrier ab,21930000000,njb,sweden,industrials,building products & equipment,"markaryd,sweden",," 20,400",gerteric lindquist
cf industries holdings inc,21950000000,cf,united states,basic materials,agricultural inputs,"deerfield,il,unitedstates", 1946 ," 2,970",w anthony will
cincinnati financial corporation,21990000000,cinf,united states,financials,insuranceproperty & casualty,"fairfield,oh,unitedstates"," cincinnati, ohio, u.s 1950"," 5,166",steven justus johnston cfa cera cfa fcas maaa
toyota industries corp,21990000000,6201,japan,consumer discretionary,auto manufacturers,"kariya,japan",," 66,947",
geberit ag,22030000000,gebn,switzerland,industrials,building products & equipment,"rapperswil-jona,switzerland",," 11,149",christian buhl
zto express cayman inc,22050000000,zto,china,industrials,integrated freight & logistics,"shanghai,china",," 22,536",meisong lai
unicharm corp,22080000000,8113,japan,consumer staples,household & personal products,"tokyo,japan",," 16,665",takahisa takahara
xp inc,22160000000,xpbr31,brazil,financials,capital markets,"saopaulo,sp,brazil", may 2001," 3,000",thiago maffra
skyworks solutions inc,22170000000,swks,united states,technology,semiconductors,"irvine,ca,unitedstates", 2002," 11,000",liam k griffin
crrc corp ltd,22210000000,601766,china,industrials,railroads,"beijing,china",," 164,177",
continental resources inc,22250000000,clr,united states,energy,oil & gas e&p,"oklahomacity,ok,unitedstates",," 1,254",william b berry bsc msc
huntington bancshares inc,22260000000,hu3,united states,financials,banks,"columbus,oh,unitedstates",," 18,442",stephen d steinour
fomento economico mexicano sab de cv,22280000000,femsaub,mexico,consumer staples,beveragesbrewers,"monterrey,nl,mexico", 1890," 320,808",alfonso garza garza
teleperformance se,22300000000,tep,france,industrials,consulting services,"paris,france",," 420,000",daniel julien
bio-rad laboratories inc,22320000000,bio,united states,healthcare,medical devices,"hercules,ca,unitedstates", 1952," 7,900",norman d schwartz
hennes & mauritz ab,22330000000,hm.b,sweden,consumer discretionary,apparel manufacturing,"stockholm,sweden",," 155,000",
banco do brasil sa,22360000000,bbas3,brazil,financials,banks,"brasilia,df,brazil",," 84,597",fausto de andrade ribeiro
tata motors limited,22380000000,ttm,india,consumer discretionary,auto manufacturers,"mumbai,india", 1945," 75,278",thierry yves henri bollore
sumitomo corp,22420000000,8053,japan,industrials,conglomerates,"tokyo,japan",," 74,920",masayuki hyodo
china national nuclear power co ltd,22420000000,601985,china,utilities,utilitiesindependent power producers,"beijing,china",," 14,506",
okta inc,22450000000,okta,united states,technology,softwareinfrastructure,"sanfrancisco,ca,unitedstates", january 2009," 5,030",todd mckinnon
ems-chemie holding ag,22480000000,emsn,switzerland,basic materials,specialty chemicals,"domat/ems,switzerland",," 2,646",magdalena martullo-blocher
essex property trust inc,22510000000,ess,united states,real estate,reitresidential,"sanmateo,ca,unitedstates", 1971," 1,739",michael j schall cpa
coca-cola europacific partners plc,22530000000,ccep,united kingdom,consumer staples,beveragesnon-alcoholic,"uxbridge,unitedkingdom",," 22,000",damian paul gammell
the hong kong and china gas company ltd,22540000000,0003,hong kong,utilities,utilitiesregulated gas,"northpoint,hongkong",," 55,302",
komatsu ltd,22560000000,6301,japan,industrials,farm & heavy construction machinery,"tokyo,japan",," 61,564",hiroyuki ogawa
grupo financiero banorte sab de cv,22600000000,gfnorteo,mexico,financials,banks,"santafe,df,mexico",,,jose marcos ramirez miguel
picc property and casualty company ltd,22620000000,2328,china,financials,insuranceproperty & casualty,"beijing,china",," 171,508",
kellogg company,22630000000,k,united states,consumer staples,packaged foods,"battlecreek,mi,unitedstates"," february 19, 1906"," 31,000",steven a cahillane
hewlett packard enterprise company,22650000000,hpe,united states,technology,communication equipment,"houston,tx,unitedstates"," november 1, 2015"," 60,400",antonio fabio neri
shanghai international port,22650000000,600018,china,industrials,marine shipping,"shanghai,china",," 14,068",jun yan
ucb sa,22710000000,ucb,belgium,healthcare,biotechnology,"brussels,belgium",," 8,600",jean-christophe tellier
panasonic corp,22730000000,6752,japan,technology,consumer electronics,"kadoma,japan",," 240,786",yuki kusumi
eurofins scientific se,22750000000,erf,luxembourg,                                        healthcare                                    ,                                        diagnostics & research                                    ,"luxembourgcity,luxembourg",," 57,992",gilles g martin phd
sociedad quimica y minera de chile sa,22770000000,sqm,chile,basic materials,chemicals,"santiago,chile"," june 11th, 1968"," 6,081",
epiroc ab,24080000000,3ad2,sweden,industrials,farm & heavy construction machinery,"nacka,sweden",," 15,529",helena hedblom msc
vulcan materials company,24080000000,vmc,united states,basic materials,building materials,"birmingham,al,unitedstates", 1909 as birmingham slag company," 11,912",james thomas hill
bt group plc,24090000000,bt.a,united kingdom,communication services,telecom services,"london,unitedkingdom", 18 june 1846," 99,700",philip eric rene jansen
fujifilm holdings corp,24120000000,4901,japan,industrials,business equipment & supplies,"tokyo,japan",," 73,275",teiichi goto
fresenius se & co kgaa,24120000000,fre,germany,healthcare,medical care facilities,"badhomburgvorderhohe,germany",," 316,078",stephan sturm
mid-america apartment communities inc,24180000000,maa,united states,real estate,reitresidential,"germantown,tn,unitedstates", 1977," 2,429",h eric bolton jr
slack technologies inc,24300000000,work,united states,technology,softwareapplication,"sanfrancisco,ca,unitedstates"," vancouver, british columbia, canada 2009"," 1,664",phanich sodsee
northern trust corporation,24420000000,ntrs,united states,financials,asset management,"chicago,il,unitedstates", 1889," 21,100",michael g o'grady
xpeng inc,24440000000,xpev,china,consumer discretionary,auto manufacturers,"guangzhou,china", 2014," 5,084",xiaopeng he
aena sme sa,24450000000,aena,spain,industrials,airports & air services,"madrid,spain",," 8,162",maurici lucena betriu
evergreen marine corp,24490000000,2603,taiwan,industrials,marine shipping,"taipei,taiwan",,,
woodside petroleum ltd,24600000000,wpl,australia,energy,oil & gas e&p,"perth,wa,australia", 26 july 1954," 3,684",marguerite eileen o'neill bsc msc
live nation entertainment inc,24610000000,lyv,united states,communication services,entertainment,"beverlyhills,ca,unitedstates"," january 25, 2010"," 10,200",michael rapino
china minsheng banking corp ltd,24650000000,600016,china,financials,banks,"beijing,china",," 59,262",
ameren corporation,24790000000,aee,united states,utilities,utilitiesregulated electric,"st.louis,mo,unitedstates", 1997," 9,116",martin j lyons jr
church & dwight co inc,24810000000,chd,united states,consumer staples,household & personal products,"ewing,nj,unitedstates"," 1847: as john dwight and company 1896: as church & dwight, co."," 5,100",matthew thomas farrell
verisign inc,24810000000,vrsn,united states,technology,softwareinfrastructure,"reston,va,unitedstates"," april 12, 1995", 902,d james bidzos
diamondback energy inc,24840000000,fang,united states,energy,oil & gas e&p,"midland,tx,unitedstates",, 870,travis d stice
seagen inc,24870000000,sgen,united states,healthcare,biotechnology,"bothell,wa,unitedstates", 1997," 2,675",clay b siegall
palantir technologies inc,24910000000,pltr,united states,technology,softwareinfrastructure,"denver,co,unitedstates", 2003," 2,920",alexander c karp
delta air lines inc,24920000000,dal,united states,industrials,airlines,"atlanta,ga,unitedstates"," march 2, 1925"," 83,000",edward h bastian
edp renovaveis sa,25010000000,edpr,spain,utilities,utilitiesrenewable,"madrid,spain",," 2,114",miguel stilwell de andrade
gartner inc,25030000000,it,united states,technology,information technology services,"stamford,ct,unitedstates", 1979," 16,600",eugene a hall
cdw corporation,25040000000,cdw,united states,technology,information technology services,"lincolnshire,il,unitedstates", 1984," 13,900",christine a leahy
the mosaic company,25090000000,mos,united states,basic materials,agricultural inputs,"tampa,fl,unitedstates"," october 22, 2004"," 12,525",james c o'rourke peng
skandinaviska enskilda banken ab,25150000000,seb.a,sweden,financials,banks,"stockholm,sweden",," 15,500",johan torgeby
galaxy entertainment group ltd,25170000000,0027,hong kong,consumer discretionary,resorts & casinos,"central,hongkong",," 17,088",
legrand sa,25190000000,lr,france,industrials,specialty industrial machinery,"limoges,france",," 38,207",benoat coquart
enphase energy inc,25200000000,enph,united states,technology,solar,"fremont,ca,unitedstates", 2006," 2,260",badrinarayanan kothandaraman
ck asset holdings limited,25210000000,1113,hong kong,real estate,real estatedevelopment,"central,hongkong",," 54,000",
albemarle corporation,25250000000,alb,united states,basic materials,specialty chemicals,"charlotte,nc,unitedstates", 1994," 6,000",jerry kent masters jr
firstenergy corp,25260000000,fe,united states,utilities,utilitiesdiversified,"akron,oh,unitedstates"," november 7, 1997"," 12,395",steven e strah
yanzhou coal mining company ltd,25260000000,600188,china,energy,thermal coal,"zoucheng,china",," 63,869",
clp holdings ltd,25290000000,0002,hong kong,utilities,utilitiesregulated electric,"hunghom,hongkong",," 7,061",richard kendall lancaster be
straumann holding ag,25310000000,stmn,switzerland,healthcare,medical instruments & supplies,"basel,switzerland",," 8,692",guillaume daniellot
lennar corporation,25340000000,len,united states,consumer discretionary,residential construction,"miami,fl,unitedstates", 1954," 10,753",jonathan m jaffe
nan ya plastics corp,25410000000,1303,taiwan,basic materials,specialty chemicals,"kaohsiung,taiwan",,,
united rentals inc,25460000000,uri,united states,industrials,rental & leasing services,"stamford,ct,unitedstates"," august 14, 1997"," 20,400",matthew j flannery
axis bank ltd,25540000000,axisbank,india,financials,banks,"mumbai,india",," 86,266",amitabh chaudhry
banco santander brasil sa,25590000000,sanb11,brazil,financials,banks,"saopaulo,sp,brazil", 1982," 48,834",mario roberto opice leao
mongodb inc,25730000000,mdb,united states,technology,softwareinfrastructure,"newyork,ny,unitedstates", 2007," 2,539",dev c ittycheria
mitsubishi electric corporation,25610000000,6503,japan,industrials,electrical equipment & parts,"tokyo,japan"," january 15, 1921"," 145,653",kei uruma
laboratory corporation of america holdings,25750000000,lh,united states,healthcare,diagnostics & research,"burlington,nc,unitedstates"," september 5, 1978"," 67,950",adam h schechter
the hartford financial services group inc,25760000000,hig,united states,financials,insurancediversified,"hartford,ct,unitedstates", 1810," 18,100",christopher jerome swift cpa
enbw energie baden-wuerttemberg ag,25820000000,ebk,germany,utilities,utilitiesdiversified,"karlsruhe,germany",," 24,519",frank mastiaux
li auto inc,25830000000,li,china,consumer discretionary,auto manufacturers,"beijing,china", 2015," 11,901",xiang li
central japan railway co,26000000000,9022,japan,industrials,railroads,"nagoya,japan",," 30,153",
telefonica sa,26040000000,tef,spain,communication services,telecom services,"madrid,spain", 19 april 1924," 104,150",jose maraa alvarez-pallete lopez
roblox corp,26050000000,rblx,united states,communication services,electronic gaming & multimedia,"sanmateo,ca,unitedstates",," 1,600",david baszucki
china everbright bank company ltd,26130000000,601818,china,financials,banks,"beijing,china",," 46,989",
realty income corporation,26180000000,o,united states,real estate,reitretail,"sandiego,ca,unitedstates", 1969, 367,sumit roy
sonova holding ag,26220000000,soon,switzerland,healthcare,medical instruments & supplies,"stafa,switzerland",," 14,922",arnd kaldowski
national bank of canada,26290000000,na,canada,financials,banks,"montreal,qc,canada", november 1979," 27,804",laurent ferreira
lyondellbasell advanced polymers inc,26380000000,slmnp,united states,basic materials,chemicals,"fairlawn,oh,unitedstates",," 5,300",bhavesh v patel
canon inc,26380000000,7751,japan,technology,computer hardware,"tokyo,japan", 10 august 1937," 184,034",fujio mitarai
deutsche bank ag,26380000000,dbk,germany,financials,banks,"frankfurtammain,germany", 10 march 1869," 82,969",christian sewing
intact financial corporation,26400000000,ifc,canada,financials,insuranceproperty & casualty,"toronto,on,canada", 1809," 26,000",charles j g brindamour bsc
dte energy company,26410000000,dte,united states,utilities,utilitiesregulated electric,"detroit,mi,unitedstates",," 10,300",gerard m anderson
southwest airlines co,26520000000,luv,united states,industrials,airlines,"dallas,tx,unitedstates"," march 15, 1967"," 55,100",robert e jordan
thales sa,26550000000,ho,france,industrials,aerospace & defense,"courbevoie,france",," 81,098",patrice caine
unity software inc,26560000000,u,united states,technology,softwareapplication,"sanfrancisco,ca,unitedstates", 2004," 5,245",john s riccitiello
kansas city southern,26590000000,ksu,united states,industrials,railroads,"kansascity,mo,unitedstates", 1887," 6,522",patrick j ottensmeyer
pg&e corporation,26660000000,pcg,united states,utilities,utilitiesregulated electric,"sanfrancisco,ca,unitedstates", 1905," 26,000",patricia kessler poppe
cheniere energy partners lp,26680000000,cqp,united states,energy,oil & gas midstream,"houston,tx,unitedstates",,,jack a fusco
sandvik ab,26710000000,sand,sweden,industrials,specialty industrial machinery,"stockholm,sweden",," 44,133",stefan widing
vonovia se,26780000000,vna,germany,real estate,real estate services,"bochum,germany",," 16,051",rolf eberhard buch
beijing wantai biological pharmacy enterprise co ltd,26800000000,603392,china,healthcare,biotechnology,"beijing,china",," 3,103",
evolution gaming group ab,26820000000,evo,sweden,consumer discretionary,gambling,"stockholm,sweden",," 8,987",
bridgestone corp,26880000000,5108,japan,consumer discretionary,auto parts,"tokyo,japan",," 138,036",shuichi ishibashi
zimmer biomet holdings inc,26940000000,zbh,united states,healthcare,medical devices,"warsaw,in,unitedstates", 1927," 19,500",bryan c hanson
aier eye hospital group co ltd,26950000000,300015,china,healthcare,medical care facilities,"changsha,china",," 22,808",
shaanxi coal industry company ltd,26950000000,601225,china,energy,thermal coal,"xi'an,china",," 36,344",
ansys inc,26980000000,anss,united states,technology,softwareapplication,"canonsburg,pa,unitedstates"," canonsburg, pennsylvania, united states 1970"," 5,100",ajei s gopal phd
chocoladefabriken lindt & sprungli ag,27080000000,lisn,switzerland,consumer staples,confectioners,"kilchberg,switzerland",," 14,000",dieter weisskopf phd
tractor supply company,27090000000,tsco,united states,consumer discretionary,specialty retail,"brentwood,tn,unitedstates", 1938," 22,000",harry a lawton iii
fubon financial holding co ltd,27130000000,2881,taiwan,financials,insurancelife,"taipei,taiwan",," 44,461",
gazprom neft pjsc,27140000000,sibn,russia,energy,oil & gas integrated,"saintpetersburg,russia",,,alexander valerievich dyukov
interactive brokers group inc,27220000000,ibkr,united states,financials,capital markets,"greenwich,ct,unitedstates"," new york city, united states 1978"," 2,571",milan galik
will semiconductor co ltd,27240000000,603501,china,technology,semiconductors,"shanghai,china",," 3,291",
ganfeng lithium co ltd,27250000000,002460,china,basic materials,chemicals,"xinyu,china",," 5,533",liangbin li
ntt data corp,27260000000,9613,japan,technology,information technology services,"tokyo,japan",," 139,677",hiroshi honma
mccormick & company incorporated,27290000000,mkc,united states,consumer staples,packaged foods,"huntvalley,md,unitedstates", 1889," 14,000",lawrence e kurzius
kone oyj,27290000000,knebv,finland,industrials,specialty industrial machinery,"espoo,finland",," 62,720",henrik ehrnrooth msc econ
nari technology co ltd,27330000000,600406,china,industrials,specialty industrial machinery,"nanjing,china",," 8,806",
ww grainger inc,27330000000,gww,united states,industrials,industrial distribution,"lakeforest,il,unitedstates", 1927," 22,700",donald g macpherson
