name,market_capitalization_usd,stock,country,sector,industry
citic securities company ltd,40170000000,600030,china,financials,capital markets
baxter international inc,40130000000,bax,united states,healthcare,medical instruments & supplies
boc hong kong holdings ltd,39990000000,2388,hong kong,financials,banks
msci inc,39970000000,msci,united states,financials,financial data & stock exchanges
welltower inc,39960000000,well,united states,real estate,reithealthcare facilities
xcel energy inc,39760000000,xel,united states,utilities,utilitiesregulated electric
united overseas bank ltd,39730000000,u11,singapore,financials,banks
wanhua chemical group co ltd,39730000000,600309,china,basic materials,chemicals
dupont de nemours inc,39720000000,dd,united states,basic materials,chemicals
eqt ab,39710000000,6eq,japan,financials,asset management
alimentation couche-tard inc,39560000000,atd.b,canada,consumer staples,grocery stores
ebay inc,39340000000,ebay,united states,consumer discretionary,internet retail
givaudan sa,39290000000,givn,switzerland,basic materials,specialty chemicals
novozymes a-s,39030000000,nzym.b,denmark,basic materials,chemicals
prudential plc,39000000000,pru,united kingdom,financials,insurancelife
alcon inc,38900000000,alc,switzerland,healthcare,medical instruments & supplies
ecopetrol sa,38690000000,ec,colombia,energy,oil & gas integrated
baker hughes company,38390000000,bkr,united states,energy,oil & gas equipment & services
banco bilbao vizcaya argentaria sa,38250000000,bbva,spain,financials,banks
dell technologies inc,38160000000,dell,united states,technology,computer hardware
kuaishou technology,38150000000,1024,china,communication services,broadcasting
ab volvo,38130000000,vol4,sweden,industrials,farm & heavy construction machinery
credit agricole sa,38010000000,aca,france,financials,banks
dollar tree inc,38000000000,dltr,united states,consumer staples,discount stores
sba communications corporation,37930000000,sbac,united states,real estate,reitspecialty
capgemini se,37820000000,cap,france,technology,information technology services
daiichi sankyo company ltd,37790000000,4568,japan,healthcare,drug manufacturersgeneral
compass group plc,37730000000,cpg,united kingdom,consumer discretionary,restaurants
sartorius stedim biotech sa,37550000000,dim,france,healthcare,medical instruments & supplies
pt bank rakyat indonesia persero tbk,37510000000,byra,indonesia,financials,banks
phillips 66,37510000000,psx,united states,energy,oil & gas refining & marketing
electronic arts inc,37380000000,ea,united states,communication services,electronic gaming & multimedia
trane technologies plc,37360000000,tt,ireland,industrials,specialty industrial machinery
smc corp,37080000000,6273,japan,industrials,specialty industrial machinery
parker-hannifin corporation,37050000000,ph,united states,industrials,specialty industrial machinery
tokio marine holdings inc,36990000000,8766,japan,financials,insuranceproperty & casualty
jiangsu hengrui medicine co ltd,36900000000,600276,china,healthcare,drug manufacturersgeneral
beijing-shanghai high-speed railway coltd,36900000000,601816,china,industrials,railroads
munchener ruckversicherungs-gesellschaft aktiengesellschaft in munchen,36890000000,muv2,germany,financials,insurancereinsurance
doordash inc,36740000000,dash,united states,communication services,internet content & information
shanghai pudong development bank co ltd,36720000000,600000,china,financials,banks
constellation software inc,36670000000,csu,canada,technology,softwareapplication
inner mongolia yili industrial group co ltd,36610000000,600887,china,consumer staples,packaged foods
telus corporation,36370000000,t,canada,communication services,telecom services
public service enterprise group incorporated,36280000000,peg,united states,utilities,utilitiesdiversified
transdigm group incorporated,36140000000,tdg,united states,industrials,aerospace & defense
waste connections inc,36140000000,wcn,united states,industrials,waste management
lyondellbasell industries nv,35960000000,lyb,united states,basic materials,specialty chemicals
da sa,35930000000,bn,france,consumer staples,packaged foods
cloudflare inc,35920000000,net,united states,technology,softwareinfrastructure
nio limited,35860000000,nio,china,consumer discretionary,auto manufacturers
coinbase global inc,35860000000,coin,united states,technology,softwareapplication
shanxi xinghuacun fen wine factory coltd,35840000000,600809,china,consumer staples,beverageswineries & distilleries
neste oyj,35570000000,neste,finland,energy,oil & gas refining & marketing
resmed inc,35440000000,rmd,united states,healthcare,medical instruments & supplies
experian plc,35400000000,expn,ireland,industrials,consulting services
intuitive surgical inc,35370000000,isrg,united states,healthcare,medical instruments & supplies
woolworths group limited,35330000000,wow,australia,consumer staples,grocery stores
mplx lp,35270000000,mplx,united states,energy,oil & gas midstream
telstra corporation limited,35240000000,tls,australia,communication services,telecom services
hexagon ab,35210000000,hxg,sweden,technology,scientific & technical instruments
assicurazioni generali,35200000000,g,italy,financials,insurancediversified
avalonbay communities inc,35190000000,avb,united states,real estate,reitresidential
imperial oil limited,35130000000,imo,canada,energy,oil & gas integrated
yum brands inc,35120000000,yum,united states,consumer discretionary,restaurants
sun hung kai properties ltd,35040000000,0016,hong kong,real estate,real estatedevelopment
old dominion freight line inc,34940000000,odfl,united states,industrials,trucking
cheniere energy inc,34920000000,lng,united states,energy,oil & gas midstream
consolidated edison inc,34890000000,ed,united states,utilities,utilitiesregulated electric
china citic bank corp ltd,34840000000,601998,china,financials,banks
budweiser brewing company apac ltd,34730000000,1876,hong kong,consumer staples,beveragesbrewers
arcelormittal,34660000000,mt,luxembourg,basic materials,steel
ameriprise financial inc,34640000000,amp,united states,financials,asset management
fastenal company,34580000000,fast,united states,industrials,industrial distribution
align technology inc,34490000000,algn,united states,healthcare,medical devices
verbund ag,34440000000,oew,austria,utilities,utilitiesrenewable
sydney airport limited,34400000000,syd,australia,industrials,airports & air services
verisk analytics inc,34390000000,vrsk,united states,industrials,consulting services
z holdings corp,34240000000,4689,japan,consumer discretionary,internet retail
arthur j gallagher & co,34220000000,ajg,united states,financials,insurance brokers
chongqing zhifei biological products co ltd,34130000000,300122,china,healthcare,biotechnology
equity residential,34110000000,eqr,united states,real estate,reitresidential
chunghwa telecom co ltd,34060000000,2412,taiwan,communication services,telecom services
t rowe price group inc,34010000000,trow,united states,financials,asset management
halliburton company,33950000000,hal,united states,energy,oil & gas equipment & services
tyson foods inc,33730000000,tsn,united states,consumer staples,farm products
discover financial services,33730000000,dfs,united states,financials,credit services
kuehne nagel international ag,33690000000,knin,switzerland,industrials,integrated freight & logistics
fanuc corp,33680000000,6954,japan,industrials,specialty industrial machinery
mtr corp ltd,33660000000,0066,hong kong,industrials,railroads
poly developments and holdings group co ltd,33640000000,600048,china,real estate,real estatedevelopment
kkr & co inc,33490000000,kkr,united states,financials,asset management
mizuho financial group inc,33470000000,8411,japan,financials,banks
ptt pcl,33460000000,ptt,thailand,energy,oil & gas integrated
koninklijke ahold delhaize nv,33430000000,ad,netherlands,consumer staples,grocery stores
china vanke co ltd,33350000000,000002,china,real estate,real estatedevelopment
international flavors & fragrances inc,33320000000,iff,united states,basic materials,specialty chemicals
telefonaktiebolaget lm ericsson,33290000000,eric.a,sweden,technology,communication equipment
china resources land ltd,33260000000,1109,hong kong,real estate,real estatedevelopment
zoom video communications inc,33220000000,zm,united states,communication services,telecom services
otis worldwide corporation,33090000000,otis,united states,industrials,specialty industrial machinery
sun life financial inc,33080000000,slf,canada,financials,insurancediversified
rockwell automation inc,33050000000,rok,united states,industrials,specialty industrial machinery
aptiv plc,33020000000,aptv,ireland,consumer discretionary,auto parts
cenovus energy inc,33020000000,cve,canada,energy,oil & gas integrated
deutsche borse ag,32990000000,db1,germany,financials,financial data & stock exchanges
orange sa,32840000000,ora,france,communication services,telecom services
hess corporation,32810000000,hes,united states,energy,oil & gas e&p
natwest group plc,32720000000,nwg,united kingdom,financials,banks
ross stores inc,32710000000,rost,united states,consumer discretionary,apparel retail
wec energy group inc,32540000000,wec,united states,utilities,utilitiesregulated electric
amerisourcebergen corporation,32510000000,abc,united states,healthcare,medical distribution
china overseas land & investment ltd,32490000000,0688,hong kong,real estate,real estatedevelopment
wuxi biologics,32410000000,2269,china,healthcare,biotechnology
citic ltd,32330000000,0267,hong kong,industrials,conglomerates
cellnex telecom sa,32320000000,clnx,spain,communication services,telecom services
haier smart home co ltd,32310000000,600690,china,consumer discretionary,"furnishings, fixtures & appliances"
singapore telecommunications ltd,32230000000,z74,singapore,communication services,telecom services
anta sports products ltd,32200000000,2020,china,consumer discretionary,leisure
barclays plc,32190000000,barc,united kingdom,financials,banks
brown-forman corporation,32070000000,bf.b,united states,consumer staples,beverageswineries & distilleries
weg sa,32050000000,wege3,brazil,industrials,specialty industrial machinery
paccar inc,32040000000,pcar,united states,industrials,farm & heavy construction machinery
great wall motor co ltd,32010000000,601633,china,consumer discretionary,auto manufacturers
longfor group holdings ltd,31980000000,0960,china,real estate,real estatedevelopment
japan post bank coltd,31930000000,7182,japan,financials,banks
ppg industries inc,31890000000,ppg,united states,basic materials,specialty chemicals
perusahaan perseroan persero pt telekomunikasi indonesia tbk,31780000000,tlk,indonesia,communication services,telecom services
mettler-toledo international inc,31780000000,mtd,united states,healthcare,diagnostics & research
oneok inc,31660000000,oke,united states,energy,oil & gas midstream
goodman group,31640000000,gmg,australia,real estate,reitdiversified
corning incorporated,31600000000,glw,united states,technology,electronic components
japan tobacco inc,31590000000,2914,japan,consumer staples,tobacco
foxconn industrial internet co ltd,31580000000,601138,china,technology,communication equipment
eversource energy,31560000000,es,united states,utilities,utilitiesregulated electric
china telecom corp ltd,31490000000,0728,hong kong,communication services,telecom services
crh plc,31450000000,crh,ireland,basic materials,building materials
japan post holdings co ltd,31410000000,6178,japan,financials,banks
biogen inc,31350000000,biib,united states,healthcare,drug manufacturersgeneral
swisscom ag,31260000000,scmn,switzerland,communication services,telecom services
koninklijke dsm nv,31250000000,dsm,netherlands,basic materials,specialty chemicals
formosa petrochemical corp,31220000000,6505,taiwan,energy,oil & gas refining & marketing
zhangzhou pientzehuang pharmaceutical ltd,31170000000,600436,china,healthcare,drug manufacturersgeneral
ametek inc,31150000000,ame,united states,industrials,specialty industrial machinery
eon se,31120000000,eoaa,germany,utilities,utilitiesdiversified
china pacific insurance,31040000000,601601,china,financials,insurancelife
zscaler inc,31030000000,zs,united states,technology,softwareinfrastructure
anhui conch cement company ltd,31020000000,600585,china,basic materials,building materials
franco-nevada corporation,31000000000,fnv,canada,basic materials,gold
engie sa,31000000000,engi,france,utilities,utilitiesdiversified
state street corporation,30950000000,stt,united states,financials,asset management
saic motor corp ltd,30930000000,600104,china,consumer discretionary,auto manufacturers
nokia corporation,30910000000,nokia.sek,finland,technology,communication equipment
twitter inc,30830000000,twtr,united states,communication services,internet content & information
veeva systeinc,30760000000,veev,united states,healthcare,health information services
loblaw companies limited,30700000000,l,canada,consumer staples,grocery stores
energy transfer lp,30690000000,et,united states,energy,oil & gas midstream
henkel ag & co kgaa,30530000000,hen,germany,consumer staples,household & personal products
coupang inc,30530000000,cpng,south korea,consumer discretionary,internet retail
ferguson plc,30520000000,ferg,united kingdom,industrials,industrial distribution
bae systeplc,30510000000,ba.,united kingdom,industrials,aerospace & defense
fifth third bancorp,30460000000,fitb,united states,financials,banks
cbre group inc,30450000000,cbre,united states,real estate,real estate services
american water works company inc,30430000000,awk,united states,utilities,utilitiesregulated water
fujitsu ltd,30280000000,6702,japan,technology,information technology services
west pharmaceutical services inc,30230000000,wst,united states,healthcare,medical instruments & supplies
compagnie de saint-gobain sa,30160000000,sgo,france,industrials,building products & equipment
alexandria real estate equities inc,30100000000,are,united states,real estate,reitoffice
assa abloy ab,30050000000,alz,sweden,industrials,security & protection services
cummins inc,29940000000,cmi,united states,industrials,specialty industrial machinery
vestas wind systea-s,29930000000,vws,denmark,industrials,specialty industrial machinery
riyad bank,29860000000,1010,saudi arabia,financials,banks
willis towers watson plc,29850000000,wltw,united kingdom,financials,insurance brokers
match group inc,29820000000,mtch,united states,communication services,internet content & information
kbc group nv,29810000000,kdb,belgium,financials,banks
unicredit spa,29650000000,ucg,italy,financials,banks
cathay financial holding co ltd,29580000000,2882,taiwan,financials,insurancelife
copart inc,29580000000,cprt,united states,industrials,specialty business services
spotify technology sa,29560000000,spot,luxembourg,communication services,internet content & information
nasdaq inc,29520000000,ndaq,united states,financials,financial data & stock exchanges
weyerhaeuser company,29420000000,wy,united states,real estate,reitspecialty
saudi electricity company,29420000000,5110,saudi arabia,utilities,utilitiesregulated electric
ball corporation,29400000000,bll,united states,consumer discretionary,packaging & containers
keysight technologies inc,29400000000,keys,united states,technology,scientific & technical instruments
astellas pharma inc,29220000000,4503,japan,healthcare,drug manufacturersgeneral
amadeus it group sa,29190000000,ams,spain,technology,information technology services
electricite de france sa,29170000000,edf,france,utilities,utilitiesdiversified
rogers communications inc,29130000000,rci.b,canada,communication services,telecom services
tongwei co ltd,29100000000,600438,china,consumer staples,farm products
las vegas sands corp,29070000000,lvs,united states,consumer discretionary,resorts & casinos
rwe ag,29060000000,rwe,germany,utilities,utilitiesdiversified
cosco shipping holdings co ltd,28930000000,601919,china,industrials,marine shipping
svb financial group,28910000000,sivb,united states,financials,banks
csx corporation,28900000000,csx,united states,industrials,railroads
techtronic industries company ltd,28750000000,0669,hong kong,industrials,tools & accessories
naturgy energy group sa,28710000000,ntgy,spain,utilities,utilitiesregulated gas
apa group,28550000000,apa,australia,utilities,utilitiesregulated gas
hormel foods corporation,28520000000,hrl,united states,consumer staples,packaged foods
cerner corporation,28310000000,cern,united states,healthcare,health information services
ashtead group plc,28280000000,aht,united kingdom,industrials,rental & leasing services
equifax inc,28240000000,efx,united states,industrials,consulting services
semiconductor manufacturing international corp,28240000000,688981,china,technology,semiconductors
porsche automobil holding se,28150000000,paha,germany,consumer discretionary,auto manufacturers
tesco plc,28110000000,tsco,united kingdom,consumer staples,grocery stores
sirius xm holdings inc,28050000000,siri,united states,communication services,broadcasting
airports of thailand public company ltd,28000000000,aot,thailand,industrials,airports & air services
ck hutchison holdings ltd,27940000000,0001,hong kong,industrials,conglomerates
the people's insurance company group of china ltd,27930000000,601319,china,financials,insuranceproperty & casualty
expedia group inc,27910000000,expe,united states,consumer discretionary,travel services
first republic bank,27900000000,frc,united states,financials,banks
koninklijke philips nv,27890000000,phia,netherlands,healthcare,diagnostics & research
great-west lifeco inc,27850000000,gwo,canada,financials,insurancelife
thai beverage public company ltd,27810000000,y92,thailand,consumer staples,beverageswineries & distilleries
swiss re ag,27800000000,sren,switzerland,financials,insurancereinsurance
edison international,27670000000,eix,united states,utilities,utilitiesregulated electric
wolters kluwer nv,27650000000,wkl,netherlands,communication services,publishing
on semiconductor corporation,27630000000,on,united states,technology,semiconductors
caixabank sa,27580000000,cabk,spain,financials,banks
sampo oyj,27460000000,sampo,finland,financials,insurancediversified
extra space storage inc,27370000000,exr,united states,real estate,reitindustrial
sartorius ag,27350000000,srt,germany,healthcare,medical instruments & supplies
dr horton inc,27340000000,dhi,united states,consumer discretionary,residential construction
ww grainger inc,27330000000,gww,united states,industrials,industrial distribution
nari technology co ltd,27330000000,600406,china,industrials,specialty industrial machinery
kone oyj,27290000000,knebv,finland,industrials,specialty industrial machinery
mccormick & company incorporated,27290000000,mkc,united states,consumer staples,packaged foods
ntt data corp,27260000000,9613,japan,technology,information technology services
ganfeng lithium co ltd,27250000000,002460,china,basic materials,chemicals
will semiconductor co ltd,27240000000,603501,china,technology,semiconductors
interactive brokers group inc,27220000000,ibkr,united states,financials,capital markets
gazprom neft pjsc,27140000000,sibn,russia,energy,oil & gas integrated
fubon financial holding co ltd,27130000000,2881,taiwan,financials,insurancelife
tractor supply company,27090000000,tsco,united states,consumer discretionary,specialty retail
chocoladefabriken lindt & sprungli ag,27080000000,lisn,switzerland,consumer staples,confectioners
ansys inc,26980000000,anss,united states,technology,softwareapplication
shaanxi coal industry company ltd,26950000000,601225,china,energy,thermal coal
aier eye hospital group co ltd,26950000000,300015,china,healthcare,medical care facilities
zimmer biomet holdings inc,26940000000,zbh,united states,healthcare,medical devices
bridgestone corp,26880000000,5108,japan,consumer discretionary,auto parts
evolution gaming group ab,26820000000,evo,sweden,consumer discretionary,gambling
beijing wantai biological pharmacy enterprise co ltd,26800000000,603392,china,healthcare,biotechnology
vonovia se,26780000000,vna,germany,real estate,real estate services
sandvik ab,26710000000,sand,sweden,industrials,specialty industrial machinery
cheniere energy partners lp,26680000000,cqp,united states,energy,oil & gas midstream
pg&e corporation,26660000000,pcg,united states,utilities,utilitiesregulated electric
kansas city southern,26590000000,ksu,united states,industrials,railroads
unity software inc,26560000000,u,united states,technology,softwareapplication
thales sa,26550000000,ho,france,industrials,aerospace & defense
southwest airlines co,26520000000,luv,united states,industrials,airlines
dte energy company,26410000000,dte,united states,utilities,utilitiesregulated electric
intact financial corporation,26400000000,ifc,canada,financials,insuranceproperty & casualty
deutsche bank ag,26380000000,dbk,germany,financials,banks
canon inc,26380000000,7751,japan,technology,computer hardware
lyondellbasell advanced polymers inc,26380000000,slmnp,united states,basic materials,chemicals
national bank of canada,26290000000,na,canada,financials,banks
sonova holding ag,26220000000,soon,switzerland,healthcare,medical instruments & supplies
realty income corporation,26180000000,o,united states,real estate,reitretail
china everbright bank company ltd,26130000000,601818,china,financials,banks
twilio inc,26090000000,twlo,united states,communication services,internet content & information
roblox corp,26050000000,rblx,united states,communication services,electronic gaming & multimedia
telefonica sa,26040000000,tef,spain,communication services,telecom services
central japan railway co,26000000000,9022,japan,industrials,railroads
li auto inc,25830000000,li,china,consumer discretionary,auto manufacturers
enbw energie baden-wuerttemberg ag,25820000000,ebk,germany,utilities,utilitiesdiversified
the hartford financial services group inc,25760000000,hig,united states,financials,insurancediversified
laboratory corporation of america holdings,25750000000,lh,united states,healthcare,diagnostics & research
mongodb inc,25730000000,mdb,united states,technology,softwareinfrastructure
mitsubishi electric corporation,25610000000,6503,japan,industrials,electrical equipment & parts
banco santander brasil sa,25590000000,sanb11,brazil,financials,banks
axis bank ltd,25540000000,axisbank,india,financials,banks
united rentals inc,25460000000,uri,united states,industrials,rental & leasing services
nan ya plastics corp,25410000000,1303,taiwan,basic materials,specialty chemicals
lennar corporation,25340000000,len,united states,consumer discretionary,residential construction
straumann holding ag,25310000000,stmn,switzerland,healthcare,medical instruments & supplies
clp holdings ltd,25290000000,0002,hong kong,utilities,utilitiesregulated electric
yanzhou coal mining company ltd,25260000000,600188,china,energy,thermal coal
firstenergy corp,25260000000,fe,united states,utilities,utilitiesdiversified
albemarle corporation,25250000000,alb,united states,basic materials,specialty chemicals
ck asset holdings limited,25210000000,1113,hong kong,real estate,real estatedevelopment
enphase energy inc,25200000000,enph,united states,technology,solar
legrand sa,25190000000,lr,france,industrials,specialty industrial machinery
galaxy entertainment group ltd,25170000000,0027,hong kong,consumer discretionary,resorts & casinos
skandinaviska enskilda banken ab,25150000000,seb.a,sweden,financials,banks
the mosaic company,25090000000,mos,united states,basic materials,agricultural inputs
cdw corporation,25040000000,cdw,united states,technology,information technology services
gartner inc,25030000000,it,united states,technology,information technology services
edp renovaveis sa,25010000000,edpr,spain,utilities,utilitiesrenewable
delta air lines inc,24920000000,dal,united states,industrials,airlines
palantir technologies inc,24910000000,pltr,united states,technology,softwareinfrastructure
seagen inc,24870000000,sgen,united states,healthcare,biotechnology
diamondback energy inc,24840000000,fang,united states,energy,oil & gas e&p
verisign inc,24810000000,vrsn,united states,technology,softwareinfrastructure
church & dwight co inc,24810000000,chd,united states,consumer staples,household & personal products
ameren corporation,24790000000,aee,united states,utilities,utilitiesregulated electric
china minsheng banking corp ltd,24650000000,600016,china,financials,banks
live nation entertainment inc,24610000000,lyv,united states,communication services,entertainment
woodside petroleum ltd,24600000000,wpl,australia,energy,oil & gas e&p
evergreen marine corp,24490000000,2603,taiwan,industrials,marine shipping
aena sme sa,24450000000,aena,spain,industrials,airports & air services
xpeng inc,24440000000,xpev,china,consumer discretionary,auto manufacturers
northern trust corporation,24420000000,ntrs,united states,financials,asset management
slack technologies inc,24300000000,work,united states,technology,softwareapplication
mid-america apartment communities inc,24180000000,maa,united states,real estate,reitresidential
fresenius se & co kgaa,24120000000,fre,germany,healthcare,medical care facilities
fujifilm holdings corp,24120000000,4901,japan,industrials,business equipment & supplies
bt group plc,24090000000,bt.a,united kingdom,communication services,telecom services
vulcan materials company,24080000000,vmc,united states,basic materials,building materials
epiroc ab,24080000000,3ad2,sweden,industrials,farm & heavy construction machinery
delta electronics inc,24050000000,2308,taiwan,technology,electronic components
public joint stock company polyus,24020000000,plzl,russia,basic materials,gold
schindler holding ag,24020000000,schn,switzerland,industrials,specialty industrial machinery
orix corporation,23970000000,8591,japan,financials,credit services
martin marietta materials inc,23940000000,mlm,united states,basic materials,building materials
csc financial co ltd,23940000000,601066,china,financials,capital markets
best buy co inc,23930000000,bby,united states,consumer discretionary,specialty retail
steris plc,23930000000,ste,ireland,healthcare,medical instruments & supplies
entergy corporation,23920000000,etr,united states,utilities,utilitiesdiversified
m3 inc,23890000000,2413,japan,healthcare,health information services
splunk inc,23840000000,splk,united states,technology,softwareinfrastructure
eve energy co ltd,23820000000,300014,china,industrials,electrical equipment & parts
ventas inc,23810000000,vtr,united states,real estate,reithealthcare facilities
endesa sa,23780000000,ele,spain,utilities,utilitiesregulated electric
sse plc,23730000000,sse,united kingdom,utilities,utilitiesdiversified
compagnie generale des etablissements michelin sca,23650000000,ml,france,consumer discretionary,auto parts
horizon therapeutics public limited company,23640000000,hznp,ireland,healthcare,drug manufacturersgeneral
baoshan iron & steel co ltd,23590000000,600019,china,basic materials,steel
stanley black & decker inc,23570000000,swk,united states,industrials,tools & accessories
sungrow power supply co ltd,23550000000,300274,china,industrials,electrical equipment & parts
beiersdorf ag,23510000000,bei,germany,consumer staples,household & personal products
pt bank mandiri persero tbk,23510000000,pq9,indonesia,financials,banks
first quantum minerals ltd,23470000000,fm,canada,basic materials,copper
kubota corp,23460000000,6326,japan,industrials,farm & heavy construction machinery
mtn group ltd,23450000000,mtn,south africa,communication services,telecom services
maxim integrated products inc,23440000000,mxim,united states,technology,semiconductors
rocket companies inc,23440000000,rkt,united states,financials,mortgage finance
fortis inc,23430000000,fts,canada,utilities,utilitiesregulated electric
formosa plastics corp,23420000000,1301,taiwan,basic materials,specialty chemicals
liberty broadband corporation,23400000000,lbrdk,united states,communication services,entertainment
united microelectronics corporation,23350000000,2303,taiwan,technology,semiconductors
garmin ltd,23350000000,grmn,switzerland,technology,scientific & technical instruments
huazhu group limited,23340000000,htht,china,consumer discretionary,lodging
carnival corporation & plc,23290000000,ccl,united states,consumer discretionary,travel services
sany heavy industry co ltd,23270000000,600031,china,industrials,farm & heavy construction machinery
fox corporation,23260000000,foxa,united states,communication services,broadcasting
wens foodstuff group co ltd,23200000000,300498,china,consumer staples,farm products
societe generale sa,23180000000,gle,france,financials,banks
terumo corp,23160000000,4543,japan,healthcare,medical instruments & supplies
china international capital corp ltd,23130000000,601995,china,financials,capital markets
invitation homes inc,23090000000,invh,united states,real estate,reitresidential
royalty pharma plc,23040000000,rprx,united states,healthcare,biotechnology
olympus corp,23000000000,7733,japan,healthcare,medical instruments & supplies
vf corporation,22960000000,vfc,united states,consumer discretionary,apparel manufacturing
dover corporation,22940000000,dov,united states,industrials,specialty industrial machinery
ppl corporation,22870000000,ppl,united states,utilities,utilitiesregulated electric
hengli petrochemical coltd,22860000000,600346,china,consumer discretionary,textile manufacturing
genmab a/s,22830000000,gmab,denmark,healthcare,biotechnology
sabic agri-nutrients company,22780000000,2020,saudi arabia,basic materials,agricultural inputs
heineken holding nv,22780000000,heio,netherlands,consumer staples,beveragesbrewers
east japan railway company,22780000000,9020,japan,industrials,railroads
sociedad quimica y minera de chile sa,22770000000,sqm,chile,basic materials,chemicals
eurofins scientific se,22750000000,erf,luxembourg,healthcare,diagnostics & research
panasonic corp,22730000000,6752,japan,technology,consumer electronics
ucb sa,22710000000,ucb,belgium,healthcare,biotechnology
shanghai international port,22650000000,600018,china,industrials,marine shipping
hewlett packard enterprise company,22650000000,hpe,united states,technology,communication equipment
kellogg company,22630000000,k,united states,consumer staples,packaged foods
picc property and casualty company ltd,22620000000,2328,china,financials,insuranceproperty & casualty
grupo financiero banorte sab de cv,22600000000,gfnorteo,mexico,financials,banks
komatsu ltd,22560000000,6301,japan,industrials,farm & heavy construction machinery
the hong kong and china gas company ltd,22540000000,0003,hong kong,utilities,utilitiesregulated gas
coca-cola europacific partners plc,22530000000,ccep,united kingdom,consumer staples,beveragesnon-alcoholic
essex property trust inc,22510000000,ess,united states,real estate,reitresidential
ems-chemie holding ag,22480000000,emsn,switzerland,basic materials,specialty chemicals
okta inc,22450000000,okta,united states,technology,softwareinfrastructure
china national nuclear power co ltd,22420000000,601985,china,utilities,utilitiesindependent power producers
sumitomo corp,22420000000,8053,japan,industrials,conglomerates
tata motors limited,22380000000,ttm,india,consumer discretionary,auto manufacturers
banco do brasil sa,22360000000,bbas3,brazil,financials,banks
hennes & mauritz ab,22330000000,hm.b,sweden,consumer discretionary,apparel manufacturing
bio-rad laboratories inc,22320000000,bio,united states,healthcare,medical devices
teleperformance se,22300000000,tep,france,industrials,consulting services
fomento economico mexicano sab de cv,22280000000,femsaub,mexico,consumer staples,beveragesbrewers
huntington bancshares inc,22260000000,hu3,united states,financials,banks
continental resources inc,22250000000,clr,united states,energy,oil & gas e&p
crrc corp ltd,22210000000,601766,china,industrials,railroads
skyworks solutions inc,22170000000,swks,united states,technology,semiconductors
xp inc,22160000000,xpbr31,brazil,financials,capital markets
unicharm corp,22080000000,8113,japan,consumer staples,household & personal products
zto express cayman inc,22050000000,zto,china,industrials,integrated freight & logistics
geberit ag,22030000000,gebn,switzerland,industrials,building products & equipment
toyota industries corp,21990000000,6201,japan,consumer discretionary,auto manufacturers
cincinnati financial corporation,21990000000,cinf,united states,financials,insuranceproperty & casualty
cf industries holdings inc,21950000000,cf,united states,basic materials,agricultural inputs
nibe industrier ab,21930000000,njb,sweden,industrials,building products & equipment
cnh industrial nv,21930000000,cnhi,united kingdom,industrials,farm & heavy construction machinery
huntington bancshares incorporated,21930000000,hban,united states,financials,banks
duke realty corporation,21930000000,dre,united states,real estate,reitindustrial
restaurant brands international limited partnership,21890000000,qsp.un,canada,consumer discretionary,restaurants
monolithic power systeinc,21870000000,mpwr,united states,technology,semiconductors
zebra technologies corporation,21870000000,zbra,united states,technology,communication equipment
ulta beauty inc,21820000000,ulta,united states,consumer discretionary,specialty retail
dai-ichi life holdings inc,21760000000,8750,japan,financials,insurancelife
m&t bank corporation,21740000000,mtb,united states,financials,banks
keycorp,21710000000,key,united states,financials,banks
teledyne technologies incorporated,21650000000,tdy,united states,technology,scientific & technical instruments
b3 sa - brasil bolsa balcao,21580000000,b3sa3,brazil,financials,financial data & stock exchanges
contura energy inc,21570000000,ctra,united states,energy,thermal coal
shimano inc,21510000000,7309,japan,consumer discretionary,leisure
power corporation of canada,21480000000,pow,canada,financials,insurancelife
jb hunt transport services inc,21480000000,jbht,united states,industrials,integrated freight & logistics
mitsui fudosan co ltd,21460000000,8801,japan,real estate,real estatediversified
the saudi british bank,21450000000,1060,saudi arabia,financials,banks
sgs sa,21430000000,sgsn,switzerland,industrials,consulting services
teck resources limited,21410000000,teck.b,canada,basic materials,other industrial metals & mining
rede d'or sao luiz sa,21400000000,rdor3,brazil,healthcare,medical care facilities
nexon co ltd,21360000000,3659,japan,communication services,electronic gaming & multimedia
the cooper companies inc,21350000000,coo,united states,healthcare,medical instruments & supplies
legal & general group plc,21340000000,lgen,united kingdom,financials,insurancelife
regions financial corporation,21320000000,rf,united states,financials,banks
wheaton precious metals corp,21260000000,wpm,canada,basic materials,gold
zoominfo technologies inc,21230000000,zi,united states,technology,softwareapplication
viacomcbs inc,21220000000,viaca,united states,communication services,entertainment
china northern rare earth,21210000000,600111,china,basic materials,other industrial metals & mining
seagate technology plc,21210000000,stx,ireland,technology,computer hardware
china mengniu dairy co ltd,21170000000,2319,hong kong,consumer staples,packaged foods
ingersoll rand inc,21130000000,ir,united states,industrials,specialty industrial machinery
segro plc,21080000000,sgro,united kingdom,real estate,reitindustrial
yandex nv,21050000000,yndx,netherlands,communication services,internet content & information
microchip technology incorporated,21030000000,mchp,united states,technology,semiconductors
hubspot inc,20930000000,hubs,united states,technology,softwareapplication
fleetcor technologies inc,20920000000,flt,united states,technology,information technology services
fortive corporation,20880000000,ftv,united states,technology,scientific & technical instruments
applovin corp,20860000000,app,united states,technology,softwareapplication
royal caribbean cruises ltd,20810000000,rcl,united states,consumer discretionary,travel services
