name,headquarters,number_of_employees,address,industry,website,market_cap,telephone,revenue
compass minerals international inc,united states of america,"2,223","suite 100, 9900 w. 109th street, overland park, kansas, 66210",chemicals,www.compassminerals.com,1,1 913 3449200,1
kunming yunnei power co ltd,china,"2,644","kunming economic development zone no. 66, king road, yunnan, 650200",industrial goods and machinery,www.yunneidongli.com,768,86 871 65625802,1
nhpc ltd,india,"5,092","nhpc office complex, sector 33., faridabad, 121003",alternative energy,www.nhpcindia.com,5,91 129 2588500,1
pt wijaya karya persero tbk,indonesia,"5,184","jl. d.i. panjaitan kav. 9-10, jakarta, 13340",construction,www.wika.co.id,390,62 21 80679200,1
tokyo ohka kogyo co ltd,japan,"1,816","150, nakamaruko, nakahara-ku, kawasaki-shi, kanagawa, 211-0012",chemicals,www.tok.co.jp,2,81 44 4353000,1
kcb group plc,kenya,"8,538","kencom house, moi avenue, p.o. box 48400, nairobi, 00100",financial services,ke.kcbgroup.com,992,,1
mueller water products inc,united states of america,"3,400","110 corporate drive, suite 10, p.o. box 3180, portsmouth, new hampshire, 03802-3180",industrial goods and machinery,www.muellerwaterproducts.com,1,1 603 4228090,1
tsi holdings co ltd,japan,"4,521","sumitomo fudosan aoyama bldg., 8-5-27, akasaka, minato-ku, tokyo, 107-0052",retailing,www.tsi-holdings.com,347,81 3 67480001,1
dolby laboratories inc,united states of america,"2,368","1275 market street, san francisco, california, 94103",technology and communications,www.dolby.com,7,1 415 5580200,1
pakistan petroleum ltd,pakistan,"2,644","p.i.d.c. house, dr ziauddin ahmed road,  3942, p. o box no., karachi, 75530",energy and utilities,www.ppl.com.pk,830,92 21 35681391,1
takeuchi mfg co ltd,japan,917,"205, uwadaira, sakaki-machi, hanishina-gun, nagano, 389-0605",construction,www.takeuchi-mfg.co.jp,1,81 26 8811100,1
blue sail medical co ltd,china,"8,480","no. 21, qingtian road, qilu chemical industl prk, zibo, shandong , 255400",medical equipment,www.bluesail.cn,1,86 533 7871008,1
gatx corp,united states of america,"1,863","233 s wacker drive, chicago, illinois, 60606-7147",transport and logistics,www.gatx.com,3,1 312 6216200,1
denbury inc,united states of america,756,"5851 legacy circle, suite 1200, plano, texas, 75024",energy and utilities,www.denbury.com/home/default.aspx,4,1 972 6732000,1
virbac group,france,"5,100","13eme rue lid, bp 27, carros cedex, 06510",pharmaceuticals and healthcare,corporate.virbac.com,2,33 4 92087100,1
barnes group inc,united states of america,"5,100","123 main st, bristol, connecticut, 06010",aerospace and defense,www.barnesgroupinc.com,2,1 860 5837070,1
walker & dunlop inc,united states of america,"1,305","suite 1200e, 7501 wisconsin avenue, bethesda, maryland, 20814",financial services,www.walkerdunlop.com,3,1 301 2155500,1
cadence bank,united states of america,"4,596","one mississippi plaza, 201 south spring street, tupelo, 38804",financial services,www.bancorpsouth.com,4,1 662 6802000,1
kemet corp,united states of america,"12,800","kemet tower, one east broward blvd., 2nd floor, fort lauderdale, florida, 33301",technology and communications,www.kemet.com/,,1 954 7662800,1
sports toto bhd,malaysia,"1,367","lot 13-01, level 13  east wing , berjaya times square, no. 1 jalan imbi, kuala lumpur, 55100",leisure and arts,www.berjaya.com/berjaya-sports-toto,502,60 3 21491999,1
element fleet management corp,canada,"2,500","161 bay street, suite 3600, toronto, ontario, m5j2s1",transport and logistics,www.elementfleet.com,5,1 416 3861067,1
northeast pharmaceutical group co ltd,china,"7,102","no. 8, kunminghu street, shenyang, liaoning , 110027",pharmaceuticals and healthcare,www.nepharm.com.cn,1,86 24 25806963,1
evolution ab,sweden,"11,207","vasagatan 16, stockholm, 11120",leisure and arts,www.evolution.com,23,,1
ql resources berhad,malaysia,"7,530","bukit jelutong, no. 16a jalan astaka u8/83, shah alam, 40150",agriculture and forestry,ql.com.my,3,60 3 78012288,1
far eastern department stores ltd,taiwan,"10,183","18f, no.16, xinzhan road, banqiao district, new taipei, 220",retailing,www.feds.com.tw,1,886 2 77278168,1
brc asia ltd,singapore,202,"7 tuas avenue 16, singapore, 638934",construction,www.brc.com.sg,390,65 6 2652333,1
ckd corp,japan,"4,660","2-250, oji, komaki-shi, aichi, 485-8551",industrial goods and machinery,www.ckd.co.jp,1,81 568 771111,1
corbion nv,netherlands,"2,517","piet heinkade 127, amsterdam, 1019gm",chemicals,www.corbion.com,2,31 20 5906911,1
webster financial corp,united states of america,"3,245","200 elm street, stamford, connecticut, 06902",financial services,public.websteronline.com,7,1 203 5782202,1
equity lifestyle properties inc,united states of america,"4,100","ste 800, two n riverside plz, chicago, illinois, 60606",construction,www.equitylifestyleproperties.com,12,1 312 2791400,1
titan wind energy suzhou co ltd,china,"1,671","no. 28 yangjiang road, economic development zone, shanghai, 200051",alternative energy,www.titanwind.com.cn,4,86 21 52310063,1
drilling company of 1972 a/s,denmark,"2,515","lyngby hovedgade 85, kongens lyngby, 2800",energy and utilities,www.maerskdrilling.com,,,1
ceat ltd,india,"7,622","463,dr. annie besant road, worli, mumbai, 400030",automotive,www.ceat.com,800,91 22 24930621,1
tosysteasa,norway,"4,600","drengsrudhagen 2, asker, 1385",industrial goods and machinery,www.tomra.com,5,47 66 799100,1
lenenergo,russia,"8,490","ul gakkelevskaya, d. 21, litera a, saint petersburg, 197227",power,rosseti-lenenergo.ru,1,7 812 4318795,1
wixcom ltd,israel,"4,789","40 namal, tel aviv-yafo, 6701101",technology and communications,www.wix.com,4,972 3 5454900,1
his co ltd,japan,"10,618","5f, kamiyacho trust tower, 4-1-1, toranomon, minato-ku, tokyo, 105-6905",leisure and arts,www.his.co.jp,1,81 3 63880707,1
just eat limited,united kingdom,"3,500","fleet place house, 2 fleet place, london, england, ec4m7rf",leisure and arts,www.just-eat.com,,,1
plenus co ltd,japan,"1,640","1-19-21, kamimuta, hakata-ku, fukuoka-shi, 812-8580",leisure and arts,www.plenus.co.jp,912,81 92 4523600,1
tullow oil plc,united kingdom,378,"9 chiswick park, 566 chiswick high road, london, w45xt",energy and utilities,www.tullowoil.com,693,44 20 32499000,1
flexium interconnect inc,taiwan,"6,405","23, chukwang 1 street, tafa industrial park, daliao district, kaohsiung, 831",technology and communications,www.flexium.com.tw,1,886 7 7871008,1
macmahon holdings ltd,australia,"7,848","15 hudswell rd, perth, 6105",metals and mining,www.macmahon.com.au,210,61 8 92321000,1
corus entertainment inc,canada,"3,336","25 dockside drive, toronto, ontario, m5a0b5",media,www.corusent.com,303,1 416 4797000,1
shenzhen comix group co ltd,china,"2,748","office building, qxn tchnlgy prk, no.18,jinxiu middle rd, pingshan new district, shenzhen, guangdong, 518118",consumer packaged goods,www.qx.com,753,86 755 83002400,1
filinvest development corp,philippines,"10,556","fdc bldg, 173 p. gomez st, metro manila, taguig, 1634",construction,www.filinvestgroup.com,1,63 2 7983977,1
kinsus interconnect technology corp,taiwan,"7,207","no.1245, junghua road, shihlei village, taoyuan, 327",technology and communications,www.kinsus.com.tw,1,886 3 4871919,1
verso corp,united states of america,"1,600","8540 gander creek dr, miamisburg, ohio, 45342-5439",paper and packaging,www.versoco.com,786,1 877 8557243,1
miura co ltd,japan,"6,070","7, horie-cho, matsuyama-shi, ehima, 799-2696",industrial goods and machinery,www.miuraz.co.jp,3,81 89 9797019,1
kpc pharmaceuticals inc,china,"5,719","no.166 keyi road, state new and high-tech development zone, kunming, yunnan, 650106",pharmaceuticals and healthcare,www.kpc.com.cn,1,86 871 68319868,1
udg healthcare plc,ireland,"9,000","river walk 20, citywest business campus, citywest, dublin, d24nr23",business and consumer services,www.udghealthcare.com,,353 1 4689000,1
beijing easpring material technology co ltd,china,"1,315","no. 21 building, zone 18, headquarter base, beijing, 100160",chemicals,www.easpring.com.cn,4,86 10 52269718,1
finisar corp,united states of america,"13,000","1389 moffett park drive, sunnyvale, california, 94089",technology and communications,www.finisar.com,,1 408 5481000,1
consolidated communications holdings inc,united states of america,"3,200","121 s 17th st, mattoon, illinois, 61938",technology and communications,www.consolidated.com,485,1 217 2353311,1
tongda group holdings limited,hong kong,"20,000","room 1201-03, 12th floor, shui on centre, 6-8 harbour road wanchai, hong kong",industrial goods and machinery,www.tongda.com,150,852  28722628,1
moneygram international inc,united states of america,"3,072","2828 n. harwood street, 15th floor, dallas, texas, 75201",financial services,corporate.moneygram.com,1,1 214 9997640,1
vidrala sa,spain,"3,520","barrio munegazo, 22, llodio, alava, 01400",paper and packaging,www.vidrala.com,2,34 946 719700,1
saizeriya co ltd,japan,"4,134","2-5, asahi, yoshikawa-shi, saitama, 342-0008",leisure and arts,www.saizeriya.co.jp,1,81 48 9919611,1
nuance communications inc,united states of america,"6,900","1 wayside rd, burlington, massachusetts, 01803-4609",technology and communications,www.nuance.com,,1 781 5655000,1
enaex sa,chile,"3,524","calle el trobador 4253 piso 5, las condes",chemicals,www.enaex.com,1,56 2 28377600,1
eclat textile co ltd,taiwan,"8,934","no. 28, wu chuan road, wugu district, new taipei, 248",textiles,www.eclat.com.tw,4,886 2 22996000,1
clearway energy inc,united states of america,304,"300 carnegie ctr ste 300, princeton, new jersey, 08540-6255",power,investor.clearwayenergy.com,6,1 609 6081525,1
pt mitra adiperkasa tbk,indonesia,"22,279","29th floor, sahid sudirman center, jl. jend. sudirman kav. 86, jakarta, 10220",retailing,www.map.co.id,1,62 21 5745808,1
marico ltd,india,"1,722","7th floor, grande palladium, 175, cst road, kalina, santacruz  east , mumbai, 400098",consumer packaged goods,www.marico.com,8,91 22 66480480,1
gansu shangfeng cement co ltd,china,"2,908","tong ling xian tian men zhen ban qiao cn, na02, hangzhou, zhejiang, 310030",construction,www.sfsn.cn,1,86 571 56030516,1
nan hai corp ltd,hong kong,"15,442","26/f, siu on centre, 188 lockhart road, wanchai, hong kong",technology and communications,www.nanhaicorp.com,306,852  25268802,1
build king holdings ltd,hong kong,"3,340","units 601-605a, 6/f., tower b, manulife financial cntr,223 wai yip str., kwun tong, kowloon, hong kong",construction,www.buildking.hk,149,852  22723680,1
uinc,united states of america,"1,219","suite 200, 1745 shea center drive, highlands ranch, colorado, 80129",construction,www.udr.com,13,1 720 2836120,1
norma group se,germany,"6,199","edisonstr. 4, maintal, 63477",industrial goods and machinery,www.normagroup.com,657,49 6181 6102740,1
viavi solutions inc,united states of america,"3,600","1445 south spectrum blvd., suite 102, chandler, arizona, 85286",technology and communications,www.viavisolutions.com,2,1 408 4043600,1
kumiai chemical industry co ltd,japan,"1,818","kumiai chemical industry bldg., 1-4-26, ikenohata, taito-ku, tokyo, 110-8782",chemicals,www.kumiai-chem.co.jp,876,81 3 38225036,1
china medical system holdings ltd,china,"5,454","suite 3308, two exchange square, central, shenzhen, guangdong, 518057",pharmaceuticals and healthcare,www.cms.net.cn,4,86 755 82416868,1
pt metrodata electronics tbk,indonesia,"3,729","apl tower 37th floor suite 3, jl. letjen s. parman kav. 28, jakarta, 11470",technology and communications,www.metrodata.co.id,433,62 21 29345888,1
hosken consolidated investments ltd,south africa,"3,613","suite 801, 76 regent road, sea point, cape town, 8005",leisure and arts,www.hci.co.za,805,27 21 4817560,1
the buckle inc,united states of america,"2,800","2407 w 24th st, kearney, nebraska, 68845-4915",retailing,www.buckle.com,2,1 308 2368491,1
dilip buildcon ltd,india,"30,737","plot no. 5, inside govind narayan singh, bhopal, 462016",construction,www.dilipbuildcon.com,394,91 755 4029999,1
sjm holdings ltd,hong kong,"19,400","suites 3001-3006, 30th floor, hong kong",leisure and arts,www.sjmholdings.com,4,852  39608000,1
globant sa,luxembourg,"25,900","37a avenue j-f kennedy, luxembourg, 1855",technology and communications,www.globant.com,6,352  4818281,1
staffline group plc,united kingdom,"2,336","ng2 business park, 19 - 20 the triangle, nottingham, ng21ae",business and consumer services,www.staffline.co.uk,71,44 115 9500885,1
first national of nebraska inc,united states of america,"6,209","1620 dodge st, omaha, nebraska, 68102-1593",financial services,www.fnni.com,3,1 402 6023777,1
marcus & millichap inc,united states of america,801,"suite 400, 23975 park sorrento, calabasas, california, 91302",construction,www.marcusmillichap.com,1,1 818 2122250,1
skipton building society,united kingdom,"8,438","skipton bldg society, the bailey, bd231dn",financial services,www.skiptoncharitablefoundation.co.uk,,44 1756 705000,1
standard motor products inc,united states of america,"5,000","37-18 northern blvd., long island city, new york, 11101",automotive,www.smpcorp.com,796,1 718 3920200,1
fox factory holding corp,united states of america,"4,200","2055 sugarloaf circle, suite 300, duluth, georgia, 30097",automotive,investor.ridefox.com,4,1 831 2746500,1
goto group inc,united states of america,"3,500","320 summer street, boston, massachusetts, 02210",technology and communications,www.logmeininc.com,,1 781 6389050,1
franco-nevada corp,canada,35,"199 bay street, suite 2000, commerce court west, toronto, ontario, m5l1g9",metals and mining,www.franco-nevada.com,27,1 416 3066317,1
okta inc,united states of america,"5,776","suite 600, 100 1st street, san francisco, california, 94105",technology and communications,www.okta.com,11,1 888 7227871,1
federated hermes inc,united states of america,"1,968","1001 liberty ave, pittsburgh, pennsylvania, 15222-3779",financial services,www.federatedinvestors.com,3,1 412 2881900,1
hubspot inc,united states of america,"7,045","25 first street, 2nd floor, cambridge, massachusetts, 02141",technology and communications,www.hubspot.com,15,1 888 4827768,1
under armour inc,united states of america,"7,100","3rd floor, 1020 hull street, baltimore, maryland, 21230",consumer packaged goods,www.underarmour.com,5,1 410 4546758,1
eppendorf se,germany,"3,783","barkhausenweg 1, hamburg, 22339",medical equipment,www.eppendorf.com,,49 40 538010,1
construction partners inc,united states of america,"1,035","290 healthwest dr ste 2, dothan, alabama, 36303-2051",construction,www.constructionpartners.net,1,1 334 6739763,1
vardhman textiles ltd,india,"27,599","chandigarh road, ludhiana, 141010",textiles,www.vardhman.com,1,91 161 2228943,1
brady corp,united states of america,"5,700","p.o. box 571, 6555 w good hope road, milwaukee, wisconsin, 53223",technology and communications,www.bradyid.com,2,1 414 3586600,1
bellsystem24 holdings inc,japan,"10,461","6f, kamiyacho trust tower, 4-1-1, toranomon, minato-ku, tokyo, 105-6906",technology and communications,www.bell24hd.co.jp,809,81 3 68430024,1
dave & buster's entertainment inc,united states of america,"13,783","2481 manana dr, dallas, texas, 75220-1203",leisure and arts,www.daveandbusters.com,2,1 214 3579588,1
american homes 4 rent,united states of america,"1,538","280 pilot road, las vegas, nevada, 89119",construction,www.ah4r.com,11,1 805 4135300,1
siam city cement public co ltd,thailand,"4,678","floor 7-12, column tower, 199 ratchadaphisek road, khlongtoei, bangkok, 10110",construction,www.siamcitycement.com,1,66 27 977000,1
morgan advanced materials plc,united kingdom,"7,800","york house, sheet street, windsor, sl41dd",chemicals,www.morganadvancedmaterials.com,1,44 1753 837000,1
mercari inc,japan,"2,209","7f, shin-roppongi bldg., 7-15-7, roppongi, minato-ku, tokyo, 106-6118",technology and communications,about.mercari.com,3,81 3 68046907,1
transat at inc,canada,"1,475","300 leo-pariseau st, montreal, quebec, h2x4c2",transport and logistics,www.transat.com,95,1 514 9871084,1
scandinavian tobacco group a/s,denmark,"10,275","sandtoften 9, gentofte, 2820",consumer packaged goods,www.st-group.com,1,,1
tupy sa,brazil,"6,451","rua albano schmidt, 3.400, boa vista, joinville, 89.227-901",automotive,www.tupy.com.br,745,55 47 40098181,1
apogee enterprises inc,united states of america,"5,500","suite 520, 4400 west 78th street, minneapolis, minnesota, 55435",construction,www.apog.com,1,1 612 8351874,1
radnet inc,united states of america,"6,756","1510 cotner ave, los angeles, california, 90025",medical equipment,www.radnet.com,1,1 310 4787808,1
sol spa,italy,"5,235","via borgazzi, 27, monza, 20900",chemicals,www.sol.it,2,39 039 23961,1
icu medical inc,united states of america,"8,500","951 calle amanecer, san clemente, california, 92673",medical equipment,www.icumed.com,4,1 949 3662183,1
banco internacional del peru saa,peru,"6,234","av. carlos villaran n 140, la victoria",financial services,interbank.pe,3,51 1 2192000,1
e-l financial corp ltd,canada,13,"165 university avenue, 10th floor, toronto, ontario, m5h3b8",financial services,www.e-lfinancial.ca,2,1 416 9472578,1
chang hwa commercial bank ltd,taiwan,"6,372","no.38, section 2, tsu yu road, taichung, 400",financial services,www.bankchb.com/frontend/index.jsp,6,886 2 25362951,1
umpqua holdings corp,united states of america,"4,000","one southwest columbia street, s-1200, portland, oregon, 97204",financial services,www.umpquabank.com,3,1 503 7274100,1
chart industries inc,united states of america,"4,771","2200 airport industrial drive, suite   100, ball ground, georgia, 30107",industrial goods and machinery,www.chartindustries.com,4,1 770 7218800,1
fuji corp,japan,"2,791","19, chausuyama, yama-machi, chiryu-shi, aichi, 472-8686",industrial goods and machinery,www.fuji.co.jp,1,81 566 812111,1
koenig & bauer ag,germany,"5,326","friedrich-koenig-strasse 4, wuerzburg, 97080",industrial goods and machinery,www.koenig-bauer.com,321,49 931 9090,1
engenharia e participacoes sa,brazil,"30,000","621, estoril, belo horizonte, 30.455-610",construction,www.mrv.com.br,666,55 31 36158153,1
perfect world co ltd,china,"6,272","perfect world building, no.86, beiyuan road, chaoyang district, beijing, 100102",technology and communications,www.pwrd.com,4,86 10 57806688,1
f&c investment trust plc,united kingdom,,"exchange house, 12 primrose street, london, ec2a2ny",financial services,www.fandc.com/fund-updates,6,44 20 76288000,1
new fortress energy inc,united states of america,671,"111 w 19th st, new york, 10011-4115",energy and utilities,www.newfortressenergy.com,7,1 516 2687400,1
pt medco energi internasional tbk,indonesia,"3,389","the energy 53rd fl., scbd lot 11a, jl. jend. sudirman, kav. 52-53, jakarta, 12190",energy and utilities,www.medcoenergi.com,2,62 21 29953000,1
sunpower corp,united states of america,"3,660","1414 harbour way south, suite 1901, richmond, california, 94804",alternative energy,us.sunpower.com,3,1 408 2405500,1
global dominion access sa,spain,"10,625","ibanez de bilbao, 28 8 a y b, vizcaya, 48009",technology and communications,www.dominion-global.com,637,34 944 793787,1
ausnet services ltd,australia,"1,500","l 31 2 southbank bvd, victoria, 3006",power,www.ausnetservices.com.au,,61 3 00360795,1
hexcel corp,united states of america,"4,863","281 tresser blvd fl 16, stamford, connecticut, 06901-3238",chemicals,www.hexcel.com,5,1 203 9690666,1
ushio inc,japan,"5,342","20f, asahi seimei otemachi bldg., 2-6-1, ote-machi, chiyoda-ku, tokyo, 100-8150",industrial goods and machinery,www.ushio.co.jp,1,81 3 56571000,1
china south city holdings ltd,hong kong,"2,816","suites 2205-07 sun life tower, the gateway, 15 canton road, tsim sha tsui, kowloon, hong kong",construction,www.chinasouthcity.com,834,852  31883118,1
verisign inc,united states of america,904,"attn: general counsel, 12061 bluemont way, reston, virginia, 20190",technology and communications,www.verisign.com,22,1 703 9483200,1
umb financial corp,united states of america,"3,529","1010 grand ave, kansas city, missouri, 64106",financial services,www.umb.com,4,1 816 8607000,1
hang lung properties ltd,hong kong,"4,104","28th floor, standard chartered bank, 4 des voex road central, hong kong",construction,www.hanglung.com,8,852  28790111,1
radian group inc,united states of america,"1,800","550 east swedesford road, suite 350, wayne, pennsylvania, 19087",financial services,www.radian.com,3,1 215 5646600,1
beach energy ltd,australia,214,"l 8 80 flinders st, adelaide, south australia, 5000",energy and utilities,www.beachenergy.com.au,2,61 8 83382833,1
compagnie d'entreprises cfe sa,belgium,"8,227","avenue herrmann-debroux 42, bruxelles, 1160",construction,www.cfe.be,259,32 2 6611211,1
telecom plus plc,united kingdom,"1,987","network hq, 508 edgware road, the hyde, london, nw95ab",business and consumer services,telecomplus.co.uk,2,44 20 89555505,1
sangetsu corp,japan,"2,453","1-4-1, habashita, nishi-ku, nagoya-shi, aichi, 451-8575",retailing,www.sangetsu.co.jp,999,81 52 5643311,1
kosmos energy ltd,united states of america,229,"8176 park ln ste 500, dallas, texas, 75231-5988",energy and utilities,www.kosmosenergy.com,3,1 214 4459600,1
yamato kogyo co ltd,japan,"1,395","380, kibi, otsu-ku, himeji-shi, hyogo, 671-1192",metals and mining,www.yamatokogyo.co.jp,2,81 79 2731061,1
alamo group inc,united states of america,"4,200","1627 e walnut, seguin, texas, 78155",industrial goods and machinery,www.alamo-group.com,1,1 830 3791480,1
fnb corp,united states of america,"3,886","f.n.b. corporation, one north shore center, 12 federal st., pittsburgh, pennsylvania, 15212",financial services,www.fnb-online.com,4,1 412 9816000,1
w p carey inc,united states of america,183,"one manhattan west, 395 9th avenue, 58th floor, new york, 1001",construction,www.wpcarey.com,17,1 212 4921100,1
potlatchdeltic corp,united states of america,"1,299","601 w 1st ave ste 1600, spokane, washington, 99201-3807",agriculture and forestry,www.potlatchdeltic.com,3,15098351500,1
pt garuda indonesia persero tbk,indonesia,"14,065","jalan kebon sirih no. 46a, jakarta, 10110",transport and logistics,www.garuda-indonesia.com,603,62 21 25601011,1
cedar fair lp,united states of america,"4,000","one cedar point drive, sandusky, ohio, 44870",leisure and arts,www.cedarfair.com,2,1 419 6260830,1
guararapes confeccoes sa,brazil,"30,488","rodovia rn 160, km 03, bloco a, 1 andar, natal, 59.115-900",retailing,www.riachuelo.com.br,490,55 84 32041100,1
zendesk inc,united states of america,"6,540","989 market street, san francisco, california, 94103",technology and communications,www.zendesk.com,,1 415 4187506,1
china cyts tours holding co ltd,china,"6,994","cyts mansion, no. 5, dongzhimen south avenue, dongcheng district, beijing, 100007",leisure and arts,www.cyts.com,1,86 10 58158717,1
china camc engineering co ltd,china,"4,456","no.3 danleng street, haidian district, beijing, 100080",construction,www.camce.com.cn,1,86 10 82688606,1
gibraltar industries inc,united states of america,"2,011","3556 lake shore rd, po box 2028, buffalo, new york, 14219-0228",construction,www.gibraltar1.com,1,1 716 8266500,1
horace mann educators corp,united states of america,"1,450","1 horace mann plz, springfield, illinois, 62715-0001",financial services,www.horacemann.com,1,1 217 7892500,1
il&fs transportation networks ltd,india,302,"the il&fs financial centre, plot c22, g block, bandra kurla complex, bandra e , mumbai, 400051",construction,www.itnlindia.com,17,91 22 26533333,1
pt indomobil sukses internasional tbk,indonesia,"7,080","wisma indomobil 1 lt. 9, jl. mt haryono kav. 8, jakarta, 13330",automotive,www.indomobil.com,221,62 21 8564850,1
grupo lamosa sab de cv,mexico,"11,347","col. del valle oriente, san pedro garza garcia, 66260",construction,www.lamosa.com,2,52 81 80474200,1
schweiter technologies ag,switzerland,"4,511","hinterbergstrasse 20, steinhausen, 6312",industrial goods and machinery,www.schweiter.ch,1,41 41 7577700,1
dorman products inc,united states of america,"3,360","3400 e walnut st, colmar, pennsylvania, 18915",automotive,www.dormanproducts.com,2,1 215 9971800,1
gc biopharma corp,south korea,"1,766","107, ihyeon-ro 30beon-gil, giheung-gu, yongin, 16924",pharmaceuticals and healthcare,www.greencross.com,1,82 31 2609300,1
salvatore ferragamo spa,italy,"3,777","via tornabuoni, 2, firenze, 50123",retailing,www.ferragamo.com,3,39 055 3360780,1
top glove corp bhd,malaysia,"22,000","lot 4969, jln teratai, 6th miles, off jln meru, shah alam, 40170",consumer packaged goods,www.topglove.com,1,60 3 33623098,1
graftech international ltd,united states of america,"1,353","982 keynote circle, brooklyn heights, ohio, 44131",metals and mining,www.graftech.com,1,1 216 6762000,1
hancock whitney corp,united states of america,"3,486","hancock whitney plaza, gulfport, mississippi, 39501",financial services,investors.hancockwhitney.com,4,1 504 2995208,1
corporacion aceros arequipa sa,peru,"1,279","carretera panamericana sur km. 241, pisco",metals and mining,www.acerosarequipa.com,522,51 51 71818,1
adevinta asa,norway,"5,383","grensen 5, oslo, 0159",technology and communications,www.adevinta.com,9,47 2 2864410,1
genmab as,denmark,"1,445","kalvebod brygge 43, koebenhavn v, 1560",pharmaceuticals and healthcare,www.genmab.com,26,45  70202728,1
quilter plc,united kingdom,"3,155","senator house, , 85 queen victoria street, london, ec4v4ab",financial services,www.quilter.com,1,44 20 70027051,1
kimball electronics inc,united states of america,"7,200","1205 kimball blvd., jasper, indiana, 47546",technology and communications,www.kimballelectronics.com,600,1 812 6344000,1
tokmanni group oyj,finland,"4,147","isolammintie 1, mantsala, 04600",retailing,www.tokmanni.fi,791,358 3 00472220,1
ruag international holding ag,switzerland,"6,145","stauffacherstrasse 65, bern, 3000",aerospace and defense,www.ruag.com,,41 31 3766450,1
matrix it ltd,israel,"10,820","3 abba eben blvd., herzliya, tel aviv, 46120",technology and communications,www.matrix-globalservices.com,1,972 9 9598840,1
flat glass group co ltd,china,"5,679","no.1999, yunhe road, xiuzhou district, jiaxing, zhejiang, 314001",industrial goods and machinery,www.flatgroup.com.cn,10,86 573 82793013,1
inmarsat group holdings ltd,united kingdom,"1,912","99 city road, london, greater london, ec1y1ax",technology and communications,www.inmarsat.com,,44 20 77281000,1
gek terna group of companies,greece,"4,024","85, mesogeion ave., athina, 11526",construction,www.gekterna.com,1,30 21 06968000,1
bio pappel sab de cv,mexico,"12,128","1130 national army, colonia los morales polanco, miguel hidalgo, mexico city, 11510",paper and packaging,www.biopappel.com,,52 55 91266000,1
pacwest bancorp,united states of america,"2,200","9701 wilshire boulevard, suite 700, beverly hills, california, 90212",financial services,www.pacwestbancorp.com,2,1 310 8878500,1
nolato ab,sweden,"8,669","nolatovagen 32, torekov, 26978",industrial goods and machinery,www.nolato.com,1,46 431 442290,1
the hachijuni bank ltd,japan,"3,569","178-8, okada, nagano-shi, 380-8682",financial services,www.82bank.co.jp,2,81 26 2271182,1
neusoft corp,china,"17,919","neusoft park, no.2 xinxiu street, hunnan new district, shenyang, liaoning , 110179",technology and communications,www.neusoft.com,1,86 24 83662115,1
mostotrest,russia,"11,190","ul. barklaya, d.6, str.5, moscow, 121087",construction,mostotrest.ru,411,7 495 6697999,1
canadian western bank group,canada,"2,712","3000, 10303 jasper ave, edmonton, alberta, t5j3x6",financial services,www.cwbank.com,1,1 780 4238888,1
cosco shipping specialized carriers co ltd,china,"2,138","f15-26f, guangzhou cosco building, no.20, huacheng avenue, zhujiang new city, tianhe district, guangdong, 510623",transport and logistics,spe.coscoshipping.com,2,86 20 38161888,1
ig group holdings plc,united kingdom,"2,393","cannon bridge house, 25 dowgate hill, london, ec4r2ya",financial services,www.iggroup.com,4,44 20 78960011,1
challenger ltd,australia,770,"l 2 5 martin place, sydney, new south wales, 2000",financial services,www.challenger.com.au,3,61 2 99947000,1
monadelphous group ltd,australia,"7,541","59 albany hwy, victoria park, perth, western australia, 6100",construction,www.monadelphous.com.au,871,61 8 93161255,1
the gunma bank ltd,japan,"3,153","194, motosoja-machi, maebashi-shi, 371-8611",financial services,www.gunmabank.co.jp,1,81 27 2521111,1
yantai jereh oilfield services group co ltd,china,"5,389","no. 5 jereh road, laishan district, yantai, shandong , 264003",energy and utilities,en.jereh.com,5,86 535 6723532,1
monro inc,united states of america,"8,750","200 holleder pkwy, rochester, new york, 14615-3808",automotive,www.monro.com,1,1 585 6476400,1
intermediate capital group plc,united kingdom,525,"procession house, 55 ludgate hill, london, ec4m7jw",financial services,www.icgam.com,4,44 20 35452000,1
park hotels & resorts inc,united states of america,80,"1775 tysons blvd fl 7, tysons corner, virginia, 22102-4285",construction,www.pkhotelsandresorts.com,2,1 571 3025757,1
eutelsat communications sa,france,"1,093","32, boulevard gallieni, moulineaux, 92130",technology and communications,www.eutelsat.com,1,33 1 53984747,1
petronas gas bhd,malaysia,"1,671","level 49-50, tower 1, petronas twin towers, kuala lumpur city centre, 50088",energy and utilities,www.petronasgas.com,7,60 3 23315000,1
kimco realty corp,united states of america,606,"500 north broadway, suite 201, jericho, new york, 11753",construction,www.kimcorealty.com,13,1 516 8699000,1
toridoll holdings corp,japan,"4,928","19f, shibuya solasta, 1-21-1, dogenzaka, shibuya-ku, tokyo, 150-0043",leisure and arts,www.toridoll.com,1,81 3 42218900,1
guangdong kinlong hardware products co ltd,china,"15,226","no.3 jianlang road, daping, tangsha town, dongguan, guangdong, 523722",construction,www.kinlong.com,5,86 769 82955232,1
terveystalo oyj,finland,"11,027","jaakonkatu 3 b, 3.krs, helsinki, 00100",pharmaceuticals and healthcare,www.terveystalo.com,925,358 3 063311,1
