name,rank,marketcap,country,share_price,change1d,change1y,categories
hashicorp,2234,5670000000.0,usa,30.0,2.51%,-54.73%,software tech 
trex,2232,5680000000.0,usa,51.0,1.93%,-51.60%,
mitsubishi motors,2229,5690000000.0,japan,3.0,4.22%,29.49%,automakers manufacturing 
ionis pharmaceuticals,2231,5680000000.0,usa,40.0,0.57%,20.99%,pharmaceuticals biotech 
saic,2228,5690000000.0,usa,104.0,-1.04%,17.00%,engineering it-services professional-services 
nomura real estate master fund,2230,5680000000.0,japan,1.0,1.83%,-12.19%,real-estate investment reit 
r1 rcm,2227,5690000000.0,usa,13.0,4.03%,-32.06%,professional-services 
yancoal,2226,5690000000.0,australia,4.0,1.98%,99.54%,mining coal-mining energy 
exl service,2223,5700000000.0,usa,172.0,0.13%,33.05%,professional-services 
pegatron,2225,5690000000.0,taiwan,2.0,0.31%,-14.74%,electronics manufacturing 
lumen,2220,5710000000.0,usa,5.0,-1.25%,-55.27%,tech telecommunication 
pbf energy,2222,5700000000.0,usa,40.0,1.89%,125.56%,oil-gas energy 
smartsheet,2224,5700000000.0,usa,43.0,0.25%,-30.72%,software tech 
wartsila,2214,5710000000.0,finland,9.0,0.95%,-32.94%,machinery-manufacturing manufacturing 
chart industries,2218,5710000000.0,usa,134.0,2.98%,0.54%,
quidelortho,2219,5710000000.0,usa,86.0,2.91%,-24.70%,healthcare diagnostics manufacturing 
far eastern new century,2215,5710000000.0,taiwan,1.0,-0.31%,0.94%,manufacturing 
tmx group,2212,5740000000.0,canada,103.0,0.66%,1.42%,stock-exchanges financial-services exchanges 
columbia sportswear,2213,5720000000.0,usa,92.0,0.83%,1.02%,sports clothing 
voestalpine,2216,5710000000.0,,31.0,-0.14%,-18.81%,steel-industry 
investec,2221,5710000000.0,united-kingdom,6.0,-0.93%,-9.24%,financial-services 
psp swiss property,2217,5710000000.0,switzerland,124.0,0.17%,1.99%,real-estate 
silgan holdings,2211,5740000000.0,usa,52.0,-0.38%,21.41%,
abbott india,2210,5740000000.0,india,270.0,1.30%,14.78%,pharmaceuticals biotech 
yageo,2209,5740000000.0,taiwan,17.0,1.17%,-5.77%,electronics manufacturing 
silergy,2000,6610000000.0,china,17.0,1.35%,-87.59%,semiconductors tech tech-hardware 
vertiv holdings,2207,5750000000.0,usa,15.0,1.94%,-34.52%,
square enix,2205,5750000000.0,japan,48.0,2.30%,0.44%,video-games entertainment 
holmen,1999,6610000000.0,sweden,41.0,0.99%,-14.65%,pulp-and-paper 
rightmove,2208,5740000000.0,united-kingdom,6.0,2.44%,-24.59%,internet 
koei tecmo,2204,5750000000.0,japan,18.0,1.94%,-50.29%,video-games entertainment 
grupo simec,2206,5750000000.0,mexico,32.0,0.00%,23.27%,
world wrestling entertainment,1995,6640000000.0,usa,89.0,-0.33%,68.07%,entertainment media-press 
southwestern energy,1998,6610000000.0,usa,6.0,-0.20%,21.67%,
brunswick corporation,2202,5760000000.0,usa,79.0,0.15%,-19.82%,
charoen pokphand indonesia,1997,6630000000.0,indonesia,0.0,0.00%,-6.98%,food 
pldt,2203,5760000000.0,,26.0,1.82%,-29.76%,telecommunication 
agree realty,1996,6630000000.0,usa,74.0,-0.28%,9.52%,real-estate investment reit 
nvent electric,1992,6660000000.0,united-kingdom,39.0,0.33%,8.11%,electricity energy 
hunter douglas,1994,6650000000.0,netherlands,191.0,0.00%,-2.45%,manufacturing furniture 
murphy oil,1988,6680000000.0,usa,42.0,2.09%,34.86%,
houlihan lokey,1989,6670000000.0,usa,97.0,0.71%,-15.38%,
clean harbors,1987,6680000000.0,usa,123.0,0.87%,28.01%,waste-recycling 
nemetschek,1991,6670000000.0,germany,57.0,0.30%,-40.44%,software tech 
gamestop,1993,6650000000.0,usa,21.0,0.23%,-19.76%,video-games retail 
tempur sealy,1990,6670000000.0,usa,39.0,0.72%,-7.25%,
daifuku,1986,6680000000.0,japan,53.0,2.54%,-27.66%,
tis,1982,6700000000.0,japan,27.0,2.43%,0.40%,professional-services 
japan post insurance,1974,6740000000.0,japan,17.0,-0.04%,-4.18%,insurance 
pgnig,1973,6740000000.0,poland,1.0,0.00%,-24.16%,oil-gas energy 
swedish orphan biovitrum,1981,6710000000.0,sweden,22.0,1.20%,12.12%,pharmaceuticals biotech 
voya financial,1976,6730000000.0,usa,69.0,0.68%,-6.97%,financial-services 
mks instruments,1970,6750000000.0,usa,101.0,1.74%,-43.78%,
national marine dredging,1980,6710000000.0,united-arab-emirates,8.0,-0.20%,131.91%,
nippon sanso,1978,6720000000.0,japan,15.0,2.87%,-28.23%,chemicals 
on holding,1971,6750000000.0,switzerland,21.0,0.05%,-23.76%,sports footwear 
torrent pharmaceuticals,1975,6730000000.0,india,19.0,2.02%,-53.59%,pharmaceuticals 
bok financial,1985,6680000000.0,usa,99.0,-1.32%,-14.53%,banks financial-services 
trend micro,1977,6720000000.0,japan,47.0,2.83%,-5.85%,software it-security tech 
stifel,1983,6700000000.0,usa,63.0,0.00%,-14.42%,
samsara,1984,6690000000.0,usa,12.0,2.38%,-43.69%,iot tech tech-hardware software 
us steel,1979,6720000000.0,usa,28.0,2.05%,12.98%,steel-producers steel-industry 
upl,1967,6760000000.0,india,9.0,1.83%,-18.76%,chemicals 
amplifon,1969,6750000000.0,italy,29.0,-1.27%,-36.77%,medical-devices 
assurant,1972,6750000000.0,usa,127.0,-0.17%,-17.50%,insurance 
minebeamitsumi,1966,6760000000.0,japan,16.0,3.26%,-37.46%,
dxc technology,1968,6760000000.0,usa,29.0,1.01%,-13.52%,it-services professional-services 
texas roadhouse,1963,6770000000.0,usa,101.0,0.88%,15.96%,restaurant-chains food 
industrial bank of korea ibk,1964,6760000000.0,south-korea,8.0,0.48%,-5.25%,banks financial-services 
gentex,1965,6760000000.0,usa,28.0,1.53%,-19.04%,
prosperity bancshares,1962,6780000000.0,usa,74.0,-0.19%,-6.57%,
hero motocorp,1960,6810000000.0,india,34.0,0.11%,-6.14%,motorcycle-manufacturers manufacturing 
rbc bearings,1961,6780000000.0,usa,233.0,0.97%,16.54%,
caci,1959,6810000000.0,usa,288.0,-1.05%,3.62%,
swiss prime site,1947,6840000000.0,switzerland,89.0,-1.90%,-8.09%,real-estate 
capcom,1951,6830000000.0,japan,32.0,1.72%,48.15%,video-games 
ingredion,1956,6830000000.0,usa,104.0,-0.23%,3.16%,food 
atlas arteria,1950,6840000000.0,australia,4.0,-2.03%,-3.08%,infrastructure toll-road-operators 
wan hai lines,1958,6820000000.0,taiwan,2.0,-0.14%,-59.70%,transportation maritime-transportation container-shipping 
bachem,1955,6830000000.0,switzerland,92.0,0.47%,-24.08%,chemicals pharmaceuticals biotech 
union bank of india,1953,6830000000.0,india,1.0,-0.25%,63.93%,banks financial-services 
omega healthcare,1948,6840000000.0,usa,28.0,0.28%,-10.15%,
norwegian cruise line,1946,6850000000.0,usa,16.0,1.69%,-29.14%,cruise-lines travel 
daiwa securities group,1952,6830000000.0,japan,4.0,0.16%,-23.79%,investment banks financial-services 
asr nederland,1954,6830000000.0,netherlands,45.0,0.41%,-6.79%,
rexel,1949,6840000000.0,france,22.0,0.34%,-6.87%,
37 interactive entertainment,1957,6820000000.0,china,3.0,4.73%,-30.00%,video-games entertainment 
brixmor property group,1943,6870000000.0,usa,22.0,0.39%,-13.61%,
canadian tire,1944,6860000000.0,canada,209.0,-3.07%,-18.74%,retail 
graphic packaging,1945,6850000000.0,usa,22.0,0.43%,14.55%,
clearway energy,1939,6870000000.0,usa,34.0,1.09%,5.57%,
karuna therapeutics,1941,6870000000.0,usa,200.0,0.39%,60.72%,pharmaceuticals 
berger paints,1942,6870000000.0,india,7.0,1.25%,-32.21%,paint-and-coating 
national instruments,1940,6870000000.0,usa,52.0,1.17%,26.20%,
new oriental,1938,6880000000.0,china,40.0,7.91%,"2,137.57%",education 
oak street health,1937,6880000000.0,usa,28.0,2.60%,28.91%,healthcare 
cae,1932,6910000000.0,canada,21.0,1.40%,-17.58%,
centrica,1923,6980000000.0,united-kingdom,1.0,0.72%,18.81%,energy oil-gas utility-companies 
ascendis pharma,1928,6930000000.0,denmark,121.0,1.65%,-1.08%,pharmaceuticals 
nexstar media group,1930,6920000000.0,usa,183.0,0.11%,8.02%,
roivant sciences,1935,6900000000.0,united-kingdom,9.0,1.28%,37.18%,biotech pharmaceuticals 
halozyme therapeutics,1927,6950000000.0,usa,51.0,0.85%,44.70%,pharmaceuticals biotech 
sensata technologies,1925,6970000000.0,usa,45.0,1.74%,-28.20%,
rumo,1934,6900000000.0,brazil,3.0,2.32%,26.44%,railways 
frontier communications,1926,6970000000.0,usa,28.0,-0.04%,-5.73%,telecommunication 
kghm polska miedz,1929,6920000000.0,poland,34.0,0.00%,-10.27%,mining 
ote group,1936,6900000000.0,,15.0,0.35%,-18.22%,telecommunication 
mindtree,1924,6980000000.0,india,42.0,0.26%,-30.15%,professional-services 
banca mediolanum,1931,6910000000.0,italy,9.0,0.51%,-9.47%,banks financial-services 
kbr,1933,6910000000.0,usa,50.0,-0.45%,5.29%,engineering 
gmo payment gateway,1922,6990000000.0,japan,92.0,4.29%,-2.05%,financial-services 
novatek microelectronics,1921,6990000000.0,taiwan,11.0,0.87%,-36.83%,semiconductors tech tech-hardware 
first industrial realty trust,1919,6990000000.0,usa,51.0,0.90%,-17.11%,
sisecam,1912,7030000000.0,turkey,2.0,-1.42%,107.21%,
copenhagen airport,1909,7050000000.0,denmark,881.0,0.74%,-10.34%,airports infrastructure 
wesco international,1913,7030000000.0,usa,138.0,1.47%,3.03%,
bid corp,1910,7050000000.0,south-africa,21.0,1.79%,9.95%,food 
eastgroup properties,1917,6990000000.0,usa,160.0,0.87%,-22.59%,
demant,1915,7000000000.0,denmark,29.0,-0.26%,-37.67%,medical-devices 
cholamandalam investment and finance,1916,7000000000.0,india,8.0,1.57%,5.45%,investment financial-services 
kakao pay,1918,6990000000.0,south-korea,52.0,-1.96%,-55.15%,financial-services tech internet 
cathay pacific,1914,7000000000.0,hong-kong,1.0,0.95%,32.93%,airlines travel transportation 
klepierre,1920,6990000000.0,france,24.0,0.94%,-3.96%,real-estate 
sainsbury's,1911,7040000000.0,united-kingdom,2.0,-0.43%,-25.75%,retail supermarkets 
futu holdings,1908,7070000000.0,hong-kong,50.0,-0.40%,10.67%,financial-services tech 
mattel,1906,7070000000.0,usa,19.0,0.38%,-10.64%,
reece group,1905,7080000000.0,australia,10.0,-0.63%,-36.87%,retail home-and-kitchen-appliances 
northland power,1907,7070000000.0,canada,28.0,-0.41%,1.62%,energy renewable-energy electricity 
globalwafers,1903,7080000000.0,taiwan,16.0,-0.10%,-46.69%,semiconductors tech tech-hardware 
korean air lines,1904,7080000000.0,south-korea,25.0,-0.96%,-17.13%,airlines travel transportation 
canara bank,1902,7080000000.0,india,3.0,-0.69%,27.78%,banks financial-services 
cg power and industrial solutions,2195,5790000000.0,india,3.0,0.88%,52.00%,conglomerate manufacturing machinery-manufacturing 
yamana gold,2190,5810000000.0,canada,6.0,1.17%,47.20%,mining gold-mining silver-mining 
guidewire software,2197,5780000000.0,usa,70.0,1.57%,-31.89%,
hertz,2194,5790000000.0,usa,17.0,3.37%,-27.69%,car-rental 
seven group holdings sgh,2193,5790000000.0,australia,15.0,1.73%,5.00%,investment 
valmet,2189,5820000000.0,finland,31.0,1.82%,-18.64%,pulp-and-paper machinery-manufacturing manufacturing 
stantec,2198,5770000000.0,canada,52.0,0.97%,-3.16%,
cemig,2191,5810000000.0,brazil,2.0,1.34%,-3.40%,electricity energy 
apellis pharmaceuticals,2188,5820000000.0,usa,52.0,1.27%,30.50%,
worley,2199,5770000000.0,australia,10.0,1.87%,29.18%,engineering energy 
kose,2192,5790000000.0,japan,101.0,2.58%,6.21%,cosmetics 
be semiconductor,2200,5770000000.0,netherlands,72.0,2.94%,-28.19%,semiconductors tech 
idp education,2196,5790000000.0,australia,20.0,-0.73%,-10.53%,education 
telecom italia,2184,5830000000.0,italy,0.0,-0.31%,-44.00%,
element fleet management,2186,5830000000.0,canada,14.0,2.37%,39.70%,
the weir group,2183,5830000000.0,united-kingdom,22.0,0.16%,-11.50%,engineering 
tecan,2187,5820000000.0,switzerland,444.0,5.31%,-10.37%,
technipfmc,2182,5830000000.0,united-kingdom,13.0,1.16%,85.53%,oil-gas energy 
bank pekao bank polska kasa opieki,2181,5840000000.0,poland,22.0,-1.49%,-33.97%,banks financial-services 
charoen pokphand foods,2185,5830000000.0,thailand,0.0,-0.41%,-7.50%,food 
mol group,2180,5840000000.0,,7.0,-0.37%,-14.39%,oil-gas energy 
envista,2168,5870000000.0,usa,36.0,0.94%,-22.19%,
endeavour mining,2178,5840000000.0,united-kingdom,23.0,0.35%,8.09%,mining gold-mining 
asset world corp,2174,5850000000.0,thailand,0.0,0.84%,28.57%,real-estate 
flowers foods,2172,5860000000.0,usa,27.0,-0.82%,-4.51%,food 
chord energy,2176,5850000000.0,usa,140.0,2.82%,3.83%,oil-gas energy 
banco sabadell,2177,5840000000.0,spain,1.0,-0.67%,33.33%,banks financial-services 
melco resorts & entertainment,2166,5870000000.0,hong-kong,13.0,0.99%,19.01%,gambling hotels entertainment travel 
mapletree logistics trust,2175,5850000000.0,singapore,1.0,0.00%,-6.87%,real-estate investment reit 
equatorial energia,2170,5860000000.0,brazil,5.0,1.34%,32.26%,electricity utility-companies energy 
marriott vacations worldwide,2167,5870000000.0,usa,153.0,0.87%,-9.64%,
tvs motor,2173,5850000000.0,india,12.0,1.56%,39.48%,motorcycle-manufacturers 
indus towers,2169,5870000000.0,india,2.0,0.63%,-40.27%,telecommunication 
boc aviation,2171,5860000000.0,singapore,8.0,-1.35%,0.12%,aircraft-leasing rental-and-leasing-services 
permian resources,2179,5840000000.0,usa,10.0,3.76%,44.55%,oil-gas energy 
tenet healthcare,2165,5880000000.0,usa,54.0,2.62%,-32.82%,
sonoco,2164,5880000000.0,usa,60.0,-0.08%,3.16%,
gpt group,2162,5890000000.0,australia,3.0,-0.23%,-21.03%,real-estate investment reit 
emperador brandy,2163,5890000000.0,,0.0,0.00%,,alcoholic-beverages beverages 
info edge,2151,5960000000.0,india,46.0,0.51%,-39.28%,internet 
hk electric investments,2148,5970000000.0,hong-kong,0.0,0.57%,-31.31%,investment electricity energy 
hybe,2147,5980000000.0,south-korea,144.0,1.13%,-38.56%,entertainment 
embracer group,2153,5950000000.0,sweden,4.0,6.70%,-53.41%,video-games tech entertainment 
dexus,2158,5910000000.0,australia,5.0,-1.38%,-29.76%,real-estate investment reit 
h&r block,2149,5960000000.0,usa,38.0,0.58%,73.67%,
huntsman corporation,2146,5980000000.0,usa,31.0,1.58%,-18.59%,
south state corp,2150,5960000000.0,usa,78.0,-2.08%,-15.43%,banks financial-services 
spirit realty capital,2156,5920000000.0,usa,42.0,-0.03%,-14.46%,
nanya technology,2161,5900000000.0,taiwan,1.0,0.35%,-29.26%,tech tech-hardware semiconductors electronics 
ds smith,2155,5930000000.0,united-kingdom,4.0,-0.20%,-20.52%,packaging 
telus international,2154,5940000000.0,canada,22.0,0.90%,-23.31%,software tech 
seek limited,2157,5920000000.0,australia,16.0,1.01%,-22.59%,staffing-employment professional-services 
m&g plc,2160,5900000000.0,united-kingdom,2.0,-0.39%,-14.04%,investment 
hapvida,2159,5910000000.0,brazil,0.0,2.17%,-56.32%,healthcare 
light & wonder,2152,5950000000.0,usa,63.0,0.95%,4.43%,gambling entertainment 
air canada,2145,5980000000.0,canada,16.0,1.50%,-9.58%,airlines travel transportation 
japan real estate investment,2138,6010000000.0,japan,4.0,2.56%,-22.31%,real-estate investment 
axalta,2134,6040000000.0,usa,27.0,1.48%,-16.28%,paint-and-coating 
kinross gold,2144,5990000000.0,canada,4.0,1.08%,-16.64%,mining 
coupa,2133,6050000000.0,usa,79.0,0.08%,-42.60%,tech software 
bluescope steel,2136,6020000000.0,australia,12.0,0.81%,-14.60%,steel-producers steel-industry 
dun & bradstreet,2143,5990000000.0,usa,13.0,0.95%,-30.20%,financial-services 
raiffeisen bank international,2139,6010000000.0,,18.0,0.48%,-37.16%,banks financial-services 
beijer ref,2142,5990000000.0,sweden,16.0,0.72%,-11.55%,
bausch lomb,2135,6030000000.0,canada,17.0,1.00%,,glasses-and-contact-lenses 
coherent,2131,6050000000.0,usa,43.0,2.71%,-83.19%,semiconductors tech tech-hardware 
axfood,2137,6020000000.0,sweden,26.0,1.67%,-1.21%,retail 
sumitomo chemical,2132,6050000000.0,japan,3.0,0.42%,-28.02%,chemicals 
siteone landscape supply,2130,6050000000.0,usa,134.0,1.66%,-34.37%,
dutch bros,2140,6000000000.0,usa,35.0,0.39%,-20.83%,beverages 
leg immobilien,2141,6000000000.0,germany,81.0,-0.05%,-38.66%,real-estate 
topbuild,2129,6060000000.0,usa,189.0,1.86%,-19.24%,
andritz,2127,6060000000.0,,61.0,0.27%,12.80%,engineering 
ctp nv,2126,6060000000.0,netherlands,13.0,0.80%,-34.95%,real-estate 
otsuka,2128,6060000000.0,japan,31.0,1.47%,-27.34%,it-services professional-services 
valvoline,2118,6090000000.0,usa,34.0,0.81%,-1.60%,chemicals 
pi industries,2124,6060000000.0,india,40.0,-0.59%,6.41%,chemicals 
ashland,2125,6060000000.0,usa,111.0,-0.03%,5.79%,
rockwool,2120,6090000000.0,denmark,281.0,1.09%,-28.52%,
belimo holding,2123,6060000000.0,switzerland,493.0,0.22%,-5.70%,
lufax,2117,6100000000.0,china,2.0,0.42%,-46.47%,software tech financial-services internet 
adecco group,2121,6080000000.0,switzerland,36.0,0.36%,-32.92%,staffing-employment professional-services 
getinge,2119,6090000000.0,sweden,22.0,1.30%,-40.02%,medical-devices medical-equipment 
hulic,2115,6100000000.0,japan,8.0,1.27%,-12.84%,real-estate 
elanco,2113,6110000000.0,usa,12.0,0.47%,-52.31%,pharmaceuticals biotech 
crane co,2114,6100000000.0,usa,108.0,0.37%,1.86%,
landstar system,2116,6100000000.0,usa,169.0,0.94%,1.62%,
murphy usa,2122,6070000000.0,usa,268.0,0.31%,39.74%,
united tractors,2110,6120000000.0,indonesia,1.0,2.78%,0.63%,mining coal-mining energy 
littelfuse,2105,6160000000.0,usa,248.0,1.23%,-17.66%,
kintetsu ghd,2112,6110000000.0,japan,32.0,1.84%,12.44%,railways transportation 
healthsouth,2108,6130000000.0,usa,61.0,0.54%,-6.64%,
chang hwa commercial bank,2106,6150000000.0,taiwan,0.0,0.00%,-9.38%,banks financial-services 
komercni banka,2109,6120000000.0,,31.0,-2.46%,-29.88%,banks financial-services 
just eat takeaway,2102,6160000000.0,netherlands,28.0,9.06%,-47.13%,internet tech food food-delivery 
descartes systems,2107,6150000000.0,canada,72.0,1.67%,3.13%,software tech 
oshkosh corporation,2103,6160000000.0,usa,94.0,0.33%,-24.01%,
first american,2111,6120000000.0,usa,59.0,1.05%,-25.68%,
mapfre,2089,6230000000.0,spain,2.0,0.37%,-5.99%,financial-services insurance 
toho co,2088,6240000000.0,japan,35.0,1.99%,-10.24%,entertainment 
rli corp,2090,6230000000.0,usa,137.0,-0.03%,24.74%,insurance 
universal display corporation,2104,6160000000.0,usa,130.0,2.77%,-20.53%,electronics 
nedbank,2087,6240000000.0,south-africa,12.0,1.37%,16.24%,banks financial-services 
turkiye is bankasi,2086,6240000000.0,turkey,0.0,-0.70%,114.29%,banks financial-services 
taishin financial holdings,2083,6240000000.0,taiwan,0.0,0.00%,-29.73%,banks financial-services 
pilgrim's pride,2085,6240000000.0,usa,26.0,0.53%,-6.08%,
reynolds consumer,2084,6240000000.0,usa,29.0,-0.73%,-7.14%,
polaris,2076,6270000000.0,usa,108.0,1.31%,-8.85%,automakers 
sunrun,2082,6250000000.0,usa,29.0,3.67%,-7.76%,
confluent,2075,6280000000.0,usa,21.0,2.57%,-66.26%,software tech 
canadian apartment properties reit,2081,6260000000.0,canada,35.0,0.58%,-20.42%,real-estate investment reit 
sampoerna,2079,6270000000.0,indonesia,0.0,0.00%,-16.67%,tobacco 
boyd gaming,2077,6270000000.0,usa,60.0,1.20%,-0.90%,
tube investments of india,2080,6260000000.0,india,32.0,-0.73%,34.01%,
toll brothers,2078,6270000000.0,usa,56.0,1.07%,-14.67%,
range resources,2073,6280000000.0,usa,26.0,0.77%,19.46%,oil-gas energy 
banco bpm,2072,6290000000.0,italy,4.0,0.66%,27.91%,banks financial-services 
konami holdings,2074,6280000000.0,japan,47.0,6.11%,0.75%,video-games entertainment tech 
spark new zealand,2070,6290000000.0,new-zealand,3.0,0.00%,10.36%,telecommunication 
pdc energy,2071,6290000000.0,usa,68.0,2.55%,20.89%,
curtiss-wright,2064,6310000000.0,usa,164.0,-0.49%,18.44%,
tpg telecom,2063,6320000000.0,australia,3.0,0.00%,-26.09%,telecommunication 
wynn macau,2069,6300000000.0,,1.0,1.18%,27.66%,hotels travel 
sekisui chemical,2066,6310000000.0,japan,14.0,1.34%,-13.80%,chemicals 
west fraser timber,2067,6300000000.0,canada,74.0,2.63%,-22.92%,
indian railway catering & tourism,2068,6300000000.0,india,7.0,-0.16%,-34.66%,railways 
shriram transport finance,2062,6320000000.0,india,16.0,0.00%,1.38%,financial-services 
corporate office properties trust,2060,6340000000.0,usa,28.0,0.04%,1.00%,
enlink midstream,2059,6340000000.0,usa,13.0,0.90%,72.24%,
cosan,2054,6360000000.0,brazil,13.0,1.26%,-11.49%,biofuel energy 
covivio,2061,6330000000.0,france,67.0,0.24%,-21.92%,
doximity,2065,6310000000.0,usa,32.0,1.89%,-28.70%,internet tech healthcare telehealth 
yanbu national petrochemical,2056,6350000000.0,saudi-arabia,11.0,0.95%,-42.64%,chemicals 
hualan biological engineering,2057,6350000000.0,china,3.0,0.43%,-28.69%,pharmaceuticals 
affiliated managers group,2058,6340000000.0,usa,168.0,0.81%,7.71%,investment 
bombardier recreational products,2055,6350000000.0,canada,80.0,0.85%,-0.54%,
hikari tsushin,2051,6370000000.0,japan,143.0,3.22%,0.93%,
fastighets ab balder,2045,6390000000.0,sweden,5.0,-1.09%,-90.91%,real-estate 
ia financial,2053,6360000000.0,canada,60.0,-0.15%,-5.98%,financial-services insurance 
gxo logistics,2046,6390000000.0,usa,53.0,2.60%,-40.96%,
macy's,2050,6370000000.0,usa,23.0,2.71%,-9.71%,retail 
stag industrial,2044,6390000000.0,usa,34.0,0.26%,-19.84%,
nissan chemical,2043,6400000000.0,japan,45.0,2.08%,-16.85%,chemicals 
levi strauss,2047,6390000000.0,usa,16.0,-1.11%,-30.30%,
stockland,2040,6420000000.0,australia,2.0,-0.26%,-11.80%,reit real-estate investment 
newell brands,2042,6400000000.0,usa,15.0,-0.48%,-35.03%,consumer-goods 
bankinter,2048,6380000000.0,spain,7.0,0.93%,20.34%,banks financial-services 
kingfisher,2041,6410000000.0,united-kingdom,3.0,-0.65%,-27.41%,retail 
yamaha,2038,6440000000.0,japan,37.0,2.54%,-20.23%,
kobe bussan,2039,6420000000.0,japan,29.0,0.53%,-11.16%,food 
turquoise hill resources,2049,6380000000.0,canada,31.0,0.00%,93.29%,
ssab,2052,6370000000.0,sweden,6.0,2.22%,8.22%,steel-producers steel-industry 
krafton,2031,6480000000.0,south-korea,138.0,0.59%,-51.81%,video-games tech 
qualtrics,2029,6480000000.0,usa,10.0,0.73%,-59.68%,software tech 
lithia motors,2027,6490000000.0,usa,237.0,1.91%,-22.59%,car-retail retail 
championx,2036,6460000000.0,usa,32.0,0.84%,31.99%,oil-gas-equipment-services 
alaska airlines,2034,6460000000.0,usa,51.0,1.39%,-8.59%,airlines travel transportation 
commercial metals company,2032,6470000000.0,usa,55.0,0.22%,45.83%,
land securities group,2037,6460000000.0,united-kingdom,8.0,1.11%,-21.58%,real-estate investment reit 
atacadao,2033,6470000000.0,brazil,3.0,2.95%,17.56%,retail supermarkets 
woodward,2035,6460000000.0,usa,108.0,0.35%,-8.02%,
agnc investment,2026,6500000000.0,usa,11.0,1.47%,-25.70%,
starwood property trust,2028,6490000000.0,usa,20.0,0.63%,-19.81%,reit real-estate investment 
allegro microsystems,2030,6480000000.0,usa,33.0,-0.03%,10.21%,semiconductors tech tech-hardware 
toto,2017,6540000000.0,japan,38.0,1.01%,-12.99%,
draftkings,2021,6530000000.0,usa,14.0,2.68%,-37.26%,gambling entertainment internet 
dillard's,2018,6530000000.0,usa,381.0,1.09%,52.56%,retail 
new york community bank,2015,6540000000.0,usa,9.0,-0.16%,-27.49%,
israel discount bank,2012,6560000000.0,israel,52.0,0.00%,-16.98%,
osaka gas,2014,6550000000.0,japan,15.0,1.14%,-7.84%,utility-companies 
adaro energy,2019,6530000000.0,indonesia,0.0,0.96%,31.25%,electricity energy coal-mining 
choice hotels international,2013,6560000000.0,usa,123.0,0.62%,-19.10%,hotels travel 
great eastern,2010,6570000000.0,singapore,13.0,0.16%,-8.56%,
toromont,2011,6560000000.0,canada,79.0,0.88%,-7.34%,
saia,2020,6530000000.0,usa,246.0,3.60%,-10.76%,transportation 
helvetia holding,2024,6520000000.0,switzerland,123.0,0.18%,-3.48%,insurance 
magnolia oil & gas,2016,6540000000.0,usa,24.0,2.03%,8.50%,oil-gas energy 
kinsale capital group,2009,6570000000.0,usa,284.0,-0.45%,38.29%,
oz minerals,2025,6500000000.0,australia,19.0,0.29%,-5.17%,mining 
wyndham hotels & resorts,2022,6520000000.0,usa,73.0,0.96%,-13.87%,hotels travel 
petro rio,2023,6520000000.0,brazil,7.0,1.14%,86.65%,oil-gas energy 
asus,2008,6570000000.0,taiwan,8.0,-0.37%,-35.54%,tech tech-hardware electronics 
lodha group,2007,6580000000.0,india,13.0,1.90%,-18.49%,real-estate 
airtac international,2005,6590000000.0,taiwan,32.0,1.83%,-4.07%,manufacturing 
cts eventim,2006,6580000000.0,germany,68.0,1.61%,-12.95%,
ritchie bros auctioneers,2004,6600000000.0,canada,59.0,-0.48%,-3.74%,
nextera energy partners,2002,6610000000.0,usa,76.0,0.28%,0.21%,
sanlam,1899,7090000000.0,south-africa,3.0,0.95%,-13.94%,insurance 
bancolombia,1897,7100000000.0,,29.0,1.41%,-11.13%,banks financial-services 
harley-davidson,2003,6600000000.0,usa,45.0,0.51%,18.33%,
q holding,1894,7110000000.0,united-arab-emirates,1.0,-0.26%,-14.75%,investment 
hankyu hanshin holdings,1900,7080000000.0,japan,29.0,2.29%,3.16%,railways transportation 
zoomlion,1893,7110000000.0,china,0.0,-2.90%,-20.00%,machinery-manufacturing manufacturing 
shockwave medical,1895,7110000000.0,usa,196.0,2.21%,17.83%,medical-devices 
western alliance bancorporation,1890,7120000000.0,usa,65.0,1.24%,-46.56%,banks financial-services 
santander polska,1892,7110000000.0,poland,67.0,-2.96%,-28.47%,banks financial-services 
kongsberg gruppen,1898,7100000000.0,norway,40.0,1.43%,21.21%,defense-contractors aerospace 
arrow electronics,1896,7100000000.0,usa,115.0,1.44%,-14.35%,
elm company,1888,7120000000.0,saudi-arabia,89.0,-0.24%,,investment 
hanwha solutions,1889,7120000000.0,south-korea,37.0,-1.07%,16.31%,renewable-energy energy electricity 
emcor,1891,7120000000.0,usa,149.0,0.68%,19.86%,
treasury wine estates,1887,7120000000.0,australia,9.0,-0.77%,16.94%,beverages alcoholic-beverages 
empire company,1885,7140000000.0,canada,27.0,0.33%,-8.42%,
far eastone,1878,7170000000.0,taiwan,2.0,0.15%,-5.58%,telecommunication 
yang ming,1882,7150000000.0,taiwan,2.0,1.47%,-46.48%,transportation maritime-transportation container-shipping 
skechers,1886,7130000000.0,usa,45.0,-0.50%,5.41%,footwear 
ternium,1884,7140000000.0,,36.0,1.14%,-21.86%,steel-industry manufacturing 
restoration hardware,1880,7170000000.0,usa,310.0,0.56%,-30.50%,retail furniture 
washington h soul pattinson and company whsp,1877,7170000000.0,australia,19.0,-0.38%,-7.75%,investment mining coal-mining 
